date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	null	null	120.0	20
085年04月01日	"台北一"	null	null	90.0	25
085年04月02日	"台北二"	null	null	0.0	20
085年04月02日	"台北一"	null	null	90.0	19
085年04月03日	"台北二"	null	null	0.0	45
085年04月03日	"台北一"	null	null	70.0	5
085年04月06日	"台北二"	null	null	0.0	20
085年04月06日	"台北一"	null	null	100.0	27
085年04月07日	"台北一"	null	null	100.0	4
085年04月08日	"台北二"	null	null	140.0	20
085年04月08日	"台北一"	null	null	120.0	10
085年04月09日	"台北一"	null	null	100.0	16
085年04月10日	"台北二"	null	null	140.0	10
085年04月10日	"台北一"	null	null	120.0	20
085年04月11日	"台北二"	null	null	120.0	10
085年04月11日	"台北一"	null	null	120.0	3
085年04月13日	"台北一"	null	null	100.0	19
085年04月14日	"台北一"	null	null	100.0	6
085年04月15日	"台北二"	null	null	160.0	11
085年04月16日	"台北二"	null	null	90.0	20
085年04月16日	"台北一"	null	null	140.0	15
085年04月17日	"台北二"	null	null	0.0	10
085年04月17日	"台北一"	null	null	140.0	5
085年04月18日	"台北一"	null	null	120.0	18
085年04月19日	"台北二"	null	null	105.4	43
085年04月19日	"台北一"	null	null	90.0	50
085年04月21日	"台北二"	null	null	120.0	25
085年04月21日	"台北一"	null	null	100.0	41
085年04月22日	"台北二"	null	null	120.0	15
085年04月22日	"台北一"	null	null	100.0	21
085年04月23日	"台北一"	null	null	120.0	13
085年04月24日	"台北二"	null	null	120.0	15
085年04月24日	"台北一"	null	null	120.0	13
085年04月25日	"台北一"	null	null	140.0	23
085年04月26日	"台北二"	null	null	140.0	25
085年04月26日	"台北一"	null	null	100.0	36
085年04月28日	"台北二"	null	null	128.2	32
085年04月28日	"台北一"	null	null	65.0	112
085年04月29日	"台北一"	null	null	80.0	14
085年04月30日	"台北二"	null	null	0.0	15
085年04月30日	"台北一"	null	null	70.0	40
086年04月01日	"台北二"	null	null	70.0	20
086年04月01日	"台北一"	null	null	90.0	38
086年04月02日	"台北一"	null	null	100.0	26
086年04月03日	"台北一"	null	null	100.0	40
086年04月04日	"台北二"	null	null	120.0	5
086年04月04日	"台北一"	null	null	180.0	29
086年04月07日	"台北二"	null	null	63.7	46
086年04月07日	"台北一"	null	null	130.0	174
086年04月08日	"台北二"	null	null	119.4	23
086年04月08日	"台北一"	null	null	100.0	72
086年04月09日	"台北二"	null	null	100.0	20
086年04月09日	"台北一"	null	null	100.0	73
086年04月10日	"台北二"	null	null	48.7	46
086年04月10日	"台北一"	null	null	80.0	38
086年04月11日	"台北二"	null	null	70.0	54
086年04月11日	"台北一"	null	null	80.0	114
086年04月12日	"台北二"	null	null	72.7	21
086年04月12日	"台北一"	null	null	80.0	93
086年04月13日	"台北二"	null	null	73.8	14
086年04月13日	"台北一"	null	null	80.0	110
086年04月14日	"台北二"	null	null	66.1	42
086年04月14日	"台北一"	null	null	80.0	120
086年04月15日	"台北二"	null	null	63.7	33
086年04月15日	"台北一"	null	null	60.0	282
086年04月17日	"台北二"	null	null	63.3	64
086年04月17日	"台北一"	null	null	55.0	252
086年04月18日	"台北二"	null	null	67.9	62
086年04月18日	"台北一"	null	null	40.0	276
086年04月19日	"台北二"	null	null	100.0	33
086年04月19日	"台北一"	null	null	45.0	312
086年04月20日	"台北二"	null	null	80.7	58
086年04月20日	"台北一"	null	null	60.0	173
086年04月21日	"台北二"	null	null	70.0	59
086年04月21日	"台北一"	null	null	60.0	215
086年04月22日	"台北二"	null	null	70.0	103
086年04月22日	"台北一"	null	null	60.0	418
086年04月24日	"台北二"	null	null	64.5	124
086年04月24日	"台北一"	null	null	50.0	750
086年04月25日	"台北二"	null	null	65.1	61
086年04月25日	"台北一"	null	null	50.0	375
086年04月26日	"台北二"	null	null	66.8	91
086年04月26日	"台北一"	null	null	45.0	363
086年04月27日	"台北二"	null	null	65.6	89
086年04月27日	"台北一"	null	null	60.0	301
086年04月28日	"台北二"	null	null	50.0	113
086年04月28日	"台北一"	null	null	65.0	375
086年04月29日	"台北二"	null	null	50.0	87
086年04月29日	"台北一"	null	null	60.0	405
086年04月30日	"台北二"	null	null	60.0	138
086年04月30日	"台北一"	null	null	50.0	461
086年04月30日	"台中市"	null	null	90.0	6
087年04月01日	"台北二"	null	null	85.0	10
087年04月01日	"台北一"	null	null	90.0	190
087年04月02日	"台北二"	null	null	97.1	14
087年04月02日	"台北一"	null	null	90.0	138
087年04月03日	"台北二"	null	null	85.4	32
087年04月03日	"台北一"	null	null	70.0	163
087年04月04日	"台北二"	null	null	58.4	48
087年04月04日	"台北一"	null	null	90.0	148
087年04月04日	"台中市"	null	null	55.0	2
087年04月07日	"台北二"	null	null	41.8	124
087年04月07日	"台北一"	null	null	90.0	338
087年04月08日	"台北二"	null	null	76.6	53
087年04月08日	"台北一"	null	null	50.0	319
087年04月08日	"台中市"	null	null	60.0	1.5
087年04月09日	"台北二"	null	null	68.6	68
087年04月09日	"台北一"	null	null	50.0	338
087年04月10日	"台北二"	null	null	31.6	68
087年04月10日	"台北一"	null	null	45.0	266
087年04月10日	"台中市"	null	null	60.0	5
087年04月11日	"台北二"	null	null	62.9	40
087年04月11日	"台北一"	null	null	45.0	290
087年04月11日	"台中市"	null	null	45.0	3
087年04月11日	"高雄市"	null	null	30.0	10
087年04月12日	"台北二"	null	null	56.3	50
087年04月12日	"台北一"	null	null	55.0	220
087年04月12日	"台中市"	null	null	35.0	3
087年04月14日	"台北二"	null	null	43.9	101
087年04月14日	"台北一"	null	null	55.0	302
087年04月14日	"台中市"	null	null	50.0	5
087年04月14日	"高雄市"	null	null	41.9	18
087年04月15日	"台北二"	null	null	37.8	46
087年04月15日	"台北一"	null	null	70.0	143
087年04月15日	"台中市"	null	null	81.0	4
087年04月16日	"台北二"	null	null	30.0	31
087年04月16日	"台北一"	null	null	70.0	179
087年04月16日	"台中市"	null	null	25.0	12
087年04月17日	"台北二"	null	null	50.3	53
087年04月17日	"台北一"	null	null	70.0	261
087年04月18日	"台北二"	null	null	55.2	49
087年04月18日	"台北一"	null	null	70.0	228
087年04月18日	"台中市"	null	null	70.0	10
087年04月19日	"台北二"	null	null	57.9	56
087年04月19日	"台北一"	null	null	70.0	260
087年04月19日	"高雄市"	null	null	12.5	100
