date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"白皮"	null	10.5	3640
085年04月01日	"台北一"	"白皮"	null	10.0	11795
085年04月01日	"西螺鎮"	"白皮"	null	13.0	14635
085年04月01日	"台中市"	"青皮"	null	10.0	14
085年04月01日	"屏東市"	"青皮"	null	10.5	2870
085年04月02日	"台北一"	"白皮"	null	10.0	300
085年04月02日	"西螺鎮"	"白皮"	null	12.7	7525
085年04月02日	"高雄市"	"白皮"	null	8.0	1780
085年04月02日	"台東市"	"白皮"	null	15.0	552
085年04月02日	"花蓮市"	"白皮"	null	14.0	1042
085年04月02日	"屏東市"	"青皮"	null	11.8	2560
085年04月03日	"台北一"	"白皮"	null	10.0	10515
085年04月03日	"西螺鎮"	"白皮"	null	12.0	6500
085年04月03日	"高雄市"	"白皮"	null	12.0	2020
085年04月03日	"鳳山區"	"白皮"	null	13.0	1200
085年04月03日	"台東市"	"白皮"	null	15.0	615
085年04月03日	"花蓮市"	"白皮"	null	8.0	1763
085年04月03日	"台中市"	"青皮"	null	9.0	167
085年04月03日	"屏東市"	"青皮"	null	9.7	3020
085年04月04日	"高雄市"	"白皮"	null	12.0	3090
085年04月04日	"台東市"	"白皮"	null	15.0	394
085年04月04日	"台中市"	"青皮"	null	13.5	278.5
085年04月04日	"屏東市"	"青皮"	null	10.6	2340
085年04月05日	"西螺鎮"	"白皮"	null	12.7	7625
085年04月06日	"台北二"	"白皮"	null	7.5	3420
085年04月06日	"台北一"	"白皮"	null	10.0	19509
085年04月06日	"西螺鎮"	"白皮"	null	12.8	7625
085年04月06日	"台中市"	"青皮"	null	9.0	246.5
085年04月06日	"屏東市"	"青皮"	null	10.6	2370
085年04月07日	"台北二"	"白皮"	null	12.9	126
085年04月07日	"台北一"	"白皮"	null	10.0	3734
085年04月07日	"南投市"	"白皮"	null	0.0	136
085年04月07日	"西螺鎮"	"白皮"	null	12.5	8025
085年04月07日	"高雄市"	"白皮"	null	9.0	8380
085年04月07日	"鳳山區"	"白皮"	null	11.9	4900
085年04月07日	"台中市"	"青皮"	null	9.6	95
085年04月07日	"屏東市"	"青皮"	null	9.5	2510
085年04月08日	"台北二"	"白皮"	null	7.5	2140
085年04月08日	"台北一"	"白皮"	null	10.0	12325
085年04月08日	"西螺鎮"	"白皮"	null	12.0	6650
085年04月08日	"鳳山區"	"白皮"	null	9.0	4500
085年04月08日	"台東市"	"白皮"	null	15.0	672
085年04月08日	"花蓮市"	"白皮"	null	12.0	513
085年04月08日	"台中市"	"青皮"	null	10.0	150.5
085年04月08日	"屏東市"	"青皮"	null	10.6	2950
085年04月09日	"台北二"	"白皮"	null	7.5	3689
085年04月09日	"台北一"	"白皮"	null	10.0	14142
085年04月09日	"西螺鎮"	"白皮"	null	12.8	9500
085年04月09日	"台東市"	"白皮"	null	15.0	472
085年04月09日	"台中市"	"青皮"	null	11.0	19.5
085年04月09日	"屏東市"	"青皮"	null	10.5	2581
085年04月10日	"台北二"	"白皮"	null	10.0	42
085年04月10日	"台北一"	"白皮"	null	10.0	12156
085年04月10日	"南投市"	"白皮"	null	0.0	311
085年04月10日	"西螺鎮"	"白皮"	null	12.0	7420
085年04月10日	"高雄市"	"白皮"	null	5.0	770
085年04月10日	"台東市"	"白皮"	null	15.0	750
085年04月10日	"花蓮市"	"白皮"	null	15.0	167
085年04月10日	"台中市"	"青皮"	null	10.9	167.5
085年04月10日	"屏東市"	"青皮"	null	11.0	3318
085年04月11日	"台北二"	"白皮"	null	8.0	3479
085年04月11日	"台北一"	"白皮"	null	10.0	6088
085年04月11日	"西螺鎮"	"白皮"	null	12.6	8063
085年04月11日	"高雄市"	"白皮"	null	10.0	14420
085年04月11日	"台東市"	"白皮"	null	15.0	785
085年04月11日	"花蓮市"	"白皮"	null	10.0	1265
085年04月11日	"台中市"	"青皮"	null	15.0	34
085年04月11日	"屏東市"	"青皮"	null	11.1	2895
085年04月12日	"西螺鎮"	"白皮"	null	12.6	7960
085年04月12日	"高雄市"	"白皮"	null	5.0	1060
085年04月12日	"台中市"	"青皮"	null	20.0	220
085年04月12日	"屏東市"	"青皮"	null	11.4	2840
085年04月13日	"台北一"	"白皮"	null	10.0	9424
085年04月13日	"西螺鎮"	"白皮"	null	12.0	6200
085年04月13日	"高雄市"	"白皮"	null	9.0	8030
085年04月13日	"鳳山區"	"白皮"	null	11.0	1050
085年04月13日	"花蓮市"	"白皮"	null	11.0	1314
085年04月13日	"屏東市"	"青皮"	null	11.0	3307
085年04月14日	"台北一"	"白皮"	null	10.0	6488
085年04月14日	"南投市"	"白皮"	null	14.0	306
085年04月14日	"西螺鎮"	"白皮"	null	10.2	6650
085年04月14日	"高雄市"	"白皮"	null	12.0	130
085年04月14日	"花蓮市"	"白皮"	null	9.0	1148
085年04月14日	"台中市"	"青皮"	null	15.0	8.5
085年04月14日	"屏東市"	"青皮"	null	10.2	3190
085年04月15日	"台北二"	"白皮"	null	10.7	886
085年04月15日	"台北一"	"白皮"	null	10.0	16425
085年04月15日	"永靖鄉"	"白皮"	null	8.5	1002
085年04月15日	"南投市"	"白皮"	null	14.0	245
085年04月15日	"西螺鎮"	"白皮"	null	10.1	5900
085年04月15日	"高雄市"	"白皮"	null	12.0	1016
085年04月15日	"台東市"	"白皮"	null	15.0	824
085年04月15日	"花蓮市"	"白皮"	null	6.0	1599
085年04月15日	"台中市"	"青皮"	null	15.0	7
085年04月15日	"屏東市"	"青皮"	null	10.7	3800
085年04月16日	"台北二"	"白皮"	null	8.2	1984
085年04月16日	"台北一"	"白皮"	null	10.0	15229
085年04月16日	"南投市"	"白皮"	null	15.0	242
