date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"豆莢"	null	0.0	30
085年04月01日	"台北一"	"豆莢"	null	45.0	1634
085年04月01日	"西螺鎮"	"豆莢"	null	35.0	3780
085年04月01日	"高雄市"	"豆莢"	null	38.0	410
085年04月01日	"台北二"	"豆仁"	null	70.0	36
085年04月01日	"台北一"	"豆仁"	null	70.0	175
085年04月01日	"台北一"	"肉豆"	null	14.0	115
085年04月02日	"台北二"	"豆莢"	null	48.0	426
085年04月02日	"台北一"	"豆莢"	null	40.0	2382
085年04月02日	"西螺鎮"	"豆莢"	null	35.0	4150
085年04月02日	"高雄市"	"豆莢"	null	40.0	890
085年04月02日	"台北二"	"豆仁"	null	70.0	81
085年04月02日	"台北一"	"豆仁"	null	70.0	216
085年04月02日	"台北一"	"肉豆"	null	14.0	506
085年04月03日	"台北二"	"豆莢"	null	30.0	210
085年04月03日	"台北一"	"豆莢"	null	35.0	2007
085年04月03日	"西螺鎮"	"豆莢"	null	35.0	4100
085年04月03日	"高雄市"	"豆莢"	null	48.0	830
085年04月03日	"台北二"	"豆仁"	null	65.0	36
085年04月03日	"台北一"	"豆仁"	null	70.0	146
085年04月03日	"台北一"	"肉豆"	null	14.0	125
085年04月04日	"高雄市"	"豆莢"	null	42.0	930
085年04月05日	"西螺鎮"	"豆莢"	null	40.0	4250
085年04月06日	"台北二"	"豆莢"	null	50.0	106
085年04月06日	"台北一"	"豆莢"	null	45.0	1989
085年04月06日	"西螺鎮"	"豆莢"	null	40.0	4150
085年04月06日	"台北二"	"豆仁"	null	70.0	15
085年04月06日	"台北一"	"豆仁"	null	70.0	112
085年04月06日	"台北一"	"肉豆"	null	14.0	77
085年04月07日	"台北一"	"豆莢"	null	55.0	2400
085年04月07日	"西螺鎮"	"豆莢"	null	47.4	4150
085年04月07日	"台北一"	"豆仁"	null	70.0	194
085年04月07日	"台北一"	"肉豆"	null	14.0	59
085年04月08日	"台北一"	"豆莢"	null	55.0	2952
085年04月08日	"西螺鎮"	"豆莢"	null	45.0	4150
085年04月08日	"高雄市"	"豆莢"	null	51.0	350
085年04月08日	"台北一"	"豆仁"	null	70.0	224
085年04月08日	"台中市"	"豆仁"	null	45.0	8
085年04月08日	"台北一"	"肉豆"	null	14.0	43
085年04月09日	"台北一"	"豆莢"	null	55.0	2181
085年04月09日	"西螺鎮"	"豆莢"	null	45.0	4050
085年04月09日	"高雄市"	"豆莢"	null	52.0	550
085年04月09日	"台北二"	"豆仁"	null	70.0	40
085年04月09日	"台北一"	"豆仁"	null	80.0	166
085年04月09日	"台北一"	"肉豆"	null	14.0	55
085年04月10日	"台北一"	"豆莢"	null	55.0	1657
085年04月10日	"西螺鎮"	"豆莢"	null	40.0	4150
085年04月10日	"高雄市"	"豆莢"	null	52.0	450
085年04月10日	"台北二"	"豆仁"	null	90.0	110
085年04月10日	"台北一"	"豆仁"	null	75.0	125
085年04月10日	"台北一"	"肉豆"	null	14.0	49
085年04月11日	"台北二"	"豆莢"	null	60.0	180
085年04月11日	"台北一"	"豆莢"	null	55.0	1941
085年04月11日	"西螺鎮"	"豆莢"	null	35.0	4150
085年04月11日	"高雄市"	"豆莢"	null	56.0	260
085年04月11日	"台北一"	"豆仁"	null	75.0	112
085年04月11日	"台北一"	"肉豆"	null	14.0	41
085年04月12日	"西螺鎮"	"豆莢"	null	35.0	4080
085年04月12日	"高雄市"	"豆莢"	null	56.0	550
085年04月12日	"台中市"	"豆仁"	null	31.1	34
085年04月13日	"台北一"	"豆莢"	null	50.0	2782
085年04月13日	"西螺鎮"	"豆莢"	null	35.0	4100
