date	mktname	sbtype	transformation	middleprice	quantity
085年04月13日	"台北一"	null	null	90.0	5
085年04月15日	"台北一"	null	null	90.0	8
085年04月16日	"台北一"	null	null	90.0	9
085年04月17日	"台北一"	null	null	90.0	9
085年04月18日	"台北一"	null	null	90.0	9
085年04月21日	"台北一"	null	null	60.0	9
085年04月22日	"台北一"	null	null	90.0	12
085年04月23日	"台北一"	null	null	90.0	6
085年04月25日	"台北一"	null	null	90.0	9
085年04月26日	"台北一"	null	null	60.0	12
085年04月28日	"台北一"	null	null	70.0	24
085年04月29日	"台北二"	null	null	70.0	12
085年04月29日	"台北一"	null	null	70.0	21
085年04月30日	"台北二"	null	null	90.0	5
085年04月30日	"台北一"	null	null	70.0	55
086年04月15日	"台北一"	null	null	80.0	18
086年04月17日	"台北二"	null	null	90.0	10
086年04月17日	"台北一"	null	null	80.0	10
086年04月18日	"台北一"	null	null	80.0	10
086年04月19日	"台北二"	null	null	80.0	20
086年04月19日	"台北一"	null	null	80.0	24
086年04月20日	"台北二"	null	null	80.0	10
086年04月20日	"台北一"	null	null	80.0	25
086年04月20日	"台中市"	null	null	25.0	180
086年04月21日	"台北二"	null	null	80.0	10
086年04月21日	"台北一"	null	null	80.0	18
086年04月21日	"高雄市"	null	null	40.0	15
086年04月22日	"台北二"	null	null	60.0	5
086年04月22日	"台北一"	null	null	80.0	33
086年04月24日	"台北二"	null	null	74.0	35
086年04月24日	"台北一"	null	null	80.0	85
086年04月25日	"台北二"	null	null	50.0	40
086年04月25日	"台北一"	null	null	80.0	94
086年04月26日	"台北二"	null	null	60.0	5
086年04月26日	"台北一"	null	null	80.0	88
086年04月27日	"台北二"	null	null	70.0	10
086年04月27日	"台北一"	null	null	80.0	97
086年04月28日	"台北二"	null	null	62.2	15
086年04月28日	"台北一"	null	null	80.0	65
086年04月29日	"台北二"	null	null	60.0	20
086年04月29日	"台北一"	null	null	80.0	154
086年04月30日	"台北二"	null	null	0.0	64
086年04月30日	"台北一"	null	null	80.0	200
086年04月30日	"高雄市"	null	null	60.0	2
087年04月08日	"台北一"	null	null	80.0	48
087年04月10日	"台北一"	null	null	80.0	20
087年04月12日	"台北一"	null	null	80.0	40
087年04月15日	"台北一"	null	null	100.0	20
087年04月16日	"台北一"	null	null	100.0	12
087年04月17日	"台北一"	null	null	100.0	34
087年04月18日	"台北一"	null	null	80.0	29
087年04月19日	"台北一"	null	null	100.0	18
087年04月20日	"台北一"	null	null	100.0	18
087年04月22日	"台北一"	null	null	123.3	54
087年04月23日	"台北一"	null	null	100.0	54
087年04月24日	"台北一"	null	null	80.0	114
087年04月25日	"台北一"	null	null	80.0	160
087年04月26日	"台北一"	null	null	80.0	167
087年04月27日	"台北一"	null	null	80.0	248
087年04月29日	"台北一"	null	null	80.0	247
087年04月30日	"台北一"	null	null	80.0	172
088年04月03日	"台北二"	null	null	50.0	40
