date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北一"	"蒲公"	null	10.0	920
085年04月01日	"西螺鎮"	"蒲公"	null	8.5	3032
085年04月01日	"台北二"	null	null	3.6	2145
085年04月01日	"台北一"	null	null	7.8	7738
085年04月01日	"台中市"	null	null	8.9	853
085年04月01日	"永靖鄉"	null	null	8.0	2723
085年04月01日	"高雄市"	null	null	14.0	1725
085年04月01日	"台北二"	"芥藍芽"	null	0.0	471
085年04月01日	"台北一"	"芥藍芽"	null	25.0	1182
085年04月02日	"台北二"	"蒲公"	null	4.0	735
085年04月02日	"台北一"	"蒲公"	null	9.0	3552
085年04月02日	"西螺鎮"	"蒲公"	null	7.2	3748
085年04月02日	"台北二"	null	null	6.8	640
085年04月02日	"台北一"	null	null	9.0	3818
085年04月02日	"台中市"	null	null	8.9	466.5
085年04月02日	"永靖鄉"	null	null	8.0	2226
085年04月02日	"高雄市"	null	null	13.0	1500
085年04月02日	"台北二"	"芥藍芽"	null	0.0	590
085年04月02日	"台北一"	"芥藍芽"	null	25.0	800
085年04月02日	"高雄市"	"芥藍芽"	null	21.0	175
085年04月03日	"台北二"	"蒲公"	null	10.5	1425
085年04月03日	"台北一"	"蒲公"	null	13.0	3197
085年04月03日	"西螺鎮"	"蒲公"	null	6.3	3670
085年04月03日	"鳳山區"	"蒲公"	null	22.3	3630
085年04月03日	"台北二"	null	null	6.0	1225
085年04月03日	"台北一"	null	null	13.0	5510
085年04月03日	"台中市"	null	null	8.0	300
085年04月03日	"永靖鄉"	null	null	7.5	2426
085年04月03日	"高雄市"	null	null	14.0	1725
085年04月03日	"台北二"	"芥藍芽"	null	22.8	354
085年04月03日	"台北一"	"芥藍芽"	null	25.0	690
085年04月03日	"高雄市"	"芥藍芽"	null	20.0	160
085年04月04日	"台中市"	null	null	12.2	87.5
085年04月04日	"高雄市"	null	null	17.0	931
085年04月05日	"西螺鎮"	"蒲公"	null	8.8	2810
085年04月06日	"台北二"	"蒲公"	null	17.2	615
