date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	null	null	10.0	1275
085年04月01日	"台北一"	null	null	18.0	4370
085年04月01日	"台中市"	null	null	12.8	249
085年04月01日	"西螺鎮"	null	null	10.3	2645
085年04月01日	"高雄市"	null	null	19.0	810
085年04月01日	"鳳山區"	null	null	9.1	420
085年04月02日	"台北二"	null	null	10.0	690
085年04月02日	"台北一"	null	null	15.0	3971
085年04月02日	"台中市"	null	null	15.4	40
085年04月02日	"西螺鎮"	null	null	10.0	2140
085年04月02日	"高雄市"	null	null	19.0	800
085年04月03日	"台北二"	null	null	15.0	800
085年04月03日	"台北一"	null	null	20.0	4162
085年04月03日	"台中市"	null	null	16.0	150
085年04月03日	"西螺鎮"	null	null	10.3	1180
085年04月03日	"高雄市"	null	null	22.0	825
085年04月04日	"高雄市"	null	null	24.0	830
085年04月05日	"西螺鎮"	null	null	14.3	1215
085年04月06日	"台北二"	null	null	35.8	374
085年04月06日	"台北一"	null	null	30.0	2706
085年04月06日	"台中市"	null	null	26.7	75
085年04月06日	"西螺鎮"	null	null	17.5	1660
085年04月07日	"台北二"	null	null	35.0	595
085年04月07日	"台北一"	null	null	35.0	2331
085年04月07日	"台中市"	null	null	31.1	105
085年04月07日	"西螺鎮"	null	null	19.1	1575
085年04月07日	"高雄市"	null	null	25.0	400
085年04月08日	"台北二"	null	null	26.0	1290
085年04月08日	"台北一"	null	null	25.0	2345
085年04月08日	"台中市"	null	null	30.0	75
085年04月08日	"西螺鎮"	null	null	21.9	1075
085年04月08日	"高雄市"	null	null	25.0	320
085年04月09日	"台北二"	null	null	20.0	1124
085年04月09日	"台北一"	null	null	30.0	1745
085年04月09日	"西螺鎮"	null	null	28.7	1020
085年04月09日	"高雄市"	null	null	27.0	440
085年04月10日	"台北二"	null	null	20.0	855
085年04月10日	"台北一"	null	null	25.0	2578
085年04月10日	"台中市"	null	null	26.7	75
085年04月10日	"西螺鎮"	null	null	24.5	1400
085年04月10日	"高雄市"	null	null	30.0	450
085年04月11日	"台北二"	null	null	15.0	560
085年04月11日	"台北一"	null	null	25.0	2521
085年04月11日	"台中市"	null	null	20.0	95
085年04月11日	"西螺鎮"	null	null	27.3	1940
085年04月11日	"高雄市"	null	null	30.0	550
085年04月12日	"台中市"	null	null	22.1	135
085年04月12日	"西螺鎮"	null	null	29.2	1110
085年04月12日	"高雄市"	null	null	31.0	498
085年04月12日	"鳳山區"	null	null	11.4	317
085年04月13日	"台北一"	null	null	25.0	2386
085年04月13日	"台中市"	null	null	25.0	15
085年04月13日	"西螺鎮"	null	null	23.0	1025
085年04月13日	"高雄市"	null	null	30.0	400
085年04月14日	"台北一"	null	null	25.0	2568
