date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北一"	null	null	20.0	20
085年04月02日	"台北一"	null	null	20.0	20
085年04月03日	"台北一"	null	null	20.0	30
091年04月03日	"台北一"	null	null	10.0	20
092年04月02日	"台北一"	null	null	20.0	30
092年04月04日	"台北一"	null	null	25.0	50
097年04月02日	"台北一"	null	null	15.0	10
097年04月17日	"台北一"	null	null	25.0	20
085年08月13日	"台中市"	null	null	25.0	10
085年08月17日	"台中市"	null	null	25.0	20
085年08月19日	"台中市"	null	null	25.0	70
085年08月22日	"台中市"	null	null	20.0	50
085年08月23日	"台中市"	null	null	20.0	80
085年08月24日	"台中市"	null	null	20.0	60
085年08月25日	"台中市"	null	null	30.0	100
085年08月26日	"台中市"	null	null	20.0	30
085年08月27日	"台中市"	null	null	20.0	60
085年08月28日	"台中市"	null	null	20.0	60
085年08月31日	"台中市"	null	null	18.9	90
085年12月02日	"台北一"	null	null	20.0	20
085年12月04日	"台北一"	null	null	20.0	15
085年12月07日	"台北一"	null	null	30.0	30
085年12月08日	"台北一"	null	null	45.0	30
085年12月09日	"台北一"	null	null	25.8	80
085年12月10日	"台北一"	null	null	45.0	50
085年12月12日	"台北一"	null	null	30.0	30
085年12月14日	"台北一"	null	null	30.0	30
085年12月15日	"台北一"	null	null	30.0	40
085年12月16日	"台北一"	null	null	30.0	30
085年12月17日	"台北一"	null	null	30.0	30
085年12月18日	"台北一"	null	null	15.0	30
085年12月19日	"台北一"	null	null	30.0	30
085年12月21日	"台北一"	null	null	30.0	40
085年12月22日	"台北一"	null	null	30.0	40
085年12月23日	"台北一"	null	null	30.0	40
085年12月24日	"台北一"	null	null	30.0	40
085年12月25日	"台北一"	null	null	30.0	30
085年12月26日	"台北一"	null	null	30.0	40
085年12月28日	"台北一"	null	null	12.0	40
085年12月29日	"台北一"	null	null	35.0	40
085年12月30日	"台北一"	null	null	35.0	30
085年12月31日	"台北一"	null	null	35.0	50
087年12月29日	"台北一"	null	null	50.0	40
089年12月16日	"台北一"	null	null	40.0	20
090年12月14日	"台北一"	null	null	10.0	20
090年12月21日	"台北一"	null	null	20.0	20
090年12月23日	"台北一"	null	null	20.0	10
090年12月27日	"台北一"	null	null	22.0	50
090年12月29日	"台北一"	null	null	20.0	30
090年12月30日	"台北一"	null	null	20.0	20
091年12月06日	"台北一"	null	null	25.0	30
091年12月13日	"台北一"	null	null	40.0	20
091年12月27日	"台北一"	null	null	15.0	20
092年12月02日	"台北一"	null	null	20.9	55
092年12月04日	"台北一"	null	null	40.0	15
092年12月05日	"台北一"	null	null	35.0	20
092年12月09日	"台北一"	null	null	25.0	10
092年12月10日	"台北一"	null	null	25.0	10
092年12月12日	"台北一"	null	null	30.0	15
092年12月13日	"台北一"	null	null	23.9	30
092年12月16日	"台北一"	null	null	15.0	20
092年12月18日	"台北一"	null	null	45.0	10
092年12月19日	"台北一"	null	null	35.0	10
092年12月21日	"台北一"	null	null	25.0	20
092年12月24日	"台北一"	null	null	35.0	10
092年12月25日	"台北一"	null	null	25.0	10
092年12月26日	"台北一"	null	null	25.0	10
092年12月27日	"台北一"	null	null	25.0	10
092年12月30日	"台北二"	null	null	15.0	110
092年12月30日	"台北一"	null	null	16.1	30
