date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北一"	"茄茉菜"	null	10.0	100
085年04月03日	"台北一"	"茄茉菜"	null	10.0	51
085年04月06日	"台北一"	"茄茉菜"	null	10.0	120
085年04月07日	"台北二"	"茄茉菜"	null	8.0	12
085年04月07日	"台北一"	"茄茉菜"	null	10.0	23
085年04月08日	"台北一"	"茄茉菜"	null	10.0	120
085年04月09日	"台北一"	"茄茉菜"	null	10.0	200
085年04月10日	"台北一"	"茄茉菜"	null	10.0	14
085年04月13日	"台北一"	"茄茉菜"	null	10.0	15
085年04月26日	"台北一"	"茄茉菜"	null	10.0	40
085年04月30日	"台北一"	"茄茉菜"	null	10.0	80
086年04月01日	"台北一"	"茄茉菜"	null	8.0	20
086年04月02日	"台北一"	"茄茉菜"	null	8.0	30
086年04月03日	"台北一"	"茄茉菜"	null	8.0	90
086年04月08日	"台北一"	"茄茉菜"	null	8.0	90
086年04月10日	"台北一"	"茄茉菜"	null	8.0	63
086年04月12日	"台北一"	"茄茉菜"	null	8.0	30
086年04月13日	"台北一"	"茄茉菜"	null	8.0	105
086年04月14日	"台北二"	"茄茉菜"	null	12.0	50
086年04月14日	"台北一"	"茄茉菜"	null	8.0	129
086年04月15日	"台北二"	"茄茉菜"	null	9.0	100
086年04月15日	"台北一"	"茄茉菜"	null	8.0	74
086年04月17日	"台北二"	"茄茉菜"	null	10.0	50
086年04月17日	"台北一"	"茄茉菜"	null	8.0	64
086年04月18日	"台北二"	"茄茉菜"	null	8.0	50
086年04月18日	"台北一"	"茄茉菜"	null	8.0	96
086年04月19日	"台北一"	"茄茉菜"	null	8.0	50
086年04月20日	"台北二"	"茄茉菜"	null	5.0	50
086年04月20日	"台北一"	"茄茉菜"	null	8.0	25
086年04月22日	"台北一"	"茄茉菜"	null	8.0	75
086年04月29日	"台北一"	"茄茉菜"	null	8.0	60
086年04月30日	"台北一"	"茄茉菜"	null	8.0	60
087年04月01日	"台北二"	"茄茉菜"	null	2.7	28
087年04月01日	"台北一"	"茄茉菜"	null	2.0	77
087年04月02日	"台北一"	"茄茉菜"	null	8.0	16
087年04月03日	"台北一"	"茄茉菜"	null	4.7	76
087年04月03日	"高雄市"	"茄茉菜"	null	3.8	13
087年04月04日	"台北一"	"茄茉菜"	null	5.0	16
087年04月07日	"台北二"	"茄茉菜"	null	4.0	10
087年04月08日	"台北二"	"茄茉菜"	null	3.0	20
087年04月08日	"台北一"	"茄茉菜"	null	4.7	41
087年04月09日	"台北一"	"茄茉菜"	null	5.0	34
087年04月11日	"台北一"	"茄茉菜"	null	6.0	17
087年04月14日	"台北二"	"茄茉菜"	null	3.2	56
087年04月15日	"台北一"	"茄茉菜"	null	5.0	38
087年04月16日	"台北一"	"茄茉菜"	null	6.0	26
087年04月18日	"台北一"	"茄茉菜"	null	20.0	50
087年04月22日	"台北二"	"茄茉菜"	null	2.0	20
087年04月22日	"台北一"	"茄茉菜"	null	6.0	15
087年04月24日	"台北一"	"茄茉菜"	null	25.0	80
087年04月25日	"台北二"	"茄茉菜"	null	2.0	17
088年04月01日	"台北二"	"茄茉菜"	null	3.0	13
088年04月01日	"台中市"	"茄茉菜"	null	7.7	251
088年04月02日	"台北二"	"茄茉菜"	null	3.0	75
088年04月02日	"台北一"	"茄茉菜"	null	3.3	119
088年04月02日	"台中市"	"茄茉菜"	null	7.0	60
088年04月04日	"台北二"	"茄茉菜"	null	2.0	25
088年04月07日	"台北二"	"茄茉菜"	null	5.0	26
088年04月07日	"台北一"	"茄茉菜"	null	2.0	18
088年04月12日	"台北一"	"茄茉菜"	null	3.0	16
088年04月17日	"台北二"	"茄茉菜"	null	2.0	50
088年04月21日	"台北一"	"茄茉菜"	null	1.5	50
089年04月01日	"台北二"	"茄茉菜"	null	2.0	23
089年04月01日	"台北一"	"茄茉菜"	null	5.8	97
089年04月02日	"台北一"	"茄茉菜"	null	4.3	79
089年04月03日	"台北一"	"茄茉菜"	null	5.5	246
089年04月06日	"台北二"	"茄茉菜"	null	2.0	20
089年04月06日	"台北一"	"茄茉菜"	null	3.4	144
089年04月07日	"台北一"	"茄茉菜"	null	2.9	93
089年04月09日	"台北一"	"茄茉菜"	null	5.0	17
089年04月10日	"台北一"	"茄茉菜"	null	6.9	50
089年04月12日	"台北二"	"茄茉菜"	null	5.0	40
089年04月12日	"台北一"	"茄茉菜"	null	3.1	77
089年04月13日	"台北一"	"茄茉菜"	null	8.0	30
089年04月15日	"台北二"	"茄茉菜"	null	2.0	120
089年04月20日	"台北一"	"茄茉菜"	null	15.0	30
089年04月23日	"台北一"	"茄茉菜"	null	15.0	30
089年04月24日	"台北一"	"茄茉菜"	null	14.0	60
089年04月25日	"台北一"	"茄茉菜"	null	9.8	84
089年04月26日	"台北一"	"茄茉菜"	null	15.0	30
089年04月27日	"台北一"	"茄茉菜"	null	6.0	20
089年04月28日	"台北一"	"茄茉菜"	null	20.0	121
090年04月01日	"台北一"	"茄茉菜"	null	7.1	59
090年04月02日	"台北一"	"茄茉菜"	null	8.0	54
090年04月03日	"台北二"	"茄茉菜"	null	3.0	100
090年04月03日	"台北一"	"茄茉菜"	null	6.9	280
090年04月04日	"台北二"	"茄茉菜"	null	3.0	60
090年04月04日	"台北一"	"茄茉菜"	null	7.3	140
090年04月07日	"台北一"	"茄茉菜"	null	4.0	40
090年04月09日	"台北一"	"茄茉菜"	null	4.0	44
090年04月09日	"高雄市"	"茄茉菜"	null	2.5	60
090年04月11日	"台北二"	"茄茉菜"	null	2.0	40
090年04月11日	"台北一"	"茄茉菜"	null	5.3	143
090年04月11日	"屏東市"	"茄茉菜"	null	5.5	40
090年04月12日	"台北二"	"茄茉菜"	null	2.0	40
090年04月12日	"台北一"	"茄茉菜"	null	5.6	162
090年04月12日	"屏東市"	"茄茉菜"	null	2.5	40
090年04月13日	"台北二"	"茄茉菜"	null	2.9	160
090年04月13日	"台北一"	"茄茉菜"	null	3.9	225
090年04月13日	"高雄市"	"茄茉菜"	null	2.5	60
090年04月13日	"屏東市"	"茄茉菜"	null	2.5	40
090年04月14日	"台北二"	"茄茉菜"	null	5.0	14
090年04月14日	"台北一"	"茄茉菜"	null	11.9	95
090年04月15日	"台北一"	"茄茉菜"	null	12.0	90
090年04月16日	"台北二"	"茄茉菜"	null	2.0	20
090年04月16日	"台北一"	"茄茉菜"	null	13.3	150
090年04月16日	"台中市"	"茄茉菜"	null	10.0	40
090年04月17日	"台北一"	"茄茉菜"	null	13.1	140
090年04月17日	"台中市"	"茄茉菜"	null	9.0	60
090年04月19日	"台北二"	"茄茉菜"	null	3.0	21
090年04月19日	"台北一"	"茄茉菜"	null	10.8	300
090年04月19日	"台中市"	"茄茉菜"	null	10.0	60
090年04月20日	"台北二"	"茄茉菜"	null	2.0	40
090年04月20日	"台北一"	"茄茉菜"	null	3.0	160
090年04月20日	"台中市"	"茄茉菜"	null	7.0	80
090年04月21日	"台北一"	"茄茉菜"	null	5.0	60
090年04月21日	"台中市"	"茄茉菜"	null	4.0	60
090年04月22日	"台北一"	"茄茉菜"	null	35.0	74
090年04月24日	"台北一"	"茄茉菜"	null	9.7	78
090年04月26日	"台北一"	"茄茉菜"	null	10.0	30
090年04月27日	"台北一"	"茄茉菜"	null	30.0	120
090年04月28日	"台北一"	"茄茉菜"	null	30.0	50
090年04月29日	"台北一"	"茄茉菜"	null	30.0	50
091年04月01日	"台北一"	"茄茉菜"	null	10.0	60
091年04月02日	"台北一"	"茄茉菜"	null	9.0	106
091年04月03日	"台北一"	"茄茉菜"	null	4.0	19
091年04月03日	"高雄市"	"茄茉菜"	null	2.5	20
091年04月04日	"台北一"	"茄茉菜"	null	14.1	53
091年04月07日	"台北二"	"茄茉菜"	null	22.0	30
091年04月07日	"台北一"	"茄茉菜"	null	12.0	90
091年04月08日	"台北二"	"茄茉菜"	null	18.0	60
091年04月08日	"台北一"	"茄茉菜"	null	15.0	60
091年04月08日	"台中市"	"茄茉菜"	null	15.0	60
091年04月09日	"台北二"	"茄茉菜"	null	15.0	30
091年04月09日	"台北一"	"茄茉菜"	null	12.0	30
091年04月09日	"台中市"	"茄茉菜"	null	10.0	80
091年04月10日	"台北二"	"茄茉菜"	null	10.0	70
091年04月10日	"台北一"	"茄茉菜"	null	11.8	120
091年04月10日	"台中市"	"茄茉菜"	null	2.0	80
091年04月10日	"高雄市"	"茄茉菜"	null	3.0	40
091年04月11日	"台北二"	"茄茉菜"	null	10.0	30
091年04月11日	"台中市"	"茄茉菜"	null	3.0	60
091年04月12日	"屏東市"	"茄茉菜"	null	2.5	40
091年04月19日	"台北二"	"茄茉菜"	null	10.0	30
091年04月19日	"台北一"	"茄茉菜"	null	10.0	30
091年04月20日	"台北二"	"茄茉菜"	null	8.0	30
091年04月20日	"台北一"	"茄茉菜"	null	10.0	60
091年04月20日	"高雄市"	"茄茉菜"	null	2.0	20
091年04月21日	"台北二"	"茄茉菜"	null	12.0	30
