date	mktname	sbtype	transformation	middleprice	quantity
088年04月01日	"台北二"	null	null	7.0	63
088年04月02日	"台北二"	null	null	5.0	19
088年04月03日	"台北二"	null	null	11.0	32
088年04月04日	"台北二"	null	null	5.7	45
088年04月07日	"台北二"	null	null	9.5	31
088年04月08日	"台北二"	null	null	9.8	38
088年04月09日	"台北二"	null	null	12.0	15
088年04月10日	"台北二"	null	null	9.0	24
088年04月12日	"台北二"	null	null	10.3	33
088年04月13日	"台北二"	null	null	7.8	45
088年04月14日	"台北二"	null	null	4.5	94
088年04月15日	"台北二"	null	null	3.0	30
088年04月16日	"台北二"	null	null	5.1	53
088年04月17日	"台北二"	null	null	5.7	56
088年04月19日	"台北二"	null	null	5.0	32
088年04月20日	"台北二"	null	null	5.0	16
088年04月21日	"台北二"	null	null	5.0	32
088年04月23日	"台北二"	null	null	8.5	36
088年04月24日	"台北二"	null	null	3.8	28
088年04月26日	"台北二"	null	null	5.0	28
088年04月27日	"台北二"	null	null	5.0	15
088年04月28日	"台北二"	null	null	5.0	27
088年04月29日	"台北二"	null	null	5.0	25
089年04月01日	"台北一"	null	null	15.0	75
089年04月02日	"台北一"	null	null	14.8	100
089年04月03日	"台北一"	null	null	10.4	81
089年04月06日	"台北二"	null	null	3.0	24
089年04月06日	"台北一"	null	null	10.0	27
089年04月11日	"台北二"	null	null	10.0	44
089年04月22日	"台北二"	null	null	1.5	39
089年04月22日	"台北一"	null	null	13.0	14
090年04月11日	"台北一"	null	null	7.9	55
090年04月12日	"台北一"	null	null	9.3	70
090年04月13日	"台北一"	null	null	10.0	15
090年04月14日	"台北一"	null	null	8.0	14
090年04月23日	"台北一"	null	null	20.0	18
090年04月26日	"台北一"	null	null	10.0	11
090年04月29日	"台北一"	null	null	5.0	22
091年04月01日	"台北一"	null	null	5.0	19
091年04月03日	"台北二"	null	null	5.0	34
091年04月04日	"台北一"	null	null	6.0	18
091年04月04日	"三重市"	null	null	10.0	24
091年04月17日	"台北一"	null	null	7.6	25
091年04月19日	"台北一"	null	null	10.0	16
091年04月25日	"台北一"	null	null	5.0	18
091年04月26日	"台北一"	null	null	17.0	30
092年04月01日	"台北二"	null	null	6.0	17
