date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"川七葉"	null	20.9	273
085年04月01日	"台北一"	"川七葉"	null	30.0	449
085年04月02日	"台北二"	"川七葉"	null	19.2	212
085年04月02日	"台北一"	"川七葉"	null	30.0	360
085年04月03日	"台北二"	"川七葉"	null	18.0	246
085年04月03日	"台北一"	"川七葉"	null	30.0	287
085年04月06日	"台北二"	"川七葉"	null	28.5	255
085年04月06日	"台北一"	"川七葉"	null	30.0	430
085年04月07日	"台北二"	"川七葉"	null	26.5	297
085年04月07日	"台北一"	"川七葉"	null	30.0	522
085年04月08日	"台北二"	"川七葉"	null	17.2	348
085年04月08日	"台北一"	"川七葉"	null	35.0	419
085年04月09日	"台北二"	"川七葉"	null	11.5	531
085年04月09日	"台北一"	"川七葉"	null	35.0	599
085年04月10日	"台北二"	"川七葉"	null	12.9	300
085年04月10日	"台北一"	"川七葉"	null	35.0	709
085年04月11日	"台北二"	"川七葉"	null	16.9	236
085年04月11日	"台北一"	"川七葉"	null	30.0	495
085年04月14日	"台北一"	"川七葉"	null	30.0	737
085年04月15日	"台北二"	"川七葉"	null	24.5	401
085年04月15日	"台北一"	"川七葉"	null	30.0	749
085年04月16日	"台北二"	"川七葉"	null	17.8	435
085年04月16日	"台北一"	"川七葉"	null	30.0	752
085年04月17日	"台北二"	"川七葉"	null	13.4	473
085年04月17日	"台北一"	"川七葉"	null	30.0	807
085年04月18日	"台北二"	"川七葉"	null	16.2	339
085年04月18日	"台北一"	"川七葉"	null	30.0	826
085年04月19日	"台北二"	"川七葉"	null	14.8	240
085年04月19日	"台北一"	"川七葉"	null	30.0	826
085年04月21日	"台北二"	null	null	20.0	20
085年04月21日	"台北二"	"川七葉"	null	26.3	149
085年04月21日	"台北一"	"川七葉"	null	35.0	180
085年04月22日	"台北二"	"川七葉"	null	16.3	412
085年04月22日	"台北一"	"川七葉"	null	30.0	863
085年04月23日	"台北二"	"川七葉"	null	14.8	249
085年04月23日	"台北一"	"川七葉"	null	35.0	384
085年04月23日	"高雄市"	"川七葉"	null	36.0	100
085年04月24日	"台北二"	"川七葉"	null	16.5	434
085年04月24日	"台北一"	"川七葉"	null	35.0	902
085年04月25日	"台北二"	"川七葉"	null	17.5	315
085年04月25日	"台北一"	"川七葉"	null	35.0	855
085年04月26日	"台北一"	null	null	25.0	42
085年04月26日	"台北二"	"川七葉"	null	22.0	428
085年04月26日	"台北一"	"川七葉"	null	35.0	746
085年04月28日	"台北二"	"川七葉"	null	13.3	455
085年04月28日	"台北一"	"川七葉"	null	35.0	856
085年04月29日	"台北二"	"川七葉"	null	8.9	431
085年04月29日	"台北一"	"川七葉"	null	35.0	802
085年04月30日	"台北二"	"川七葉"	null	8.4	306
085年04月30日	"台北一"	"川七葉"	null	35.0	702
086年04月01日	"台北一"	null	null	18.7	327
086年04月01日	"台北二"	"川七葉"	null	11.8	211
