date	mktname	sbtype	transformation	middleprice	quantity
095年04月01日	"台北一"	null	null	75.7	28
095年04月01日	"台中市"	null	null	100.0	12
095年04月01日	"高雄市"	null	null	157.5	80
095年04月01日	"屏東市"	null	null	55.4	13
095年04月01日	"台北一"	"盒裝"	null	49.9	261
095年04月01日	"高雄市"	"盒裝"	null	180.0	20
095年04月02日	"台北一"	null	null	73.1	105
095年04月02日	"台中市"	null	null	100.0	12
095年04月02日	"高雄市"	null	null	157.5	40
095年04月02日	"屏東市"	null	null	55.4	13
095年04月02日	"台北一"	"盒裝"	null	160.0	116
095年04月03日	"台北一"	null	null	65.0	90
095年04月03日	"台中市"	null	null	100.0	12
095年04月03日	"高雄市"	null	null	160.0	60
095年04月03日	"屏東市"	null	null	52.3	26
095年04月03日	"台北一"	"盒裝"	null	160.0	132
095年04月04日	"台北二"	null	null	160.0	6
095年04月04日	"台北一"	null	null	45.1	146
095年04月04日	"台中市"	null	null	120.0	12
095年04月04日	"高雄市"	null	null	157.4	62
095年04月04日	"屏東市"	null	null	53.3	27
095年04月04日	"台北二"	"盒裝"	null	160.0	14
095年04月04日	"台北一"	"盒裝"	null	160.0	113
095年04月05日	"高雄市"	null	null	158.3	50
095年04月05日	"屏東市"	null	null	50.4	27
095年04月06日	"屏東市"	null	null	53.3	27
095年04月07日	"台北一"	null	null	120.0	20
095年04月07日	"台中市"	null	null	100.0	12
095年04月07日	"屏東市"	null	null	52.9	17
095年04月07日	"台北一"	"盒裝"	null	160.0	157
095年04月08日	"台北一"	null	null	130.0	20
095年04月08日	"台中市"	null	null	100.0	12
095年04月08日	"高雄市"	null	null	158.3	50
095年04月08日	"台北一"	"盒裝"	null	160.0	136
095年04月08日	"高雄市"	"盒裝"	null	150.0	20
095年04月09日	"台中市"	null	null	100.0	12
095年04月09日	"高雄市"	null	null	157.5	40
095年04月09日	"屏東市"	null	null	35.0	12
095年04月09日	"台北二"	"盒裝"	null	160.0	23
095年04月09日	"台北一"	"盒裝"	null	160.0	152
095年04月11日	"台中市"	null	null	100.0	12
095年04月11日	"高雄市"	null	null	155.0	20
095年04月11日	"台北一"	"盒裝"	null	160.0	79
095年04月12日	"台北一"	null	null	45.0	64
095年04月12日	"台中市"	null	null	100.0	12
095年04月12日	"高雄市"	null	null	127.9	32
095年04月12日	"台北二"	"盒裝"	null	160.0	10
095年04月12日	"台北一"	"盒裝"	null	150.0	66
095年04月13日	"台北一"	null	null	58.1	46
095年04月13日	"台中市"	null	null	100.0	12
095年04月13日	"高雄市"	null	null	126.1	60
095年04月13日	"屏東市"	null	null	15.0	14
095年04月13日	"台北二"	"盒裝"	null	160.0	6
095年04月13日	"台北一"	"盒裝"	null	150.0	50
095年04月14日	"台中市"	null	null	100.0	12
095年04月14日	"高雄市"	null	null	160.0	50
095年04月14日	"台北二"	"盒裝"	null	160.0	5
095年04月14日	"台北一"	"盒裝"	null	150.0	88
095年04月15日	"台中市"	null	null	100.0	12
095年04月15日	"高雄市"	null	null	157.5	40
095年04月15日	"台北二"	"盒裝"	null	160.0	17
095年04月15日	"台北一"	"盒裝"	null	150.0	76
095年04月16日	"台中市"	null	null	100.0	12
095年04月16日	"高雄市"	null	null	158.3	50
095年04月16日	"台北一"	"盒裝"	null	150.0	95
095年04月18日	"台中市"	null	null	100.0	12
095年04月18日	"高雄市"	null	null	157.5	40
095年04月18日	"台北一"	"盒裝"	null	160.0	82
095年04月19日	"台中市"	null	null	100.0	12
095年04月19日	"高雄市"	null	null	150.0	20
095年04月19日	"台北二"	"盒裝"	null	150.0	6
095年04月19日	"台北一"	"盒裝"	null	150.0	82
095年04月20日	"台中市"	null	null	100.0	18
095年04月20日	"高雄市"	null	null	160.0	40
095年04月20日	"台北二"	"盒裝"	null	160.0	6
095年04月20日	"台北一"	"盒裝"	null	150.0	108
095年04月21日	"台中市"	null	null	100.0	12
095年04月21日	"高雄市"	null	null	155.0	20
095年04月21日	"台北二"	"盒裝"	null	160.0	6
095年04月21日	"台北一"	"盒裝"	null	150.0	92
095年04月22日	"台中市"	null	null	100.0	12
095年04月22日	"高雄市"	null	null	159.8	90
095年04月22日	"台北二"	"盒裝"	null	160.0	8
095年04月22日	"台北一"	"盒裝"	null	150.0	110
095年04月23日	"台中市"	null	null	100.0	12
095年04月23日	"高雄市"	null	null	160.0	30
095年04月23日	"屏東市"	null	null	30.8	13
095年04月23日	"台北二"	"盒裝"	null	160.0	12
095年04月23日	"台北一"	"盒裝"	null	150.0	119
095年04月25日	"台中市"	null	null	100.0	12
095年04月25日	"高雄市"	null	null	153.8	52
095年04月25日	"屏東市"	null	null	47.3	17
