date	mktname	sbtype	transformation	middleprice	quantity
086年04月01日	"台北一"	null	null	75.0	22
086年04月02日	"台北一"	null	null	92.5	65
086年04月03日	"台北一"	null	null	75.0	57
086年04月04日	"台北一"	null	null	93.6	129
086年04月07日	"台北一"	null	null	75.0	27
086年04月08日	"台北一"	null	null	150.0	27
086年04月09日	"台北一"	null	null	150.0	15
086年04月11日	"台北一"	null	null	75.0	5
086年04月12日	"台北一"	null	null	121.4	35
086年04月13日	"台北一"	null	null	136.6	25
086年04月14日	"台北一"	null	null	100.0	9
086年04月18日	"台北一"	null	null	100.0	9
086年04月19日	"台北一"	null	null	100.0	9
086年04月20日	"台北一"	null	null	94.7	14
086年04月21日	"台北一"	null	null	98.3	12
086年04月22日	"台北一"	null	null	80.0	12
086年04月24日	"台北一"	null	null	94.7	14
086年04月25日	"台北一"	null	null	100.0	9
086年04月26日	"台北一"	null	null	96.4	13
086年04月29日	"台北一"	null	null	92.1	61
086年04月30日	"台北一"	null	null	80.0	102
087年04月01日	"台北一"	null	null	70.0	225
087年04月02日	"台北一"	null	null	70.0	159
087年04月03日	"台北一"	null	null	70.1	127
087年04月04日	"台北一"	null	null	70.0	170
087年04月07日	"台北一"	null	null	70.0	299
087年04月08日	"台北一"	null	null	70.0	200
087年04月09日	"台北一"	null	null	70.0	205
087年04月10日	"台北一"	null	null	70.0	126
087年04月11日	"台北一"	null	null	70.0	249
087年04月12日	"台北一"	null	null	70.0	330
087年04月14日	"台北一"	null	null	70.0	343
087年04月15日	"台北一"	null	null	68.5	314
087年04月16日	"台北一"	null	null	70.0	241
087年04月17日	"台北一"	null	null	70.0	177
087年04月18日	"台北一"	null	null	70.0	147
087年04月19日	"台北一"	null	null	70.0	323
087年04月20日	"台北一"	null	null	70.0	396
087年04月22日	"台北一"	null	null	70.0	399
087年04月23日	"台北一"	null	null	70.0	645
087年04月24日	"台北一"	null	null	70.0	160
087年04月25日	"台北一"	null	null	70.0	332
087年04月26日	"台北一"	null	null	70.0	252
087年04月27日	"台北一"	null	null	70.0	328
087年04月29日	"台北一"	null	null	70.0	409
087年04月30日	"台北一"	null	null	70.0	186
088年04月01日	"台北二"	null	null	30.0	48
088年04月01日	"台北一"	null	null	64.4	45
088年04月02日	"台北二"	null	null	23.7	100
088年04月02日	"台北一"	null	null	80.0	15
088年04月03日	"台北二"	null	null	25.0	36
088年04月03日	"台北一"	null	null	100.0	15
088年04月04日	"台北一"	null	null	100.0	30
088年04月07日	"台北一"	null	null	100.0	15
088年04月08日	"台北二"	null	null	35.0	15
088年04月08日	"台北一"	null	null	100.0	15
088年04月10日	"台北二"	null	null	50.0	4
088年04月10日	"台北一"	null	null	100.0	30
088年04月12日	"台北二"	null	null	25.0	18
088年04月13日	"台北一"	null	null	100.0	15
088年04月14日	"台北二"	null	null	30.2	122
088年04月15日	"台北一"	null	null	100.0	15
088年04月16日	"台北一"	null	null	100.0	30
088年04月17日	"台北一"	null	null	100.0	30
088年04月19日	"台北一"	null	null	100.0	15
088年04月20日	"台北一"	null	null	60.0	15
088年04月21日	"台北一"	null	null	100.0	15
088年04月22日	"台北一"	null	null	100.0	15
088年04月23日	"台北一"	null	null	100.0	15
088年04月23日	"台中市"	null	null	40.0	36
088年04月24日	"台北一"	null	null	97.1	42
088年04月26日	"台北一"	null	null	64.9	55
088年04月27日	"台北二"	null	null	30.0	18
088年04月27日	"台北一"	null	null	100.0	15
088年04月28日	"台北一"	null	null	100.0	41
088年04月29日	"台北一"	null	null	100.0	25
088年04月30日	"台北一"	null	null	80.0	10
089年04月01日	"台北一"	null	null	62.7	66
089年04月02日	"台北一"	null	null	64.4	113
089年04月03日	"台北一"	null	null	68.3	108
089年04月06日	"台北二"	null	null	60.0	18
089年04月06日	"台北一"	null	null	73.3	60
089年04月07日	"台北二"	null	null	55.2	19
089年04月07日	"台北一"	null	null	60.0	117
089年04月08日	"台北一"	null	null	60.0	94
089年04月09日	"台北一"	null	null	100.0	60
089年04月10日	"台北二"	null	null	60.0	57
089年04月11日	"台北一"	null	null	60.0	60
089年04月12日	"台北一"	null	null	42.6	133
089年04月13日	"台北一"	null	null	60.0	45
089年04月15日	"台北一"	null	null	60.0	68
089年04月16日	"台北一"	null	null	60.0	46
089年04月17日	"台北二"	null	null	82.7	43
089年04月17日	"台北一"	null	null	60.0	9
089年04月18日	"台北一"	null	null	60.0	45
089年04月19日	"台北一"	null	null	60.0	16
089年04月20日	"台北二"	null	null	60.0	16
089年04月20日	"台北一"	null	null	100.0	50
089年04月22日	"台北二"	null	null	60.0	10
089年04月22日	"台北一"	null	null	64.2	57
089年04月24日	"台北一"	null	null	60.0	88
089年04月25日	"台北一"	null	null	60.0	62
089年04月26日	"台北一"	null	null	60.0	22
089年04月27日	"台北一"	null	null	60.0	38
089年04月28日	"台北一"	null	null	60.0	20
089年04月30日	"台北一"	null	null	60.0	119
090年04月01日	"台北一"	null	null	86.8	230
090年04月02日	"台北一"	null	null	82.8	92
090年04月03日	"台北一"	null	null	83.5	181
090年04月04日	"台北一"	null	null	89.4	172
090年04月07日	"台北一"	null	null	80.0	265
090年04月08日	"台北一"	null	null	86.0	184
090年04月09日	"台北一"	null	null	99.1	246
090年04月11日	"台北一"	null	null	85.3	128
090年04月12日	"台北一"	null	null	86.5	124
090年04月13日	"台北一"	null	null	89.5	93
090年04月14日	"台北一"	null	null	81.2	144
090年04月15日	"台北二"	null	null	60.0	152
090年04月15日	"台北一"	null	null	85.3	234
090年04月16日	"台北一"	null	null	83.2	196
090年04月17日	"台北一"	null	null	83.0	220
090年04月19日	"台北二"	null	null	50.0	190
090年04月19日	"台北一"	null	null	84.7	246
090年04月20日	"台北二"	null	null	50.0	262
090年04月20日	"台北一"	null	null	91.5	171
090年04月21日	"台北二"	null	null	50.0	16
090年04月21日	"台北一"	null	null	98.5	155
090年04月22日	"台北二"	null	null	68.0	102
090年04月22日	"台北一"	null	null	87.5	180
090年04月23日	"台北二"	null	null	50.0	16
090年04月23日	"台北一"	null	null	91.0	102
090年04月24日	"台北一"	null	null	92.3	267
090年04月26日	"台北一"	null	null	88.5	180
090年04月27日	"台北一"	null	null	94.4	137
090年04月28日	"台北一"	null	null	88.6	124
090年04月29日	"台北一"	null	null	88.8	179
090年04月30日	"台北一"	null	null	90.5	66
091年04月01日	"高雄市"	null	null	26.9	2073
091年04月02日	"台北一"	null	null	100.0	21
091年04月02日	"高雄市"	null	null	20.0	800
091年04月03日	"台北一"	null	null	100.0	6
091年04月03日	"高雄市"	null	null	20.0	400
091年04月04日	"高雄市"	null	null	20.0	1050
091年04月07日	"台北一"	null	null	100.0	31
091年04月08日	"台北一"	null	null	136.7	8
091年04月08日	"高雄市"	null	null	20.0	470
091年04月09日	"台北一"	null	null	100.0	2
091年04月09日	"高雄市"	null	null	20.0	1300
091年04月10日	"台北一"	null	null	100.0	6
091年04月10日	"高雄市"	null	null	20.0	600
091年04月11日	"台北一"	null	null	100.0	8
091年04月11日	"高雄市"	null	null	20.0	1130
091年04月12日	"台北二"	null	null	60.0	12
091年04月12日	"台北一"	null	null	100.0	7
091年04月13日	"台北一"	null	null	100.0	12
091年04月13日	"高雄市"	null	null	45.0	24
091年04月14日	"台北一"	null	null	100.0	8
091年04月14日	"高雄市"	null	null	20.0	1837
091年04月16日	"台北一"	null	null	100.0	14
091年04月17日	"台北一"	null	null	100.0	13
091年04月17日	"高雄市"	null	null	20.1	2361
091年04月18日	"台北一"	null	null	100.0	18
091年04月20日	"台北一"	null	null	100.0	6
091年04月20日	"高雄市"	null	null	20.0	1240
091年04月21日	"高雄市"	null	null	20.0	550
091年04月23日	"台北一"	null	null	100.0	8
091年04月25日	"台北一"	null	null	100.0	4
091年04月25日	"高雄市"	null	null	20.0	970
091年04月26日	"台北一"	null	null	100.0	4
091年04月26日	"高雄市"	null	null	20.0	1473
091年04月28日	"台北一"	null	null	100.0	13
092年04月01日	"台北一"	null	null	100.0	29
092年04月02日	"台北一"	null	null	100.0	40
092年04月03日	"台北一"	null	null	100.0	42
092年04月04日	"台北一"	null	null	100.0	21
092年04月05日	"台北一"	null	null	100.0	15
092年04月08日	"台北一"	null	null	100.0	57
092年04月09日	"台北一"	null	null	98.9	36
092年04月10日	"台北一"	null	null	100.0	18
092年04月11日	"台北一"	null	null	100.0	25
092年04月12日	"台北一"	null	null	100.0	32
092年04月13日	"台北一"	null	null	100.0	22
092年04月15日	"台北一"	null	null	100.0	38
092年04月16日	"台北一"	null	null	100.0	25
092年04月17日	"台北一"	null	null	100.0	25
092年04月18日	"台北二"	null	null	120.0	4
092年04月18日	"台北一"	null	null	100.0	5
092年04月19日	"台北一"	null	null	100.0	25
