date	mktname	sbtype	transformation	middleprice	quantity
086年04月01日	"台北一"	null	null	19.8	213
086年04月02日	"台北一"	null	null	20.0	580
086年04月04日	"台北一"	null	null	20.0	480
086年04月07日	"台北一"	null	null	20.0	156
086年04月08日	"台北一"	null	null	20.0	636
086年04月09日	"台北一"	null	null	20.0	45
086年04月10日	"台北一"	null	null	20.0	580
086年04月11日	"台北一"	null	null	20.0	144
086年04月13日	"台北一"	null	null	20.0	636
086年04月15日	"台北一"	null	null	20.0	580
086年04月18日	"台北一"	null	null	20.0	714
086年04月19日	"台北一"	null	null	20.0	80
086年04月20日	"台北一"	null	null	20.0	480
086年04月21日	"台北一"	null	null	20.0	168
086年04月22日	"台北一"	null	null	20.0	480
086年04月24日	"台北一"	null	null	20.0	460
086年04月25日	"台北一"	null	null	20.0	168
086年04月26日	"台北一"	null	null	20.0	600
086年04月29日	"台北一"	null	null	20.0	570
086年04月30日	"台北一"	null	null	20.0	256
087年04月01日	"台北一"	null	null	20.0	996
087年04月02日	"台北一"	null	null	20.0	144
087年04月03日	"台北一"	null	null	20.0	1216
087年04月04日	"台北一"	null	null	20.0	996
087年04月08日	"台北一"	null	null	20.0	1080
087年04月09日	"台北一"	null	null	20.0	180
087年04月10日	"台北一"	null	null	20.0	732
087年04月11日	"台北一"	null	null	20.0	768
087年04月12日	"台北一"	null	null	20.0	168
087年04月14日	"台北一"	null	null	20.0	54
087年04月15日	"台北一"	null	null	25.0	528
087年04月17日	"台北一"	null	null	20.0	1188
087年04月18日	"台北一"	null	null	20.0	120
087年04月19日	"台北一"	null	null	20.0	1122
087年04月22日	"台北一"	null	null	20.0	1350
087年04月23日	"台北一"	null	null	20.0	132
087年04月24日	"台北一"	null	null	20.0	930
087年04月25日	"台北一"	null	null	20.0	192
087年04月26日	"台北一"	null	null	20.0	948
087年04月27日	"台北一"	null	null	20.0	90
087年04月29日	"台北一"	null	null	20.0	1200
088年04月01日	"台北二"	null	null	25.0	360
088年04月01日	"台北一"	null	null	20.0	880
088年04月02日	"台北一"	null	null	20.0	168
088年04月03日	"台北一"	null	null	20.0	1200
088年04月04日	"台北二"	null	null	25.0	360
088年04月07日	"台北一"	null	null	20.0	144
088年04月08日	"台北二"	null	null	25.0	360
088年04月08日	"台北一"	null	null	20.0	840
088年04月09日	"台北一"	null	null	20.0	1540
088年04月10日	"台北二"	null	null	25.0	360
088年04月10日	"台北一"	null	null	20.0	144
088年04月13日	"台北一"	null	null	20.0	1020
088年04月14日	"台北二"	null	null	25.0	360
088年04月14日	"台北一"	null	null	20.0	100
088年04月15日	"台北一"	null	null	20.0	840
088年04月16日	"台北二"	null	null	25.0	360
088年04月17日	"台北一"	null	null	20.0	1080
088年04月19日	"台北二"	null	null	25.0	360
088年04月19日	"台北一"	null	null	20.0	156
088年04月20日	"台北二"	null	null	25.0	360
088年04月20日	"台北一"	null	null	20.0	984
088年04月22日	"台北二"	null	null	25.0	360
088年04月22日	"台北一"	null	null	20.0	840
088年04月24日	"台北一"	null	null	20.0	960
088年04月27日	"台北二"	null	null	25.0	360
088年04月27日	"台北一"	null	null	20.0	1368
088年04月29日	"台北二"	null	null	25.0	360
088年04月29日	"台北一"	null	null	20.0	1116
089年04月01日	"台北一"	null	null	20.0	280
089年04月02日	"台北二"	null	null	25.0	360
089年04月02日	"台北一"	null	null	20.0	360
089年04月03日	"台北一"	null	null	20.0	196
089年04月06日	"台北二"	null	null	25.0	360
089年04月06日	"台北一"	null	null	20.0	360
089年04月08日	"台北一"	null	null	20.0	504
089年04月09日	"台北二"	null	null	25.0	360
089年04月11日	"台北一"	null	null	20.0	528
089年04月12日	"台北二"	null	null	25.0	360
089年04月12日	"台北一"	null	null	20.0	60
089年04月13日	"台北二"	null	null	25.0	360
089年04月13日	"台北一"	null	null	20.0	516
089年04月15日	"台北二"	null	null	25.0	24
089年04月16日	"台北二"	null	null	25.0	360
089年04月16日	"台北一"	null	null	20.0	360
089年04月17日	"台北一"	null	null	20.0	144
089年04月18日	"台北二"	null	null	25.0	384
089年04月18日	"台北一"	null	null	20.0	360
089年04月19日	"台北二"	null	null	25.0	24
089年04月20日	"台北一"	null	null	20.0	480
089年04月22日	"台北二"	null	null	25.0	360
089年04月23日	"台北二"	null	null	25.0	360
089年04月23日	"台北一"	null	null	20.0	360
089年04月25日	"台北一"	null	null	20.0	492
089年04月26日	"台北二"	null	null	25.0	360
089年04月27日	"台北二"	null	null	25.0	360
089年04月27日	"台北一"	null	null	20.0	360
089年04月28日	"台北一"	null	null	20.0	96
089年04月30日	"台北一"	null	null	20.0	360
090年04月01日	"台北一"	null	null	20.0	984
090年04月02日	"台北二"	null	null	25.0	540
090年04月03日	"台北二"	null	null	25.0	420
090年04月03日	"台北一"	null	null	20.0	696
090年04月07日	"台北一"	null	null	20.0	1800
090年04月08日	"台北二"	null	null	25.0	780
090年04月08日	"台北一"	null	null	20.0	120
090年04月11日	"台北二"	null	null	25.0	780
090年04月11日	"台北一"	null	null	20.0	1968
090年04月11日	"屏東市"	null	null	13.5	120
090年04月12日	"台北一"	null	null	20.0	120
090年04月12日	"屏東市"	null	null	13.9	120
090年04月13日	"台北一"	null	null	20.0	996
090年04月13日	"屏東市"	null	null	14.2	120
090年04月14日	"台北二"	null	null	25.0	600
090年04月14日	"台北一"	null	null	20.0	120
090年04月14日	"高雄市"	null	null	15.0	144
090年04月14日	"屏東市"	null	null	14.2	120
090年04月15日	"台北一"	null	null	20.0	1056
090年04月15日	"高雄市"	null	null	14.5	120
090年04月15日	"屏東市"	null	null	14.2	120
090年04月16日	"台北二"	null	null	25.0	480
090年04月16日	"高雄市"	null	null	5.0	108
090年04月16日	"屏東市"	null	null	13.3	120
090年04月17日	"台北一"	null	null	20.0	684
090年04月17日	"高雄市"	null	null	8.3	96
090年04月19日	"台北二"	null	null	25.0	540
090年04月20日	"台北一"	null	null	20.0	1692
090年04月20日	"高雄市"	null	null	13.3	216
090年04月20日	"屏東市"	null	null	13.3	120
090年04月21日	"台北二"	null	null	25.0	600
090年04月21日	"高雄市"	null	null	14.2	120
090年04月21日	"屏東市"	null	null	13.8	120
090年04月22日	"台北一"	null	null	20.0	1404
090年04月22日	"屏東市"	null	null	13.3	72
090年04月23日	"台北二"	null	null	25.0	720
090年04月23日	"屏東市"	null	null	13.3	12
