date	mktname	sbtype	transformation	middleprice	quantity
086年04月01日	"台北一"	"乾"	"乾"	35.0	180
086年04月01日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月01日	"台北一"	"漬"	"漬"	30.0	90
086年04月02日	"台北一"	"乾"	"乾"	15.0	650
086年04月02日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月02日	"台北一"	"漬"	"漬"	30.0	150
086年04月03日	"台北一"	"乾"	"乾"	38.2	150
086年04月03日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月03日	"台北一"	"漬"	"漬"	30.0	30
086年04月04日	"台北一"	"乾"	"乾"	37.5	100
086年04月04日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月04日	"台北一"	"漬"	"漬"	30.0	150
086年04月05日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月07日	"台北一"	"乾"	"乾"	38.0	180
086年04月07日	"台北一"	"漬"	"漬"	30.0	330
086年04月08日	"台北一"	"乾"	"乾"	32.8	220
086年04月08日	"高雄市"	"乾"	"乾"	15.0	1000
086年04月08日	"台北一"	"漬"	"漬"	30.0	150
086年04月09日	"台北一"	"乾"	"乾"	30.0	150
086年04月09日	"高雄市"	"乾"	"乾"	16.2	1515
086年04月09日	"台北一"	"漬"	"漬"	30.0	330
086年04月10日	"台北一"	"乾"	"乾"	30.0	100
086年04月10日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月10日	"台北一"	"漬"	"漬"	30.0	120
086年04月11日	"台北一"	"乾"	"乾"	33.0	120
086年04月11日	"高雄市"	"乾"	"乾"	20.0	500
086年04月11日	"台北一"	"漬"	"漬"	27.2	240
086年04月12日	"台北一"	"乾"	"乾"	33.3	150
086年04月12日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月12日	"台北一"	"漬"	"漬"	16.2	600
086年04月13日	"台北一"	"乾"	"乾"	30.3	160
086年04月13日	"高雄市"	"乾"	"乾"	20.0	500
086年04月13日	"台北一"	"漬"	"漬"	17.2	853
086年04月14日	"台北一"	"乾"	"乾"	29.5	210
086年04月14日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月14日	"台北一"	"漬"	"漬"	20.0	300
086年04月15日	"台北一"	"乾"	"乾"	29.2	240
086年04月15日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月15日	"台北一"	"漬"	"漬"	23.4	390
086年04月16日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月17日	"台北一"	"乾"	"乾"	26.1	240
086年04月17日	"高雄市"	"乾"	"乾"	16.1	1510
086年04月17日	"台北一"	"漬"	"漬"	30.0	350
086年04月18日	"台北一"	"乾"	"乾"	27.0	220
086年04月18日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月18日	"台北一"	"漬"	"漬"	30.0	360
086年04月19日	"台北一"	"乾"	"乾"	27.0	240
086年04月19日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月19日	"台北一"	"漬"	"漬"	30.0	300
086年04月20日	"台北一"	"乾"	"乾"	25.1	240
086年04月20日	"高雄市"	"乾"	"乾"	15.0	1000
086年04月20日	"台北一"	"漬"	"漬"	25.0	240
086年04月21日	"台北一"	"乾"	"乾"	26.6	302
086年04月21日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月21日	"台北一"	"漬"	"漬"	26.7	555
086年04月22日	"台北一"	"乾"	"乾"	24.4	330
086年04月22日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月22日	"台北一"	"漬"	"漬"	28.3	501
086年04月24日	"台北一"	"乾"	"乾"	23.8	350
086年04月24日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月24日	"台北一"	"漬"	"漬"	24.6	600
086年04月25日	"台北一"	"乾"	"乾"	20.3	370
086年04月25日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月25日	"台北一"	"漬"	"漬"	24.6	600
086年04月26日	"台北一"	"乾"	"乾"	24.7	220
086年04月26日	"高雄市"	"乾"	"乾"	15.7	1730
086年04月26日	"台北一"	"漬"	"漬"	24.7	870
086年04月27日	"台北一"	"乾"	"乾"	20.5	390
086年04月27日	"高雄市"	"乾"	"乾"	15.9	1620
086年04月27日	"台北一"	"漬"	"漬"	25.6	750
086年04月28日	"台北一"	"乾"	"乾"	21.9	410
086年04月28日	"高雄市"	"乾"	"乾"	15.0	1120
086年04月28日	"台北一"	"漬"	"漬"	23.9	1230
086年04月28日	"高雄市"	"漬"	"漬"	20.0	500
086年04月29日	"台北一"	"乾"	"乾"	20.3	382
086年04月29日	"高雄市"	"乾"	"乾"	15.8	1660
086年04月29日	"台北一"	"漬"	"漬"	23.0	390
086年04月30日	"台北一"	"乾"	"乾"	19.5	484
086年04月30日	"高雄市"	"乾"	"乾"	16.1	1500
086年04月30日	"台北一"	"漬"	"漬"	24.6	723
087年04月01日	"台北一"	"乾"	"乾"	30.0	135
087年04月01日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月01日	"台北一"	"漬"	"漬"	20.0	240
087年04月02日	"台北一"	"乾"	"乾"	34.6	335
087年04月02日	"高雄市"	"乾"	"乾"	24.2	850
087年04月02日	"台北一"	"漬"	"漬"	20.0	270
087年04月03日	"台北一"	"乾"	"乾"	30.0	660
087年04月03日	"高雄市"	"乾"	"乾"	24.2	855
087年04月03日	"台北一"	"漬"	"漬"	20.0	60
087年04月04日	"台北一"	"乾"	"乾"	30.0	320
087年04月04日	"高雄市"	"乾"	"乾"	24.2	850
087年04月04日	"台北一"	"漬"	"漬"	20.0	30
087年04月05日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月07日	"台北一"	"漬"	"漬"	26.0	350
087年04月08日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月08日	"台北一"	"漬"	"漬"	22.0	520
087年04月09日	"台北一"	"乾"	"乾"	30.0	150
087年04月09日	"高雄市"	"乾"	"乾"	22.0	1350
087年04月09日	"台北一"	"漬"	"漬"	20.0	300
087年04月10日	"台北一"	"乾"	"乾"	29.9	190
087年04月10日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月10日	"台北一"	"漬"	"漬"	20.0	90
087年04月11日	"台北一"	"乾"	"乾"	30.0	100
087年04月11日	"高雄市"	"乾"	"乾"	20.0	500
087年04月11日	"台北一"	"漬"	"漬"	20.0	375
087年04月12日	"台北一"	"乾"	"乾"	28.2	170
087年04月12日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月12日	"台北一"	"漬"	"漬"	20.0	415
087年04月14日	"台北一"	"乾"	"乾"	30.0	100
087年04月14日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月14日	"台北一"	"漬"	"漬"	20.0	535
087年04月15日	"台北一"	"乾"	"乾"	30.0	117
087年04月15日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月15日	"台北一"	"漬"	"漬"	20.0	405
087年04月16日	"台北一"	"乾"	"乾"	29.6	150
087年04月16日	"高雄市"	"乾"	"乾"	20.0	500
087年04月16日	"台北一"	"漬"	"漬"	20.0	360
087年04月17日	"台北一"	"乾"	"乾"	29.4	236
087年04月17日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月17日	"台北一"	"漬"	"漬"	20.0	300
087年04月18日	"台北一"	"乾"	"乾"	30.0	140
087年04月18日	"高雄市"	"乾"	"乾"	23.8	1460
087年04月18日	"台北一"	"漬"	"漬"	20.0	500
087年04月19日	"台北一"	"乾"	"乾"	14.7	340
087年04月19日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月19日	"台北一"	"漬"	"漬"	20.0	295
087年04月20日	"台北一"	"乾"	"乾"	27.1	317
087年04月20日	"高雄市"	"乾"	"乾"	25.0	600
087年04月20日	"台北一"	"漬"	"漬"	20.0	655
087年04月21日	"高雄市"	"乾"	"乾"	25.0	600
087年04月22日	"台北一"	"乾"	"乾"	27.4	245
087年04月22日	"高雄市"	"乾"	"乾"	20.0	510
087年04月22日	"台北一"	"漬"	"漬"	20.0	480
087年04月23日	"台北一"	"乾"	"乾"	29.5	230
087年04月23日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月23日	"台北一"	"漬"	"漬"	20.0	755
087年04月24日	"台北一"	"乾"	"乾"	28.8	695
087年04月24日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月24日	"台北一"	"漬"	"漬"	20.0	540
087年04月25日	"台北一"	"乾"	"乾"	25.3	465
087年04月25日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月25日	"台北一"	"漬"	"漬"	20.0	225
087年04月26日	"台北一"	"乾"	"乾"	22.4	550
087年04月26日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月26日	"台北一"	"漬"	"漬"	20.0	520
087年04月26日	"台中市"	"漬"	"漬"	26.1	90
087年04月27日	"台北一"	"乾"	"乾"	23.5	507
087年04月27日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月27日	"台北一"	"漬"	"漬"	20.0	615
087年04月29日	"台北一"	"乾"	"乾"	25.4	382
087年04月29日	"高雄市"	"乾"	"乾"	20.0	500
087年04月29日	"台北一"	"漬"	"漬"	20.0	1070
087年04月30日	"台北一"	"乾"	"乾"	26.3	340
087年04月30日	"高雄市"	"乾"	"乾"	22.9	1100
087年04月30日	"台北一"	"漬"	"漬"	20.0	430
088年04月01日	"高雄市"	"乾"	"乾"	10.0	2100
088年04月01日	"台北二"	"漬"	"漬"	30.0	84
088年04月01日	"台北一"	"漬"	"漬"	20.1	520
088年04月02日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月02日	"台北二"	"漬"	"漬"	30.0	102
088年04月02日	"台北一"	"漬"	"漬"	21.2	505
088年04月03日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月03日	"台北二"	"漬"	"漬"	30.0	90
088年04月03日	"台北一"	"漬"	"漬"	18.4	415
088年04月04日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月04日	"台北二"	"漬"	"漬"	30.0	42
088年04月04日	"台北一"	"漬"	"漬"	19.7	316
088年04月05日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月07日	"台北二"	"漬"	"漬"	30.0	54
088年04月07日	"台北一"	"漬"	"漬"	20.0	320
088年04月08日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月08日	"台北二"	"漬"	"漬"	30.0	144
088年04月08日	"台北一"	"漬"	"漬"	20.0	700
088年04月09日	"高雄市"	"乾"	"乾"	10.0	2100
088年04月09日	"台北二"	"漬"	"漬"	30.0	54
088年04月09日	"台北一"	"漬"	"漬"	20.0	260
088年04月10日	"高雄市"	"乾"	"乾"	10.0	2100
088年04月10日	"台北二"	"漬"	"漬"	30.0	138
088年04月10日	"台北一"	"漬"	"漬"	20.0	150
088年04月11日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月12日	"高雄市"	"乾"	"乾"	10.0	2100
088年04月12日	"台北二"	"漬"	"漬"	30.0	102
088年04月12日	"台北一"	"漬"	"漬"	20.0	611
088年04月13日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月13日	"台北二"	"漬"	"漬"	30.0	138
088年04月13日	"台北一"	"漬"	"漬"	20.0	600
088年04月14日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月14日	"台北二"	"漬"	"漬"	28.3	120
088年04月14日	"台北一"	"漬"	"漬"	21.8	370
088年04月15日	"高雄市"	"乾"	"乾"	10.0	1700
088年04月15日	"台北二"	"漬"	"漬"	30.0	66
088年04月15日	"台北一"	"漬"	"漬"	20.0	320
088年04月16日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月16日	"台北二"	"漬"	"漬"	30.0	102
088年04月16日	"台北一"	"漬"	"漬"	20.8	235
088年04月17日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月17日	"台北二"	"漬"	"漬"	30.0	36
088年04月17日	"台北一"	"漬"	"漬"	20.0	455
088年04月19日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月19日	"台北二"	"漬"	"漬"	30.0	102
088年04月19日	"台北一"	"漬"	"漬"	20.0	360
088年04月20日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月20日	"台北二"	"漬"	"漬"	30.0	36
088年04月20日	"台北一"	"漬"	"漬"	19.9	345
088年04月21日	"高雄市"	"乾"	"乾"	10.4	2208
088年04月21日	"台北二"	"漬"	"漬"	30.0	36
088年04月21日	"台北一"	"漬"	"漬"	16.7	150
088年04月22日	"高雄市"	"乾"	"乾"	10.0	1700
088年04月22日	"台北二"	"漬"	"漬"	30.0	48
088年04月22日	"台北一"	"漬"	"漬"	19.8	391
088年04月23日	"高雄市"	"乾"	"乾"	10.0	2100
088年04月23日	"台北二"	"漬"	"漬"	30.0	102
088年04月23日	"台北一"	"漬"	"漬"	20.0	309
088年04月24日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月24日	"台北二"	"漬"	"漬"	30.0	36
088年04月24日	"台北一"	"漬"	"漬"	19.5	358
088年04月25日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月26日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月26日	"台北二"	"漬"	"漬"	30.0	90
088年04月26日	"台北一"	"漬"	"漬"	18.9	738
088年04月27日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月27日	"台北二"	"漬"	"漬"	30.0	72
088年04月27日	"台北一"	"漬"	"漬"	29.4	786
088年04月28日	"高雄市"	"乾"	"乾"	10.0	2100
088年04月28日	"台北二"	"漬"	"漬"	22.5	72
088年04月28日	"台北一"	"漬"	"漬"	20.0	616
088年04月29日	"台北二"	"乾"	"乾"	20.0	52
088年04月29日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月29日	"台北二"	"漬"	"漬"	30.0	126
088年04月29日	"台北一"	"漬"	"漬"	20.0	534
088年04月30日	"高雄市"	"乾"	"乾"	10.5	2200
088年04月30日	"台北二"	"漬"	"漬"	25.4	222
088年04月30日	"台北一"	"漬"	"漬"	20.0	650
089年04月01日	"台北一"	"乾"	"乾"	30.0	45
089年04月01日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月01日	"台北二"	"漬"	"漬"	27.8	54
089年04月01日	"台北一"	"漬"	"漬"	20.0	15
089年04月02日	"台北一"	"乾"	"乾"	30.0	45
089年04月02日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月02日	"台北二"	"漬"	"漬"	20.1	42
089年04月02日	"台北一"	"漬"	"漬"	20.0	60
089年04月03日	"台北一"	"乾"	"乾"	30.0	54
089年04月03日	"高雄市"	"乾"	"乾"	20.0	1010
089年04月03日	"台北二"	"漬"	"漬"	30.0	54
089年04月03日	"台北一"	"漬"	"漬"	20.0	15
089年04月04日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月06日	"台北一"	"乾"	"乾"	30.0	20
089年04月06日	"台北二"	"漬"	"漬"	27.8	54
089年04月06日	"台北一"	"漬"	"漬"	20.0	165
089年04月07日	"台北一"	"乾"	"乾"	30.0	90
089年04月07日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月07日	"台北二"	"漬"	"漬"	28.8	66
089年04月07日	"台北一"	"漬"	"漬"	20.0	30
089年04月08日	"台北一"	"乾"	"乾"	16.0	135
089年04月08日	"台北二"	"漬"	"漬"	29.5	78
089年04月08日	"台北一"	"漬"	"漬"	20.0	30
089年04月09日	"台北一"	"乾"	"乾"	30.0	45
089年04月09日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月09日	"台北二"	"漬"	"漬"	30.0	54
089年04月09日	"台北一"	"漬"	"漬"	20.0	30
089年04月10日	"台北二"	"乾"	"乾"	30.0	24
089年04月10日	"台北一"	"乾"	"乾"	30.0	45
089年04月10日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月10日	"台北二"	"漬"	"漬"	30.0	78
089年04月10日	"台北一"	"漬"	"漬"	20.0	30
089年04月11日	"台北一"	"乾"	"乾"	30.0	45
089年04月11日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月11日	"台北二"	"漬"	"漬"	30.0	78
089年04月11日	"台北一"	"漬"	"漬"	20.0	30
089年04月12日	"台北一"	"乾"	"乾"	25.6	198
089年04月12日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月12日	"台北二"	"漬"	"漬"	30.0	66
089年04月12日	"台北一"	"漬"	"漬"	20.0	30
089年04月13日	"台北一"	"乾"	"乾"	30.0	45
089年04月13日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月13日	"台北二"	"漬"	"漬"	28.8	66
089年04月13日	"台北一"	"漬"	"漬"	20.0	30
089年04月14日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月15日	"台北一"	"乾"	"乾"	8.8	141
089年04月15日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月15日	"台北二"	"漬"	"漬"	30.0	90
089年04月15日	"台北一"	"漬"	"漬"	20.0	330
089年04月16日	"台北一"	"乾"	"乾"	30.0	45
089年04月16日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月16日	"台北二"	"漬"	"漬"	30.0	138
089年04月16日	"台北一"	"漬"	"漬"	20.0	90
089年04月17日	"台北一"	"乾"	"乾"	30.0	75
089年04月17日	"台北二"	"漬"	"漬"	30.0	150
089年04月18日	"台北一"	"乾"	"乾"	30.0	45
089年04月18日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月18日	"台北二"	"漬"	"漬"	30.0	66
089年04月18日	"台北一"	"漬"	"漬"	20.0	45
089年04月19日	"台北一"	"乾"	"乾"	30.0	45
089年04月19日	"高雄市"	"乾"	"乾"	20.0	1000
089年04月19日	"台北二"	"漬"	"漬"	30.0	78
089年04月19日	"台北一"	"漬"	"漬"	20.0	135
