date	mktname	sbtype	transformation	middleprice	quantity
086年04月18日	"台北一"	null	null	18.0	120
086年04月28日	"台北一"	null	null	18.0	60
087年04月04日	"台北一"	null	null	18.0	77
087年04月09日	"台北一"	null	null	18.0	120
087年04月14日	"台北一"	null	null	18.0	228
087年04月22日	"台北一"	null	null	13.0	240
087年04月24日	"台北一"	null	null	18.0	132
087年04月27日	"台北一"	null	null	10.0	336
088年04月01日	"台北二"	null	null	25.0	24
088年04月02日	"台北二"	null	null	25.0	48
088年04月04日	"台北二"	null	null	25.0	24
088年04月07日	"台北二"	null	null	25.0	72
088年04月08日	"台北二"	null	null	25.0	48
088年04月09日	"台北二"	null	null	25.0	24
088年04月10日	"台北二"	null	null	25.0	24
088年04月12日	"台北二"	null	null	25.0	72
088年04月14日	"台北二"	null	null	25.0	36
088年04月15日	"台北二"	null	null	25.0	384
088年04月16日	"台北二"	null	null	25.0	60
088年04月17日	"台北二"	null	null	25.0	36
088年04月20日	"台北二"	null	null	25.0	72
088年04月21日	"台北二"	null	null	25.0	60
088年04月22日	"台北二"	null	null	25.0	24
088年04月23日	"台北二"	null	null	25.0	120
088年04月24日	"台北二"	null	null	25.0	24
088年04月26日	"台北二"	null	null	25.0	48
088年04月28日	"台北二"	null	null	25.0	24
088年04月28日	"台北一"	null	null	18.0	120
088年04月29日	"台北二"	null	null	25.0	48
088年04月30日	"台北二"	null	null	25.0	72
089年04月01日	"台北二"	null	null	20.0	36
089年04月01日	"台北一"	null	null	17.3	144
089年04月03日	"台北二"	null	null	20.0	48
089年04月06日	"台北二"	null	null	20.0	108
089年04月07日	"台北二"	null	null	20.0	84
089年04月08日	"台北二"	null	null	20.0	48
089年04月08日	"台北一"	null	null	15.0	60
089年04月09日	"台北二"	null	null	20.0	60
089年04月10日	"台北二"	null	null	22.0	108
089年04月11日	"台北二"	null	null	20.0	60
089年04月12日	"台北二"	null	null	20.0	84
089年04月12日	"台北一"	null	null	10.0	36
089年04月13日	"台北二"	null	null	20.0	72
089年04月15日	"台北二"	null	null	20.0	36
089年04月15日	"台北一"	null	null	15.0	120
089年04月16日	"台北二"	null	null	20.0	60
089年04月17日	"台北二"	null	null	20.0	114
089年04月18日	"台北二"	null	null	20.0	72
089年04月19日	"台北二"	null	null	20.0	36
089年04月20日	"台北二"	null	null	20.0	60
089年04月22日	"台北二"	null	null	21.7	120
089年04月23日	"台北二"	null	null	20.0	96
089年04月24日	"台北二"	null	null	20.0	48
089年04月25日	"台北二"	null	null	20.0	48
089年04月25日	"台北一"	null	null	15.0	120
089年04月26日	"台北二"	null	null	20.0	120
089年04月26日	"台北一"	null	null	10.0	36
089年04月27日	"台北二"	null	null	20.0	72
089年04月28日	"台北二"	null	null	20.0	72
089年04月28日	"台北一"	null	null	10.0	36
089年04月30日	"台北二"	null	null	20.0	108
089年04月30日	"台北一"	null	null	15.0	120
090年04月01日	"台北二"	null	null	20.0	24
090年04月01日	"台北一"	null	null	15.0	120
090年04月02日	"台北二"	null	null	20.0	72
090年04月03日	"台北二"	null	null	20.0	36
090年04月04日	"台北二"	null	null	20.0	108
090年04月07日	"台北二"	null	null	20.0	36
090年04月07日	"台北一"	null	null	15.0	180
090年04月08日	"台北二"	null	null	20.0	72
090年04月09日	"台北二"	null	null	20.0	60
090年04月11日	"台北二"	null	null	20.0	96
090年04月11日	"台北一"	null	null	15.0	180
090年04月12日	"台北二"	null	null	20.0	60
