date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北一"	"綠竹筍"	null	130.0	51
085年04月02日	"台北一"	"綠竹筍"	null	130.0	57
085年04月03日	"台北一"	"綠竹筍"	null	130.0	63
085年04月03日	"高雄市"	"綠竹筍"	null	60.0	300
085年04月06日	"台北一"	"綠竹筍"	null	100.0	1314
085年04月07日	"台北一"	"綠竹筍"	null	90.0	666
085年04月08日	"台北一"	"綠竹筍"	null	90.0	80
085年04月09日	"台北一"	"綠竹筍"	null	90.0	57
085年04月10日	"台北一"	"綠竹筍"	null	90.0	1584
085年04月11日	"台北二"	"綠竹筍"	null	70.0	30
085年04月11日	"台北一"	"綠竹筍"	null	75.0	2323
085年04月13日	"台北一"	"綠竹筍"	null	75.0	1800
085年04月13日	"台中市"	"綠竹筍"	null	20.0	33
085年04月14日	"台北一"	"綠竹筍"	null	75.0	1404
085年04月15日	"台北一"	"綠竹筍"	null	75.0	1330
085年04月15日	"台中市"	"綠竹筍"	null	29.4	58
085年04月16日	"台北二"	"綠竹筍"	null	70.0	70
085年04月16日	"台北一"	"綠竹筍"	null	75.0	1191
085年04月16日	"台中市"	"綠竹筍"	null	20.0	22
085年04月17日	"台北二"	"綠竹筍"	null	70.0	90
085年04月17日	"台北一"	"綠竹筍"	null	75.0	2178
085年04月17日	"台中市"	"綠竹筍"	null	25.0	18
085年04月18日	"台北二"	"綠竹筍"	null	70.0	60
085年04月18日	"台北一"	"綠竹筍"	null	75.0	1257
085年04月18日	"台中市"	"綠竹筍"	null	28.0	36
085年04月19日	"台北二"	"綠竹筍"	null	70.0	114
085年04月19日	"台北一"	"綠竹筍"	null	75.0	2625
085年04月21日	"台北二"	"綠竹筍"	null	75.0	90
085年04月21日	"台北一"	"綠竹筍"	null	75.0	980
085年04月22日	"台北二"	"綠竹筍"	null	75.0	180
085年04月22日	"台北一"	"綠竹筍"	null	75.0	1890
085年04月23日	"台北二"	"綠竹筍"	null	75.0	150
085年04月23日	"台北一"	"綠竹筍"	null	75.0	1671
085年04月24日	"台北二"	"綠竹筍"	null	63.8	180
085年04月24日	"台北一"	"綠竹筍"	null	75.0	2411
085年04月25日	"台北一"	"綠竹筍"	null	75.0	1960
085年04月26日	"台北一"	"綠竹筍"	null	75.0	1950
085年04月27日	"台中市"	"綠竹筍"	null	40.0	19
085年04月28日	"台北二"	"綠竹筍"	null	90.0	270
085年04月28日	"台北一"	"綠竹筍"	null	75.0	2540
085年04月29日	"台北二"	"綠竹筍"	null	90.0	240
085年04月29日	"台北一"	"綠竹筍"	null	75.0	1900
085年04月30日	"台北二"	"綠竹筍"	null	90.0	240
085年04月30日	"台北一"	"綠竹筍"	null	75.0	2090
085年04月30日	"台中市"	"綠竹筍"	null	35.0	54
086年04月01日	"台北一"	"綠竹筍"	null	70.0	600
086年04月02日	"台北一"	"綠竹筍"	null	70.0	600
086年04月02日	"台中市"	"綠竹筍"	null	36.3	40
086年04月03日	"台北一"	"綠竹筍"	null	70.0	900
086年04月03日	"台中市"	"綠竹筍"	null	30.0	20
086年04月04日	"台北一"	"綠竹筍"	null	70.0	1230
086年04月07日	"台北一"	"綠竹筍"	null	70.0	2610
086年04月07日	"台中市"	"綠竹筍"	null	26.7	60
086年04月08日	"台北一"	"綠竹筍"	null	70.0	1350
086年04月08日	"台中市"	"綠竹筍"	null	25.0	60
086年04月09日	"台北一"	"綠竹筍"	null	70.0	1140
086年04月09日	"台中市"	"綠竹筍"	null	20.0	40
086年04月10日	"台北二"	"綠竹筍"	null	60.0	30
086年04月10日	"台北一"	"綠竹筍"	null	70.0	30
086年04月11日	"台北一"	"綠竹筍"	null	70.0	300
086年04月12日	"台北一"	"綠竹筍"	null	65.0	3210
086年04月13日	"台北一"	"綠竹筍"	null	70.0	1420
086年04月13日	"台中市"	"綠竹筍"	null	30.0	20
086年04月14日	"台北一"	"綠竹筍"	null	65.0	1890
086年04月14日	"台中市"	"綠竹筍"	null	20.0	20
086年04月15日	"台北一"	"綠竹筍"	null	65.0	1800
086年04月17日	"台北一"	"綠竹筍"	null	60.0	3192
086年04月17日	"台中市"	"綠竹筍"	null	30.0	10
086年04月18日	"台北一"	"綠竹筍"	null	60.0	1950
086年04月18日	"台中市"	"綠竹筍"	null	20.7	30
086年04月19日	"台北一"	"綠竹筍"	null	60.0	1530
086年04月19日	"台中市"	"綠竹筍"	null	20.0	258
086年04月20日	"台北一"	"綠竹筍"	null	60.0	1877
086年04月21日	"台北一"	"綠竹筍"	null	60.0	2256
086年04月22日	"台北一"	"綠竹筍"	null	60.0	1987
086年04月22日	"屏東市"	"綠竹筍"	null	100.0	2000
086年04月24日	"台北一"	"綠竹筍"	null	60.0	2760
086年04月24日	"屏東市"	"綠竹筍"	null	100.0	2400
086年04月25日	"台北一"	"綠竹筍"	null	60.0	2080
086年04月25日	"屏東市"	"綠竹筍"	null	65.0	2000
086年04月26日	"台北一"	"綠竹筍"	null	60.0	60
086年04月26日	"屏東市"	"綠竹筍"	null	80.0	2000
086年04月27日	"台北一"	"綠竹筍"	null	150.0	410
086年04月27日	"屏東市"	"綠竹筍"	null	80.0	2750
086年04月28日	"台北一"	"綠竹筍"	null	100.0	1840
086年04月28日	"屏東市"	"綠竹筍"	null	80.0	1500
086年04月29日	"台北二"	"綠竹筍"	null	70.0	20
086年04月29日	"台北一"	"綠竹筍"	null	130.0	1532
086年04月29日	"屏東市"	"綠竹筍"	null	80.0	2000
086年04月30日	"台北二"	"綠竹筍"	null	60.0	90
086年04月30日	"台北一"	"綠竹筍"	null	130.0	2849
086年04月30日	"屏東市"	"綠竹筍"	null	80.0	1750
087年04月01日	"台北一"	"綠竹筍"	null	37.5	1260
087年04月01日	"高雄市"	"綠竹筍"	null	100.0	20
087年04月02日	"台北一"	"綠竹筍"	null	39.7	130
087年04月02日	"屏東市"	"綠竹筍"	null	100.0	500
087年04月03日	"台北一"	"綠竹筍"	null	60.0	1130
087年04月03日	"屏東市"	"綠竹筍"	null	100.0	500
087年04月04日	"台北一"	"綠竹筍"	null	60.0	2430
087年04月04日	"屏東市"	"綠竹筍"	null	100.0	500
087年04月05日	"屏東市"	"綠竹筍"	null	100.0	500
087年04月06日	"屏東市"	"綠竹筍"	null	100.0	500
087年04月07日	"台北二"	"綠竹筍"	null	80.0	130
087年04月07日	"台北一"	"綠竹筍"	null	30.0	110
087年04月07日	"屏東市"	"綠竹筍"	null	100.0	300
087年04月08日	"台北一"	"綠竹筍"	null	60.0	2843
087年04月08日	"屏東市"	"綠竹筍"	null	100.0	500
087年04月09日	"台北一"	"綠竹筍"	null	60.0	1014
087年04月09日	"屏東市"	"綠竹筍"	null	100.0	500
087年04月10日	"台北一"	"綠竹筍"	null	60.0	85
087年04月10日	"屏東市"	"綠竹筍"	null	100.0	600
087年04月11日	"台北二"	"綠竹筍"	null	80.0	40
087年04月11日	"台北一"	"綠竹筍"	null	60.0	1374
087年04月11日	"屏東市"	"綠竹筍"	null	110.0	600
087年04月12日	"台北二"	"綠竹筍"	null	80.0	40
087年04月12日	"台北一"	"綠竹筍"	null	60.0	1918
087年04月12日	"屏東市"	"綠竹筍"	null	100.0	600
087年04月14日	"台北二"	"綠竹筍"	null	80.0	120
087年04月14日	"台北一"	"綠竹筍"	null	60.0	1659
087年04月14日	"屏東市"	"綠竹筍"	null	100.0	800
087年04月15日	"台北二"	"綠竹筍"	null	80.0	150
087年04月15日	"台北一"	"綠竹筍"	null	60.0	1898
087年04月15日	"屏東市"	"綠竹筍"	null	90.0	400
087年04月16日	"台北二"	"綠竹筍"	null	80.0	80
087年04月16日	"台北一"	"綠竹筍"	null	60.0	483
087年04月16日	"高雄市"	"綠竹筍"	null	60.0	200
087年04月16日	"屏東市"	"綠竹筍"	null	90.0	500
087年04月17日	"台北二"	"綠竹筍"	null	80.0	280
087年04月17日	"台北一"	"綠竹筍"	null	60.0	2914
087年04月17日	"屏東市"	"綠竹筍"	null	90.0	800
087年04月18日	"台北二"	"綠竹筍"	null	70.0	200
087年04月18日	"台北一"	"綠竹筍"	null	60.0	2380
087年04月18日	"屏東市"	"綠竹筍"	null	100.0	500
087年04月19日	"台北二"	"綠竹筍"	null	70.0	160
087年04月19日	"台北一"	"綠竹筍"	null	80.0	2308
087年04月19日	"屏東市"	"綠竹筍"	null	100.0	600
087年04月20日	"台北二"	"綠竹筍"	null	70.0	90
087年04月20日	"台北一"	"綠竹筍"	null	80.0	2649
087年04月20日	"屏東市"	"綠竹筍"	null	110.0	500
087年04月21日	"高雄市"	"綠竹筍"	null	66.3	30
087年04月21日	"屏東市"	"綠竹筍"	null	100.0	400
087年04月22日	"台北二"	"綠竹筍"	null	70.0	240
087年04月22日	"台北一"	"綠竹筍"	null	80.0	2560
087年04月22日	"屏東市"	"綠竹筍"	null	80.0	1500
087年04月23日	"台北二"	"綠竹筍"	null	70.0	440
087年04月23日	"台北一"	"綠竹筍"	null	80.0	2967
087年04月23日	"屏東市"	"綠竹筍"	null	100.0	700
087年04月24日	"台北二"	"綠竹筍"	null	70.0	540
087年04月24日	"台北一"	"綠竹筍"	null	80.0	1831
087年04月24日	"屏東市"	"綠竹筍"	null	90.0	1200
087年04月25日	"台北二"	"綠竹筍"	null	70.0	509
087年04月25日	"台北一"	"綠竹筍"	null	100.0	3584
087年04月25日	"台中市"	"綠竹筍"	null	12.0	50
087年04月25日	"高雄市"	"綠竹筍"	null	130.0	30
087年04月25日	"屏東市"	"綠竹筍"	null	80.0	1200
087年04月26日	"台北二"	"綠竹筍"	null	70.0	976
087年04月26日	"台北一"	"綠竹筍"	null	100.0	4512
087年04月26日	"屏東市"	"綠竹筍"	null	75.0	1200
087年04月27日	"台北二"	"綠竹筍"	null	70.0	320
087年04月27日	"台北一"	"綠竹筍"	null	90.0	2627
087年04月27日	"高雄市"	"綠竹筍"	null	120.0	60
087年04月27日	"屏東市"	"綠竹筍"	null	71.5	2280
087年04月29日	"台北二"	"綠竹筍"	null	50.0	1410
087年04月29日	"台北一"	"綠竹筍"	null	80.0	6975
087年04月29日	"高雄市"	"綠竹筍"	null	124.4	90
087年04月29日	"屏東市"	"綠竹筍"	null	70.0	1500
087年04月30日	"台北二"	"綠竹筍"	null	70.0	1000
087年04月30日	"台北一"	"綠竹筍"	null	80.0	5500
087年04月30日	"高雄市"	"綠竹筍"	null	121.7	80
087年04月30日	"屏東市"	"綠竹筍"	null	75.0	1200
088年04月01日	"台北一"	"綠竹筍"	null	90.0	855
088年04月02日	"台北一"	"綠竹筍"	null	90.0	1485
088年04月02日	"屏東市"	"綠竹筍"	null	94.7	1700
088年04月03日	"台北一"	"綠竹筍"	null	90.0	770
088年04月03日	"屏東市"	"綠竹筍"	null	85.0	1300
088年04月04日	"台北一"	"綠竹筍"	null	90.0	1870
088年04月04日	"屏東市"	"綠竹筍"	null	85.0	1800
088年04月05日	"屏東市"	"綠竹筍"	null	85.0	1700
088年04月07日	"台北二"	"綠竹筍"	null	28.0	84
088年04月07日	"台北一"	"綠竹筍"	null	75.0	3168
088年04月07日	"屏東市"	"綠竹筍"	null	85.0	2000
088年04月08日	"台北一"	"綠竹筍"	null	75.0	1240
088年04月08日	"屏東市"	"綠竹筍"	null	85.0	1300
088年04月09日	"台北一"	"綠竹筍"	null	75.0	1766
088年04月09日	"屏東市"	"綠竹筍"	null	80.0	1500
088年04月10日	"台北二"	"綠竹筍"	null	87.7	324
088年04月10日	"台北一"	"綠竹筍"	null	75.0	1755
088年04月10日	"屏東市"	"綠竹筍"	null	80.0	1550
088年04月11日	"屏東市"	"綠竹筍"	null	75.0	1600
088年04月12日	"台北二"	"綠竹筍"	null	84.1	434
088年04月12日	"台北一"	"綠竹筍"	null	75.0	3556
088年04月12日	"屏東市"	"綠竹筍"	null	70.0	1800
088年04月13日	"台北二"	"綠竹筍"	null	83.7	216
088年04月13日	"台北一"	"綠竹筍"	null	75.0	2483
088年04月13日	"屏東市"	"綠竹筍"	null	65.0	1600
088年04月14日	"台北二"	"綠竹筍"	null	91.6	311
088年04月14日	"台北一"	"綠竹筍"	null	70.0	1988
088年04月14日	"屏東市"	"綠竹筍"	null	70.0	1700
088年04月15日	"台北二"	"綠竹筍"	null	82.7	222
088年04月15日	"台北一"	"綠竹筍"	null	70.0	1965
088年04月15日	"屏東市"	"綠竹筍"	null	70.0	1800
088年04月16日	"台北二"	"綠竹筍"	null	65.9	584
088年04月16日	"台北一"	"綠竹筍"	null	65.0	2721
088年04月16日	"屏東市"	"綠竹筍"	null	55.0	2200
088年04月17日	"台北二"	"綠竹筍"	null	77.1	562
088年04月17日	"台北一"	"綠竹筍"	null	70.0	1888
088年04月17日	"屏東市"	"綠竹筍"	null	50.0	2300
088年04月18日	"屏東市"	"綠竹筍"	null	45.0	2400
088年04月19日	"台北二"	"綠竹筍"	null	84.1	304
088年04月19日	"台北一"	"綠竹筍"	null	70.0	2819
088年04月19日	"高雄市"	"綠竹筍"	null	125.0	40
088年04月19日	"屏東市"	"綠竹筍"	null	50.0	2000
088年04月20日	"台北二"	"綠竹筍"	null	86.7	356
088年04月20日	"台北一"	"綠竹筍"	null	70.0	2587
088年04月20日	"屏東市"	"綠竹筍"	null	40.0	4000
088年04月21日	"台北二"	"綠竹筍"	null	113.8	264
088年04月21日	"台北一"	"綠竹筍"	null	70.0	1855
088年04月21日	"屏東市"	"綠竹筍"	null	50.0	3500
088年04月22日	"台北二"	"綠竹筍"	null	83.3	344
088年04月22日	"台北一"	"綠竹筍"	null	75.0	2955
088年04月22日	"屏東市"	"綠竹筍"	null	50.0	4500
088年04月23日	"台北二"	"綠竹筍"	null	92.8	456
088年04月23日	"台北一"	"綠竹筍"	null	80.0	3037
088年04月23日	"屏東市"	"綠竹筍"	null	50.0	4000
088年04月24日	"台北二"	"綠竹筍"	null	89.9	172
088年04月24日	"台北一"	"綠竹筍"	null	85.0	2416
088年04月24日	"高雄市"	"綠竹筍"	null	100.0	100
088年04月24日	"屏東市"	"綠竹筍"	null	50.0	5500
088年04月25日	"高雄市"	"綠竹筍"	null	100.0	30
088年04月25日	"屏東市"	"綠竹筍"	null	55.0	4500
088年04月26日	"台北二"	"綠竹筍"	null	105.5	229
088年04月26日	"台北一"	"綠竹筍"	null	80.0	3224
088年04月26日	"高雄市"	"綠竹筍"	null	66.7	30
088年04月26日	"屏東市"	"綠竹筍"	null	58.0	4500
088年04月27日	"台北二"	"綠竹筍"	null	101.7	200
088年04月27日	"台北一"	"綠竹筍"	null	90.0	2428
088年04月27日	"台中市"	"綠竹筍"	null	20.0	180
088年04月27日	"屏東市"	"綠竹筍"	null	55.0	4600
088年04月28日	"台北二"	"綠竹筍"	null	80.0	187
088年04月28日	"台北一"	"綠竹筍"	null	110.0	2440
088年04月28日	"高雄市"	"綠竹筍"	null	80.0	100
088年04月28日	"屏東市"	"綠竹筍"	null	58.0	4550
