date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	null	null	50.0	60
085年04月01日	"台北一"	null	null	55.0	980
085年04月01日	"高雄市"	null	null	50.0	180
085年04月01日	"台北二"	"蓮子"	null	90.0	12
085年04月01日	"台北一"	"蓮子"	null	90.0	20
085年04月02日	"台北二"	null	null	50.0	60
085年04月02日	"台北一"	null	null	55.0	550
085年04月02日	"高雄市"	null	null	50.0	155
085年04月03日	"台北二"	null	null	50.0	60
085年04月03日	"台北一"	null	null	55.0	510
085年04月03日	"高雄市"	null	null	50.0	140
085年04月03日	"台北二"	"蓮子"	null	90.0	18
085年04月04日	"高雄市"	null	null	50.0	140
085年04月06日	"台北二"	null	null	50.0	60
085年04月06日	"台北一"	null	null	55.0	1030
085年04月06日	"台北二"	"蓮子"	null	90.0	12
085年04月06日	"台北一"	"蓮子"	null	90.0	10
085年04月07日	"台北一"	null	null	55.0	1210
085年04月07日	"高雄市"	null	null	50.0	140
085年04月07日	"台北二"	"蓮子"	null	90.0	12
085年04月07日	"台北一"	"蓮子"	null	90.0	10
085年04月08日	"台北二"	null	null	50.0	60
085年04月08日	"台北一"	null	null	55.0	970
085年04月08日	"高雄市"	null	null	50.0	155
085年04月08日	"台北一"	"蓮子"	null	90.0	20
085年04月09日	"台北二"	null	null	50.0	60
085年04月09日	"台北一"	null	null	55.0	990
085年04月09日	"高雄市"	null	null	50.0	140
085年04月09日	"台北二"	"蓮子"	null	90.0	12
085年04月09日	"台北一"	"蓮子"	null	90.0	12
085年04月10日	"台北二"	null	null	50.0	72
085年04月10日	"台北一"	null	null	55.0	1140
085年04月10日	"高雄市"	null	null	50.0	150
085年04月10日	"台北一"	"蓮子"	null	90.0	40
085年04月11日	"台北二"	null	null	80.0	12
085年04月11日	"台北一"	null	null	55.0	410
085年04月11日	"高雄市"	null	null	50.0	170
085年04月11日	"台北二"	"蓮子"	null	120.0	12
085年04月12日	"高雄市"	null	null	50.0	140
085年04月13日	"台北一"	null	null	55.0	1080
085年04月13日	"高雄市"	null	null	50.0	140
085年04月14日	"台北一"	null	null	55.0	780
085年04月14日	"高雄市"	null	null	50.0	160
085年04月14日	"台北一"	"蓮子"	null	90.0	100
085年04月15日	"台北一"	null	null	55.0	1200
085年04月15日	"高雄市"	null	null	50.0	140
085年04月15日	"台北二"	"蓮子"	null	90.0	12
085年04月15日	"台北一"	"蓮子"	null	90.0	130
085年04月16日	"台北二"	null	null	50.0	60
085年04月16日	"台北一"	null	null	55.0	760
085年04月16日	"高雄市"	null	null	50.0	170
085年04月16日	"台北二"	"蓮子"	null	90.0	12
085年04月16日	"台北一"	"蓮子"	null	90.0	116
085年04月17日	"台北一"	null	null	55.0	900
085年04月17日	"高雄市"	null	null	50.0	140
085年04月17日	"台北二"	"蓮子"	null	90.0	12
085年04月17日	"台北一"	"蓮子"	null	90.0	48
085年04月18日	"台北二"	null	null	50.0	60
085年04月18日	"台北一"	null	null	55.0	1130
085年04月18日	"高雄市"	null	null	50.0	150
085年04月18日	"台北一"	"蓮子"	null	90.0	140
085年04月19日	"台北一"	null	null	55.0	940
085年04月19日	"高雄市"	null	null	50.0	140
085年04月21日	"台北二"	null	null	50.0	60
085年04月21日	"台北一"	null	null	55.0	340
085年04月21日	"高雄市"	null	null	50.0	140
085年04月21日	"台北一"	"蓮子"	null	90.0	96
085年04月22日	"台北二"	null	null	50.0	60
085年04月22日	"台北一"	null	null	55.0	360
085年04月22日	"高雄市"	null	null	50.0	162
085年04月22日	"台北一"	"蓮子"	null	90.0	162
085年04月23日	"台北二"	null	null	50.0	60
085年04月23日	"台北一"	null	null	55.0	560
085年04月23日	"高雄市"	null	null	50.0	140
085年04月23日	"台北一"	"蓮子"	null	90.0	10
085年04月24日	"台北一"	null	null	55.0	1030
085年04月24日	"高雄市"	null	null	50.0	140
085年04月24日	"台北一"	"蓮子"	null	90.0	20
085年04月25日	"台北二"	null	null	50.0	90
085年04月25日	"台北一"	null	null	55.0	1140
085年04月25日	"高雄市"	null	null	50.0	140
085年04月25日	"台北二"	"蓮子"	null	90.0	12
085年04月25日	"台北一"	"蓮子"	null	90.0	96
085年04月26日	"台北二"	null	null	50.0	60
085年04月26日	"台北一"	null	null	55.0	1230
085年04月26日	"高雄市"	null	null	50.0	140
085年04月26日	"台北二"	"蓮子"	null	90.0	12
085年04月26日	"台北一"	"蓮子"	null	90.0	10
085年04月27日	"高雄市"	null	null	50.0	196
085年04月28日	"台北一"	null	null	55.0	1510
085年04月28日	"高雄市"	null	null	50.0	180
085年04月28日	"台北一"	"蓮子"	null	90.0	546
085年04月29日	"台北二"	null	null	50.0	60
085年04月29日	"台北一"	null	null	55.0	970
085年04月29日	"高雄市"	null	null	50.0	140
085年04月29日	"台北一"	"蓮子"	null	90.0	139
085年04月30日	"台北二"	null	null	100.0	40
085年04月30日	"台北一"	null	null	55.0	1070
085年04月30日	"高雄市"	null	null	50.0	160
086年04月01日	"台北二"	null	null	50.0	60
086年04月01日	"台北一"	null	null	50.0	1050
086年04月01日	"高雄市"	null	null	60.0	90
086年04月01日	"台北二"	"蓮子"	null	70.0	20
086年04月02日	"台北二"	null	null	50.0	60
086年04月02日	"台北一"	null	null	50.0	770
086年04月02日	"高雄市"	null	null	60.0	100
086年04月02日	"台北二"	"蓮子"	null	70.0	20
086年04月03日	"台北二"	null	null	50.0	30
086年04月03日	"台北一"	null	null	50.0	820
086年04月03日	"高雄市"	null	null	60.0	90
086年04月04日	"台北一"	null	null	50.0	1090
086年04月04日	"高雄市"	null	null	60.0	80
086年04月05日	"高雄市"	null	null	60.0	80
086年04月07日	"台北一"	null	null	50.0	640
086年04月07日	"台北二"	"蓮子"	null	70.0	20
086年04月07日	"台北一"	"蓮子"	null	100.0	10
086年04月08日	"台北二"	null	null	50.0	60
086年04月08日	"台北一"	null	null	50.0	690
086年04月08日	"高雄市"	null	null	60.0	100
086年04月08日	"台北二"	"蓮子"	null	70.0	20
086年04月09日	"台北二"	null	null	19.2	110
086年04月09日	"台北一"	null	null	50.0	950
086年04月09日	"高雄市"	null	null	60.0	90
086年04月09日	"台北一"	"蓮子"	null	100.0	10
086年04月10日	"台北二"	null	null	50.0	30
086年04月10日	"台北一"	null	null	50.0	430
086年04月10日	"高雄市"	null	null	60.0	90
086年04月10日	"台北二"	"蓮子"	null	70.0	20
086年04月10日	"台北一"	"蓮子"	null	100.0	10
086年04月11日	"台北二"	null	null	50.0	30
086年04月11日	"台北一"	null	null	50.0	1260
086年04月11日	"高雄市"	null	null	60.0	90
086年04月11日	"台北二"	"蓮子"	null	70.0	20
086年04月11日	"台北一"	"蓮子"	null	100.0	10
086年04月12日	"台北一"	null	null	50.0	940
086年04月12日	"高雄市"	null	null	60.0	90
