date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"其他"	null	2.1	320
085年04月01日	"永靖鄉"	"其他"	null	8.0	1604
085年04月01日	"台北二"	"帶葉"	null	3.0	150
085年04月01日	"台北一"	"帶葉"	null	11.0	3915
085年04月01日	"台中市"	"帶葉"	null	9.8	107
085年04月01日	"西螺鎮"	"帶葉"	null	7.0	250
085年04月02日	"永靖鄉"	"其他"	null	8.5	2106
085年04月02日	"高雄市"	"其他"	null	10.0	170
085年04月02日	"台北一"	"帶葉"	null	10.0	4778
085年04月02日	"西螺鎮"	"帶葉"	null	8.1	1520
085年04月03日	"台北二"	"其他"	null	2.0	30
085年04月03日	"永靖鄉"	"其他"	null	14.0	3436
085年04月03日	"高雄市"	"其他"	null	5.0	125
085年04月03日	"台北二"	"帶葉"	null	6.0	120
085年04月03日	"台北一"	"帶葉"	null	10.0	2831
085年04月04日	"台中市"	"帶葉"	null	14.8	68
085年04月06日	"永靖鄉"	"其他"	null	10.0	563
085年04月06日	"台北一"	"帶葉"	null	15.0	1210
085年04月06日	"西螺鎮"	"帶葉"	null	8.8	620
085年04月07日	"永靖鄉"	"其他"	null	13.0	243
085年04月07日	"台北一"	"帶葉"	null	14.0	1374
085年04月07日	"西螺鎮"	"帶葉"	null	10.0	200
085年04月08日	"永靖鄉"	"其他"	null	12.0	259
085年04月08日	"高雄市"	"其他"	null	20.0	100
085年04月08日	"台北一"	"帶葉"	null	14.0	301
085年04月08日	"台中市"	"帶葉"	null	18.0	19
085年04月08日	"西螺鎮"	"帶葉"	null	18.0	100
085年04月09日	"永靖鄉"	"其他"	null	12.0	931
085年04月09日	"高雄市"	"其他"	null	5.0	270
085年04月09日	"台北一"	"帶葉"	null	14.0	1160
085年04月09日	"台中市"	"帶葉"	null	5.0	90
085年04月10日	"台北一"	"帶葉"	null	15.0	1592
085年04月10日	"西螺鎮"	"帶葉"	null	10.0	100
085年04月11日	"台北二"	"其他"	null	8.0	300
085年04月11日	"永靖鄉"	"其他"	null	12.0	494
085年04月11日	"高雄市"	"其他"	null	12.0	500
085年04月11日	"台北一"	"帶葉"	null	15.0	659
085年04月12日	"永靖鄉"	"其他"	null	13.0	892
085年04月12日	"西螺鎮"	"帶葉"	null	10.0	140
085年04月13日	"永靖鄉"	"其他"	null	14.5	975
085年04月13日	"高雄市"	"其他"	null	15.0	210
085年04月13日	"台北一"	"帶葉"	null	15.0	1637
085年04月13日	"西螺鎮"	"帶葉"	null	8.9	1010
085年04月14日	"永靖鄉"	"其他"	null	14.5	1586
085年04月14日	"台北一"	"帶葉"	null	15.0	916
085年04月15日	"台北二"	"其他"	null	16.0	90
085年04月15日	"永靖鄉"	"其他"	null	15.5	1820
085年04月15日	"台北一"	"帶葉"	null	15.0	746
085年04月15日	"台中市"	"帶葉"	null	2.6	90
085年04月15日	"西螺鎮"	"帶葉"	null	9.0	210
085年04月16日	"永靖鄉"	"其他"	null	15.5	1004
085年04月16日	"台北一"	"帶葉"	null	15.0	1400
085年04月17日	"永靖鄉"	"其他"	null	15.5	914
085年04月17日	"台北一"	"帶葉"	null	15.0	669
085年04月18日	"永靖鄉"	"其他"	null	16.5	2071
085年04月18日	"台北一"	"帶葉"	null	15.0	1046
085年04月19日	"台北一"	"帶葉"	null	15.0	1477
