date	mktname	sbtype	transformation	middleprice	quantity
091年04月01日	"台北一"	null	null	120.0	30
091年04月02日	"台北一"	null	null	120.0	90
091年04月02日	"三重市"	null	null	75.0	6
091年04月03日	"台北二"	null	null	75.0	20
091年04月03日	"台北一"	null	null	108.2	224
091年04月03日	"三重市"	null	null	50.0	6
091年04月04日	"台北二"	null	null	35.0	20
091年04月04日	"台北一"	null	null	119.0	134
091年04月04日	"三重市"	null	null	77.0	18
091年04月07日	"台北一"	null	null	125.8	96
091年04月08日	"台北二"	null	null	37.5	20
091年04月08日	"台北一"	null	null	115.6	98
091年04月09日	"台北二"	null	null	30.0	60
091年04月09日	"台北一"	null	null	105.8	120
091年04月10日	"台北二"	null	null	29.0	60
091年04月10日	"台北一"	null	null	104.0	98
091年04月11日	"台北一"	null	null	84.7	52
091年04月12日	"台北一"	null	null	90.0	62
091年04月12日	"三重市"	null	null	50.0	6
091年04月13日	"台北一"	null	null	101.9	102
091年04月13日	"三重市"	null	null	108.9	18
091年04月14日	"台北一"	null	null	105.5	34
091年04月14日	"三重市"	null	null	88.9	36
091年04月16日	"台北二"	null	null	30.2	54
091年04月16日	"台北一"	null	null	103.1	102
091年04月16日	"三重市"	null	null	100.0	12
091年04月17日	"台北一"	null	null	77.0	67
091年04月17日	"三重市"	null	null	80.0	36
091年04月18日	"台北一"	null	null	99.8	33
091年04月18日	"三重市"	null	null	72.5	12
091年04月19日	"台北一"	null	null	92.6	199
091年04月19日	"三重市"	null	null	90.0	12
091年04月20日	"台北二"	null	null	35.0	10
091年04月20日	"三重市"	null	null	68.8	28
091年04月21日	"台北一"	null	null	103.1	83
091年04月23日	"台北一"	null	null	112.9	58
091年04月24日	"台北一"	null	null	118.6	59
091年04月24日	"三重市"	null	null	76.7	30
091年04月25日	"台北一"	null	null	100.0	100
091年04月26日	"台北一"	null	null	89.1	35
091年04月26日	"高雄市"	null	null	200.0	10
091年04月27日	"台北一"	null	null	98.5	42
091年04月28日	"台北一"	null	null	101.4	89
091年04月30日	"台北一"	null	null	99.2	40
092年04月01日	"台北一"	null	null	80.0	24
092年04月03日	"台北一"	null	null	65.0	12
092年04月04日	"台北一"	null	null	70.0	60
092年04月05日	"台北一"	null	null	94.2	48
092年04月08日	"台北一"	null	null	80.0	30
092年04月09日	"台北一"	null	null	80.0	18
092年04月09日	"三重市"	null	null	63.9	15
092年04月10日	"台北二"	null	null	100.0	40
092年04月11日	"台北一"	null	null	80.0	30
092年04月12日	"台北一"	null	null	120.0	18
092年04月15日	"台北一"	null	null	120.0	36
092年04月16日	"台北一"	null	null	83.3	48
092年04月17日	"台北一"	null	null	104.4	36
092年04月18日	"台北一"	null	null	50.0	22
092年04月19日	"台北一"	null	null	65.0	24
092年04月19日	"三重市"	null	null	40.0	6
092年04月20日	"台北一"	null	null	80.0	42
092年04月22日	"台北一"	null	null	80.0	68
092年04月23日	"台北一"	null	null	81.0	111
092年04月23日	"三重市"	null	null	50.0	6
092年04月24日	"台北一"	null	null	70.0	78
092年04月24日	"三重市"	null	null	40.0	6
092年04月25日	"台北一"	null	null	75.4	122
092年04月26日	"台北一"	null	null	77.0	44
092年04月26日	"三重市"	null	null	40.0	6
092年04月27日	"台北一"	null	null	63.3	40
092年04月29日	"台北一"	null	null	45.2	48
092年04月30日	"台北一"	null	null	39.2	28
092年04月30日	"三重市"	null	null	20.0	6
093年04月03日	"台北一"	null	null	83.0	54
093年04月09日	"台北一"	null	null	80.0	6
093年04月11日	"台北一"	null	null	69.6	48
093年04月11日	"三重市"	null	null	40.0	12
093年04月13日	"台北二"	null	null	82.0	18
093年04月14日	"台北二"	null	null	72.5	24
093年04月14日	"台北一"	null	null	60.0	12
093年04月17日	"台北一"	null	null	120.0	100
093年04月18日	"台北一"	null	null	88.8	82
093年04月21日	"台北一"	null	null	95.0	14
093年04月23日	"台北一"	null	null	100.0	16
093年04月24日	"台北一"	null	null	95.0	32
093年04月25日	"台北一"	null	null	90.0	40
093年04月27日	"台北一"	null	null	90.0	32
093年04月28日	"台北一"	null	null	90.0	40
093年04月29日	"台北一"	null	null	80.0	40
093年04月30日	"台北一"	null	null	85.0	40
094年04月01日	"台北一"	null	null	60.0	50
094年04月02日	"台北一"	null	null	60.0	45
094年04月02日	"三重市"	null	null	30.0	6
094年04月03日	"台北一"	null	null	69.1	43
094年04月04日	"台北一"	null	null	60.0	25
094年04月04日	"三重市"	null	null	35.0	6
094年04月07日	"台北一"	null	null	62.1	138
094年04月08日	"三重市"	null	null	35.0	6
094年04月09日	"台北一"	null	null	70.0	10
094年04月10日	"台北一"	null	null	65.0	10
094年04月12日	"台北一"	null	null	56.7	28
094年04月13日	"台北一"	null	null	61.5	80
094年04月14日	"台北一"	null	null	63.7	28
094年04月14日	"三重市"	null	null	32.0	6
094年04月15日	"台北一"	null	null	55.0	132
094年04月16日	"台北一"	null	null	60.0	18
094年04月17日	"台北一"	null	null	50.0	20
094年04月19日	"三重市"	null	null	30.0	6
094年04月20日	"台北一"	null	null	26.0	10
094年04月21日	"三重市"	null	null	30.0	12
094年04月22日	"台北一"	null	null	50.0	5
094年04月23日	"台北一"	null	null	59.3	66
094年04月24日	"台北一"	null	null	60.0	50
094年04月26日	"台北一"	null	null	60.0	4
094年04月26日	"三重市"	null	null	32.0	6
094年04月27日	"台北一"	null	null	55.0	4
094年04月27日	"三重市"	null	null	32.0	6
094年04月28日	"台北一"	null	null	44.8	38
094年04月29日	"台北一"	null	null	45.0	110
094年04月30日	"台北一"	null	null	30.0	8
095年04月01日	"台北一"	null	null	130.0	45
095年04月02日	"台北一"	null	null	130.0	75
095年04月07日	"台北一"	null	null	130.0	90
095年04月09日	"台北一"	null	null	111.6	91
095年04月12日	"台北二"	null	null	90.0	12
095年04月13日	"台北一"	null	null	80.0	12
095年04月16日	"台北一"	null	null	68.3	30
095年04月18日	"台北二"	null	null	87.5	12
095年04月19日	"台北一"	null	null	110.0	6
095年04月21日	"台北一"	null	null	100.0	12
095年04月22日	"台北一"	null	null	100.0	12
095年04月23日	"台北一"	null	null	100.0	12
095年04月27日	"台北二"	null	null	75.0	12
095年04月28日	"台北二"	null	null	80.0	12
096年04月01日	"台北一"	null	null	100.0	54
096年04月03日	"台北一"	null	null	85.0	84
096年04月04日	"台北一"	null	null	85.0	57
096年04月04日	"三重市"	null	null	80.0	18
096年04月08日	"台北一"	null	null	90.0	12
096年04月12日	"台北一"	null	null	120.0	6
096年04月13日	"台北一"	null	null	86.5	112
