date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,null,null,30,50
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,null,null,23.4,30
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,null,null,21.4,42
Tue Aug 03 1999 00:00:00 GMT+0800 (CST),高雄市,null,null,25,9
Wed Aug 04 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,24
Thu Aug 05 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35,36
Sat Aug 14 1999 00:00:00 GMT+0800 (CST),台北一,null,null,51.1,52
Sun Aug 15 1999 00:00:00 GMT+0800 (CST),台北一,null,null,43.8,145
Sun Aug 15 1999 00:00:00 GMT+0800 (CST),高雄市,null,null,26.3,19
Mon Aug 16 1999 00:00:00 GMT+0800 (CST),台北一,null,null,35.4,373
Mon Aug 16 1999 00:00:00 GMT+0800 (CST),高雄市,null,null,25,21
Tue Aug 17 1999 00:00:00 GMT+0800 (CST),台北一,null,null,28.2,258
Tue Aug 17 1999 00:00:00 GMT+0800 (CST),高雄市,null,null,21.2,70
Wed Aug 18 1999 00:00:00 GMT+0800 (CST),台北一,null,null,6.1,317
Wed Aug 18 1999 00:00:00 GMT+0800 (CST),高雄市,null,null,22,88
Thu Aug 19 1999 00:00:00 GMT+0800 (CST),高雄市,null,null,23.9,12
Mon Aug 23 1999 00:00:00 GMT+0800 (CST),台北一,null,null,57,58
Tue Aug 24 1999 00:00:00 GMT+0800 (CST),台北一,null,null,34.8,73
Tue Aug 24 1999 00:00:00 GMT+0800 (CST),高雄市,null,null,44.8,15
Wed Aug 25 1999 00:00:00 GMT+0800 (CST),台北一,null,null,32.6,80
Sat Aug 28 1999 00:00:00 GMT+0800 (CST),台北一,null,null,16.2,150
Tue Aug 31 1999 00:00:00 GMT+0800 (CST),台北一,null,null,33.3,60
Sat Aug 05 2000 00:00:00 GMT+0800 (CST),台北一,null,null,20,17
Sun Aug 06 2000 00:00:00 GMT+0800 (CST),台北二,null,null,19.4,123
Mon Aug 07 2000 00:00:00 GMT+0800 (CST),台北二,null,null,8.7,24
Thu Aug 17 2000 00:00:00 GMT+0800 (CST),台北二,null,null,20,30
Thu Aug 17 2000 00:00:00 GMT+0800 (CST),高雄市,null,null,10.5,38
Fri Aug 18 2000 00:00:00 GMT+0800 (CST),台北二,null,null,8,93
Sat Aug 19 2000 00:00:00 GMT+0800 (CST),台北一,null,null,7,30
Sun Aug 20 2000 00:00:00 GMT+0800 (CST),台北二,null,null,11.1,17
Sat Aug 26 2000 00:00:00 GMT+0800 (CST),台北二,null,null,10,70
Wed Aug 30 2000 00:00:00 GMT+0800 (CST),台北二,null,null,12,50
Wed Aug 01 2001 00:00:00 GMT+0800 (CST),台北一,null,null,6.4,214
Thu Aug 02 2001 00:00:00 GMT+0800 (CST),台北一,null,null,3,30
Thu Aug 02 2001 00:00:00 GMT+0800 (CST),高雄市,null,null,8.3,6
Sun Aug 05 2001 00:00:00 GMT+0800 (CST),台北一,null,null,10,30
Tue Aug 07 2001 00:00:00 GMT+0800 (CST),台北一,null,null,8,30
Wed Aug 08 2001 00:00:00 GMT+0800 (CST),台北二,null,null,8,20
Wed Aug 08 2001 00:00:00 GMT+0800 (CST),台北一,null,null,13,60
Fri Aug 10 2001 00:00:00 GMT+0800 (CST),台北一,null,null,12,108
Sat Aug 11 2001 00:00:00 GMT+0800 (CST),台北一,null,null,10,29
Sun Aug 12 2001 00:00:00 GMT+0800 (CST),台北一,null,null,10,37
Mon Aug 13 2001 00:00:00 GMT+0800 (CST),台北一,null,null,8,173
Tue Aug 14 2001 00:00:00 GMT+0800 (CST),高雄市,null,null,10,6
Thu Aug 16 2001 00:00:00 GMT+0800 (CST),台北一,null,null,7.5,40
Thu Aug 16 2001 00:00:00 GMT+0800 (CST),高雄市,null,null,20,15
Fri Aug 17 2001 00:00:00 GMT+0800 (CST),台北一,null,null,5,20
Sat Aug 18 2001 00:00:00 GMT+0800 (CST),台北一,null,null,8.8,40
Wed Aug 29 2001 00:00:00 GMT+0800 (CST),台北一,null,null,8,30
Thu Aug 01 2002 00:00:00 GMT+0800 (CST),台北二,null,null,4,168
Fri Aug 02 2002 00:00:00 GMT+0800 (CST),台北二,null,null,4,56
Sun Aug 04 2002 00:00:00 GMT+0800 (CST),台北二,null,null,3.5,164
Sun Aug 04 2002 00:00:00 GMT+0800 (CST),台北一,null,null,8,21
Tue Aug 06 2002 00:00:00 GMT+0800 (CST),台北二,null,null,5,30
Tue Aug 06 2002 00:00:00 GMT+0800 (CST),台北一,null,null,23,10
Wed Aug 07 2002 00:00:00 GMT+0800 (CST),台北二,null,null,5,44
Thu Aug 15 2002 00:00:00 GMT+0800 (CST),台北二,null,null,5,20
Fri Aug 16 2002 00:00:00 GMT+0800 (CST),台北二,null,null,5,45
Sat Aug 17 2002 00:00:00 GMT+0800 (CST),台北二,null,null,3,20
Sat Aug 17 2002 00:00:00 GMT+0800 (CST),三重市,null,null,7,10
Wed Aug 21 2002 00:00:00 GMT+0800 (CST),台北二,null,null,8,22
Thu Aug 29 2002 00:00:00 GMT+0800 (CST),三重市,null,null,10,6
Fri Aug 08 2003 00:00:00 GMT+0800 (CST),台北一,null,null,10,50
Sat Aug 09 2003 00:00:00 GMT+0800 (CST),台北二,null,null,5,20
Tue Aug 12 2003 00:00:00 GMT+0800 (CST),台北二,null,null,5,14
Tue Aug 12 2003 00:00:00 GMT+0800 (CST),台北一,null,null,9.1,18
Tue Aug 19 2003 00:00:00 GMT+0800 (CST),台北一,null,null,8,50
Thu Aug 21 2003 00:00:00 GMT+0800 (CST),台北一,null,null,6,30
Fri Aug 22 2003 00:00:00 GMT+0800 (CST),台北一,null,null,5,87
Sat Aug 23 2003 00:00:00 GMT+0800 (CST),台北二,null,null,5,25
Sat Aug 23 2003 00:00:00 GMT+0800 (CST),台北一,null,null,5,29
Sun Aug 24 2003 00:00:00 GMT+0800 (CST),台北一,null,null,3,47
Tue Aug 26 2003 00:00:00 GMT+0800 (CST),台北二,null,null,4,10
Thu Aug 28 2003 00:00:00 GMT+0800 (CST),台北一,null,null,3,15
Tue Aug 03 2004 00:00:00 GMT+0800 (CST),台北一,null,null,3,66
Tue Aug 03 2004 00:00:00 GMT+0800 (CST),三重市,null,null,4,12
Wed Aug 04 2004 00:00:00 GMT+0800 (CST),台北二,null,null,2,167
Wed Aug 04 2004 00:00:00 GMT+0800 (CST),台北一,null,null,5,57
Wed Aug 04 2004 00:00:00 GMT+0800 (CST),三重市,null,null,3,34
Thu Aug 05 2004 00:00:00 GMT+0800 (CST),台北二,null,null,3,45
Thu Aug 05 2004 00:00:00 GMT+0800 (CST),台北一,null,null,2.6,120
Thu Aug 05 2004 00:00:00 GMT+0800 (CST),三重市,null,null,2.6,88
Fri Aug 06 2004 00:00:00 GMT+0800 (CST),台北二,null,null,2,70
Fri Aug 06 2004 00:00:00 GMT+0800 (CST),台北一,null,null,3.1,172
Fri Aug 06 2004 00:00:00 GMT+0800 (CST),三重市,null,null,4,41
Sat Aug 07 2004 00:00:00 GMT+0800 (CST),台北一,null,null,5,30
Tue Aug 17 2004 00:00:00 GMT+0800 (CST),台北一,null,null,5,11
Tue Aug 02 2005 00:00:00 GMT+0800 (CST),三重市,null,null,5,51
Fri Aug 05 2005 00:00:00 GMT+0800 (CST),台北二,null,null,5,12
Sat Aug 06 2005 00:00:00 GMT+0800 (CST),台北二,null,null,6,27
Sun Aug 07 2005 00:00:00 GMT+0800 (CST),台北二,null,null,5,36
Wed Aug 24 2005 00:00:00 GMT+0800 (CST),台北二,null,null,4,59
Sat Aug 27 2005 00:00:00 GMT+0800 (CST),台北二,null,null,5,6
Wed Aug 31 2005 00:00:00 GMT+0800 (CST),台北二,null,null,3,30
Sat Aug 12 2006 00:00:00 GMT+0800 (CST),台北一,null,null,8.6,72
Sun Aug 13 2006 00:00:00 GMT+0800 (CST),台北一,null,null,3.6,128
Sun Aug 20 2006 00:00:00 GMT+0800 (CST),台北一,null,null,10,19
Tue Aug 22 2006 00:00:00 GMT+0800 (CST),台北一,null,null,6,21
Tue Aug 29 2006 00:00:00 GMT+0800 (CST),台北一,null,null,8,6
Thu Aug 02 2007 00:00:00 GMT+0800 (CST),台北二,null,null,5,40
Fri Aug 10 2007 00:00:00 GMT+0800 (CST),台北一,null,null,8,27
Sat Aug 11 2007 00:00:00 GMT+0800 (CST),台北一,null,null,8,7
Wed Aug 22 2007 00:00:00 GMT+0800 (CST),台北二,null,null,5,24
Fri Aug 24 2007 00:00:00 GMT+0800 (CST),台北二,null,null,15,10
Fri Aug 24 2007 00:00:00 GMT+0800 (CST),台北一,null,null,10.1,175
Sat Aug 25 2007 00:00:00 GMT+0800 (CST),台北二,null,null,10,20
Sat Aug 25 2007 00:00:00 GMT+0800 (CST),台北一,null,null,7.4,71
Sun Aug 26 2007 00:00:00 GMT+0800 (CST),台北一,null,null,5.9,30
Mon Aug 27 2007 00:00:00 GMT+0800 (CST),台北一,null,null,3.3,40
Sat Aug 16 2008 00:00:00 GMT+0800 (CST),台北一,null,null,25,15
Sun Aug 17 2008 00:00:00 GMT+0800 (CST),台北一,null,null,16,30
Sun Aug 24 2008 00:00:00 GMT+0800 (CST),台北一,null,null,10,14
Sat Aug 01 2009 00:00:00 GMT+0800 (CST),台北一,null,null,8,16
Wed Aug 12 2009 00:00:00 GMT+0800 (CST),台北二,null,null,12,40
Fri Aug 14 2009 00:00:00 GMT+0800 (CST),台北二,null,null,11,40
Tue Aug 18 2009 00:00:00 GMT+0800 (CST),台北二,null,null,10,10
Tue Aug 18 2009 00:00:00 GMT+0800 (CST),高雄市,null,null,15.2,39
Wed Aug 19 2009 00:00:00 GMT+0800 (CST),高雄市,null,null,10,40
Thu Aug 20 2009 00:00:00 GMT+0800 (CST),台北二,null,null,5,20
Fri Aug 21 2009 00:00:00 GMT+0800 (CST),台北二,null,null,7.3,26
Sat Aug 22 2009 00:00:00 GMT+0800 (CST),台北二,null,null,5,20
Tue Aug 10 2010 00:00:00 GMT+0800 (CST),台北二,null,null,10,12
Fri Aug 13 2010 00:00:00 GMT+0800 (CST),台北二,null,null,25,10
Tue Aug 31 2010 00:00:00 GMT+0800 (CST),台北二,null,null,20,12
Wed Aug 03 2011 00:00:00 GMT+0800 (CST),台北一,null,null,10,18
Sun Aug 07 2011 00:00:00 GMT+0800 (CST),台北一,null,null,25,17
Fri Aug 26 2011 00:00:00 GMT+0800 (CST),台北一,null,null,60,28
Sat Aug 27 2011 00:00:00 GMT+0800 (CST),台北一,null,null,75.4,72
Sun Aug 28 2011 00:00:00 GMT+0800 (CST),台北一,null,null,60,168
Wed Aug 31 2011 00:00:00 GMT+0800 (CST),台北一,null,null,40,15
Sun Aug 05 2012 00:00:00 GMT+0800 (CST),台北二,null,null,25,9
Tue Aug 07 2012 00:00:00 GMT+0800 (CST),三重市,null,null,8,13
Tue Aug 07 2012 00:00:00 GMT+0800 (CST),桃園縣,null,null,11,23
Sun Aug 12 2012 00:00:00 GMT+0800 (CST),桃園縣,null,null,31,13
Tue Aug 21 2012 00:00:00 GMT+0800 (CST),桃園縣,null,null,20,16
Thu Aug 23 2012 00:00:00 GMT+0800 (CST),台北一,null,null,52.8,12
Thu Aug 30 2012 00:00:00 GMT+0800 (CST),台北二,null,null,25,16
Thu Aug 30 2012 00:00:00 GMT+0800 (CST),桃園縣,null,null,15,32
Fri Aug 31 2012 00:00:00 GMT+0800 (CST),台北二,null,null,10,42
