date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),三重市,null,null,5,24
Thu Aug 01 2002 00:00:00 GMT+0800 (CST),台北一,null,null,6,92
Fri Aug 02 2002 00:00:00 GMT+0800 (CST),三重市,null,null,5,54
Sat Aug 03 2002 00:00:00 GMT+0800 (CST),台北一,null,null,6.7,60
Sun Aug 04 2002 00:00:00 GMT+0800 (CST),台北一,null,null,8,141
Sun Aug 04 2002 00:00:00 GMT+0800 (CST),三重市,null,null,5,152
Tue Aug 06 2002 00:00:00 GMT+0800 (CST),台北一,null,null,3,27
Tue Aug 06 2002 00:00:00 GMT+0800 (CST),三重市,null,null,5,5
Wed Aug 07 2002 00:00:00 GMT+0800 (CST),三重市,null,null,3,20
Tue Aug 13 2002 00:00:00 GMT+0800 (CST),三重市,null,null,5,100
Thu Aug 15 2002 00:00:00 GMT+0800 (CST),台北一,null,null,10,20
Thu Aug 15 2002 00:00:00 GMT+0800 (CST),三重市,null,null,8.8,29
Fri Aug 16 2002 00:00:00 GMT+0800 (CST),台北一,null,null,9.2,78
Fri Aug 16 2002 00:00:00 GMT+0800 (CST),三重市,null,null,10,23
Sat Aug 17 2002 00:00:00 GMT+0800 (CST),台北一,null,null,6,50
Sat Aug 17 2002 00:00:00 GMT+0800 (CST),三重市,null,null,10,12
Sun Aug 18 2002 00:00:00 GMT+0800 (CST),台北一,null,null,3,23
Fri Aug 23 2002 00:00:00 GMT+0800 (CST),三重市,null,null,5,7
Mon Aug 26 2002 00:00:00 GMT+0800 (CST),三重市,null,null,5,15
Wed Aug 06 2003 00:00:00 GMT+0800 (CST),台中市,null,null,9.1,41
Sat Aug 09 2003 00:00:00 GMT+0800 (CST),台中市,null,null,10,20
Tue Aug 12 2003 00:00:00 GMT+0800 (CST),台中市,null,null,10,35
Fri Aug 22 2003 00:00:00 GMT+0800 (CST),三重市,null,null,4,36
Sat Aug 23 2003 00:00:00 GMT+0800 (CST),台中市,null,null,8,10
Sun Aug 24 2003 00:00:00 GMT+0800 (CST),台中市,null,null,6.2,34
Tue Aug 26 2003 00:00:00 GMT+0800 (CST),台北一,null,null,5,16
Thu Aug 28 2003 00:00:00 GMT+0800 (CST),台中市,null,null,8,6
Wed Aug 04 2004 00:00:00 GMT+0800 (CST),三重市,null,null,4,12
Fri Aug 06 2004 00:00:00 GMT+0800 (CST),三重市,null,null,10,8
Sat Aug 07 2004 00:00:00 GMT+0800 (CST),三重市,null,null,4,20
Thu Aug 04 2005 00:00:00 GMT+0800 (CST),三重市,null,null,8,18
Sat Aug 06 2005 00:00:00 GMT+0800 (CST),三重市,null,null,7,10
Tue Aug 09 2005 00:00:00 GMT+0800 (CST),三重市,null,null,5,7
Tue Aug 23 2005 00:00:00 GMT+0800 (CST),三重市,null,null,10.5,60
Wed Aug 24 2005 00:00:00 GMT+0800 (CST),三重市,null,null,7,257
Thu Aug 25 2005 00:00:00 GMT+0800 (CST),三重市,null,null,8,59
Fri Aug 26 2005 00:00:00 GMT+0800 (CST),三重市,null,null,10,10
Tue Aug 30 2005 00:00:00 GMT+0800 (CST),三重市,null,null,8,10
Wed Aug 31 2005 00:00:00 GMT+0800 (CST),三重市,null,null,8.3,42
Thu Aug 03 2006 00:00:00 GMT+0800 (CST),三重市,null,null,7,5
Fri Aug 24 2007 00:00:00 GMT+0800 (CST),三重市,null,null,6,20
Sat Aug 25 2007 00:00:00 GMT+0800 (CST),三重市,null,null,15,20
Sun Aug 26 2007 00:00:00 GMT+0800 (CST),三重市,null,null,5,30
Tue Aug 05 2008 00:00:00 GMT+0800 (CST),三重市,null,null,8,7
Sat Aug 16 2008 00:00:00 GMT+0800 (CST),三重市,null,null,8,26
Wed Aug 12 2009 00:00:00 GMT+0800 (CST),三重市,null,null,10,40
Fri Aug 14 2009 00:00:00 GMT+0800 (CST),三重市,null,null,8,40
Tue Aug 18 2009 00:00:00 GMT+0800 (CST),三重市,null,null,10,10
Thu Aug 20 2009 00:00:00 GMT+0800 (CST),三重市,null,null,14,20
Fri Aug 21 2009 00:00:00 GMT+0800 (CST),三重市,null,null,8,30
Sat Aug 22 2009 00:00:00 GMT+0800 (CST),三重市,null,null,8,20
Sun Aug 23 2009 00:00:00 GMT+0800 (CST),三重市,null,null,8,8
Sun Aug 01 2010 00:00:00 GMT+0800 (CST),三重市,null,null,5,26
Tue Aug 24 2010 00:00:00 GMT+0800 (CST),三重市,null,null,20,20
Sun Aug 05 2012 00:00:00 GMT+0800 (CST),三重市,null,null,20,11
