date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 07 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,10,60
Wed Apr 08 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,11,160
Thu Apr 09 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,10,140
Sat Apr 11 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,10,100
Sun Apr 12 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,9,140
Tue Apr 14 2009 00:00:00 GMT+0800 (CST),三重市,其他,null,10,50
Tue Apr 14 2009 00:00:00 GMT+0800 (CST),台中市,其他,null,3,50
Sun Apr 18 2010 00:00:00 GMT+0800 (CST),台北二,其他,null,28,12
Sat Apr 24 2010 00:00:00 GMT+0800 (CST),台北二,其他,null,15,140
Fri Apr 01 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,18,340
Sat Apr 02 2011 00:00:00 GMT+0800 (CST),台北二,其他,null,23.7,100
Sat Apr 02 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,17,126
Sun Apr 03 2011 00:00:00 GMT+0800 (CST),台北二,其他,null,15.1,190
Sun Apr 03 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,13,45
Mon Apr 04 2011 00:00:00 GMT+0800 (CST),台北二,其他,null,11.6,70
Mon Apr 04 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,30,345
Thu Apr 07 2011 00:00:00 GMT+0800 (CST),台北二,其他,null,12,50
Thu Apr 07 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,30,50
Fri Apr 08 2011 00:00:00 GMT+0800 (CST),台北二,其他,null,6.1,120
Fri Apr 08 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,30,150
Sat Apr 09 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,30,128
Sun Apr 10 2011 00:00:00 GMT+0800 (CST),台北二,其他,null,14,40
Sun Apr 10 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,30,53
Tue Apr 12 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,30,90
Wed Apr 13 2011 00:00:00 GMT+0800 (CST),台北二,其他,null,15,30
Wed Apr 13 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,30.4,147
Thu Apr 14 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,30,250
Fri Apr 15 2011 00:00:00 GMT+0800 (CST),台北二,其他,null,12,50
Fri Apr 15 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,30,134
Sat Apr 16 2011 00:00:00 GMT+0800 (CST),台北二,其他,null,7,40
Sat Apr 16 2011 00:00:00 GMT+0800 (CST),台北一,其他,null,30,150
Sun Apr 17 2011 00:00:00 GMT+0800 (CST),台北二,其他,null,2,60
