date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,青梗,留梗柄,12,350
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,青梗,留梗柄,9,10629
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),永靖鄉,青梗,留梗柄,6,29628
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),溪湖鎮,青梗,留梗柄,4.5,88127
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,青梗,留梗柄,8,31680
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,青梗,留梗柄,14,6680
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),鳳山區,青梗,留梗柄,7.9,5435
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,青梗,留梗柄,10.2,6584
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,青梗,不留柄,8.5,1088
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,青梗,留梗柄,10,270
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,青梗,留梗柄,8,10738
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),永靖鄉,青梗,留梗柄,6,20993
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),溪湖鎮,青梗,留梗柄,5,99724
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,青梗,留梗柄,7.6,34565
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,青梗,留梗柄,14,6010
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),鳳山區,青梗,留梗柄,5.5,1255
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,青梗,留梗柄,10.3,6300
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,青梗,不留柄,8.4,550
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台東市,青梗,不留柄,18,803
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,青梗,不留柄,6,133
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,青梗,留梗柄,11.8,250
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,青梗,留梗柄,9,13297
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),永靖鄉,青梗,留梗柄,6,20312
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),溪湖鎮,青梗,留梗柄,5.5,51415
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,青梗,留梗柄,6.8,31165
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,青梗,留梗柄,15,4880
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),鳳山區,青梗,留梗柄,9,11850
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,青梗,留梗柄,9.5,7410
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,青梗,不留柄,8.9,1226
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台東市,青梗,不留柄,17,748
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,青梗,留梗柄,17,4890
