date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,黑刺,null,7,3756
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,黑刺,null,9,17556
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,黑刺,null,6,885
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,黑刺,null,9,3450
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),鳳山區,黑刺,null,6.5,700
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,黑刺,null,9.9,4356
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,黑刺,null,0,5435
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,黑刺,null,7,29117
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,黑刺,null,10,680
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),南投市,黑刺,null,11,379
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,黑刺,null,11,3480
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),鳳山區,黑刺,null,6.6,160
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,黑刺,null,11.2,3867
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台東市,黑刺,null,10,496
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,黑刺,null,0,5773
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,黑刺,null,10,32004
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,黑刺,null,9.1,1220
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),南投市,黑刺,null,13,754
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,黑刺,null,15,3520
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),鳳山區,黑刺,null,12.8,970
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,黑刺,null,11.1,5119
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台東市,黑刺,null,13,1018
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,黑刺,null,12.9,420
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),南投市,黑刺,null,0,454
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,黑刺,null,15,2590
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),屏東市,黑刺,null,11.8,3852
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台東市,黑刺,null,15,1507
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,黑刺,null,0,4078
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,黑刺,null,16,19074
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,黑刺,null,12.5,240
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),屏東市,黑刺,null,12.3,3040
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,黑刺,null,0,2655
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,黑刺,null,20,14097
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,黑刺,null,18.6,434
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,黑刺,null,18,2230
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),鳳山區,黑刺,null,5.6,160
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),屏東市,黑刺,null,9.8,3772
