date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,30,100
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,15.5,57
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,14,60
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,17,20
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,14.1,360
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,15.7,440
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,14.9,84
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,14.6,191
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,12.7,274
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,14.8,376
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,14.1,284
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,15.3,258
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,13.8,405
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,14.9,466
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,13.6,453
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,15.1,325
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,19.7,131
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,18.6,222
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,18,130
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,19.4,302
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,17.1,391
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,19.4,146
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,15.8,210
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,16.2,310
