date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,40,20
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,29,125
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,8,45
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,29,415
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,25.6,575
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,12.4,360
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,19.8,752
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,375
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,17,30
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,27,500
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,22,410
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,21.6,690
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,15.8,290
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,15,88
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,17.7,888
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,22,660
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,22.3,323
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,24.9,761
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,16.1,34
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,26.7,664
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,22.5,459
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,36.7,144
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,11.4,80
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,14.9,212
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,3,30
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,23,63
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,33.1,92
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,35,80
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,15.2,1224
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,45.1,60
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,35
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,19.5,2285
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,13,80
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,16.6,2570
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,14.6,1259
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,16.8,3561
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,19.4,2337
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,19.8,1097
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,20.8,2900
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,20,4178
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,19.7,2992
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,18.8,3120
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,20.1,3757
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,19.4,4981
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,19.4,4347
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,17.6,3205
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,17.2,2515
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,16.8,2991
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,17.7,3197
Mon Apr 22 2002 00:00:00 GMT+0800 (CST),花蓮市,其他,null,27,137
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,16.2,4031
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,16.7,2699
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,16.4,2886
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,15.1,2413
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,13.3,2860
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),花蓮市,其他,null,16.8,475
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,13,3346
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,其他,null,12.4,1159
Fri Apr 01 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,37.6,413
Fri Apr 01 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,34,1279
Sat Apr 02 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,54.9,358
Sat Apr 02 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,38.8,1023
Sun Apr 03 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,57.8,1037
Mon Apr 04 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,42.5,120
Mon Apr 04 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,61.6,1121
Thu Apr 07 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,46.5,2682
Fri Apr 08 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,40.8,2194
Sat Apr 09 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,41.8,805
Sat Apr 09 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,34.6,2435
Sun Apr 10 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,31.3,1652
Sun Apr 10 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,41.3,1708
Tue Apr 12 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,32.2,2795
Wed Apr 13 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,23.9,595
Wed Apr 13 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,31.3,2992
Thu Apr 14 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,27.6,240
Thu Apr 14 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,27.6,2150
Fri Apr 15 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,30.4,280
Fri Apr 15 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,31.8,2436
Sat Apr 16 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,23.9,810
Sat Apr 16 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,32.7,4096
Sun Apr 17 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,27.3,699
Sun Apr 17 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,23.5,3089
Tue Apr 19 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,22.3,563
Tue Apr 19 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,24.4,4414
Wed Apr 20 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,21.9,452
Wed Apr 20 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,25.8,4078
Thu Apr 21 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,22.1,4335
Fri Apr 22 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,15.7,276
Fri Apr 22 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,23.5,3097
Sat Apr 23 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,17.8,1031
Sat Apr 23 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,24.6,2554
Sun Apr 24 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,18.3,400
Sun Apr 24 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,23.4,2878
Tue Apr 26 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,19.1,3765
Wed Apr 27 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,18.6,213
Wed Apr 27 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,17.8,3369
Thu Apr 28 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,16.9,500
Thu Apr 28 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,18.9,2305
Fri Apr 29 2005 00:00:00 GMT+0800 (CST),台北二,其他,null,20.9,442
Fri Apr 29 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,36.7,165
Sat Apr 30 2005 00:00:00 GMT+0800 (CST),台北一,其他,null,34.9,251
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,37.7,140
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,34.5,3371
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,18.1,133
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,28.9,740
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,22,582
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,29.5,3749
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,17.7,890
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,26.4,4458
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,22.3,837
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,25.7,5242
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,25.6,768
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,29.6,3881
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,23.9,825
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,30.9,2939
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,21.7,1351
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,27.3,4730
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,23.4,993
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,27.1,4443
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,20,1316
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,24.3,4555
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,19.3,1236
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,26.2,4524
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,23.2,630
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,28.3,3232
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,25.4,1378
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,24,5376
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,24.6,693
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,28.6,4433
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,25.1,1556
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,33.7,3269
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,27.8,541
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,41.6,1860
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,27.5,1036
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,44.6,2417
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,29.9,1134
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,34.6,3360
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,27.2,1344
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,31.1,5412
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,26.2,1483
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,27.5,7406
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,19.4,1938
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,22,5180
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,16.1,2615
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,19.3,5461
Fri Apr 28 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,24.3,715
Fri Apr 28 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,25.8,3523
Sat Apr 29 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,27.8,989
Sat Apr 29 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,30.8,4755
Sun Apr 30 2006 00:00:00 GMT+0800 (CST),台北二,其他,null,24.5,1544
Sun Apr 30 2006 00:00:00 GMT+0800 (CST),台北一,其他,null,29,6792
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,14.9,1364
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,19.3,5289
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,18.4,1371
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,14.8,7074
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,22.4,1434
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,15.4,4713
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,20,1985
Sat Apr 07 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,17.8,4577
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,17.9,2303
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,21.1,5129
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,21.1,1532
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,22.4,5313
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,18.3,1682
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,19.6,4363
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,22.1,1120
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,22.6,3880
Fri Apr 13 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,24.9,1390
Fri Apr 13 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,26.5,3257
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,25,2227
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,30.1,4403
Sun Apr 15 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,21.3,1398
Sun Apr 15 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,28.4,3560
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,19.3,2170
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,23.7,5537
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,16.9,2032
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,23.9,4265
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,20.1,664
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,21.9,3923
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,25.7,1095
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,25.4,1213
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,24,1829
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,24,3060
Sun Apr 22 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,21.2,1625
Sun Apr 22 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,24,4005
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,15.8,2705
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,21,5944
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),台北二,其他,null,18.7,2009
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),台北一,其他,null,18.4,4214
