date,mktname,sbtype,transformation,middleprice,quantity
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,青大米,null,59.3,100
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,40,20
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,40,20
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,38,161
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,37,2809
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,33,119
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,30,31
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,35,95
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,45,57
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,36,190
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,37,140
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,36,77
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,35,281
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,21.7,351
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,25,3211
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,24,155
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,17.2,205
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,23,125
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,21,180
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,20,415
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,青大米,null,17,335
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,50,6526
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,35,2973
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,35,5311
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,35,5116
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,30,6486
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,55.1,46
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,35,6325
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,35,4110
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,30,2769
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,30.2,56
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,25,7266
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,25,8158
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,45,37
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,30,6978
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,35,36
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,30,10822
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,25,8456
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,80,12
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,30,4329
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台中市,青大米,null,30,10
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,30,6070
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台中市,青大米,null,9,20
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,41.1,28
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,30,7401
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),高雄市,青大米,null,50,50
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,30,18097
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,49.6,197
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,22,18096
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),溪湖鎮,青大米,null,30.7,214
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,21,19056
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),溪湖鎮,青大米,null,30.6,287
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,50,36
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,20,4827
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),溪湖鎮,青大米,null,34.1,83
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,28,5506
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),溪湖鎮,青大米,null,26.5,363
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,44.7,54
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,25,19755
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),溪湖鎮,青大米,null,33,240
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,45,40
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,24,14965
Tue Apr 28 1998 00:00:00 GMT+0800 (CST),溪湖鎮,青大米,null,27.9,1960
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,52.9,80
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,20,23975
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),溪湖鎮,青大米,null,28.5,1062
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北二,青大米,null,50,40
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北一,青大米,null,20,20628
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,21,9086
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台中市,青大米,null,16.2,173
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,22,7904
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台中市,青大米,null,29.3,31
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,20,10608
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台中市,青大米,null,36,18
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,20,13075
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台中市,青大米,null,31.4,41
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),高雄市,青大米,null,45,100
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,18,12874
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台中市,青大米,null,40,11
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,18,11346
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台中市,青大米,null,35,8
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,18,8086
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,18,11206
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,18,13660
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台中市,青大米,null,40,20
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,18,10653
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台中市,青大米,null,30.2,44
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,17,8502
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,青大米,null,20,8226
