date,mktname,sbtype,transformation,middleprice,quantity
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,16.9,4332
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,18,1771
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,18.1,4452
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,15,2216
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,18.9,4297
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,15,2652
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,17.4,4614
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,15,2148
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,12.4,9521
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,15,7946
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,12.3,7690
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,10,6748
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,8.9,8560
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,10,6894
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,5.6,8802
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,7,6683
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,6.7,7876
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,8,7350
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,8.5,5800
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,10,7194
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,10,7184
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,9,10814
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,10.3,5640
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,9,5717
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,8.7,4860
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,13,4558
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,11.4,4220
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,10,5385
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,13.4,4348
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,13,4290
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,14.8,4218
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,13,5260
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,16.2,4100
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,15,4560
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,16.7,5286
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,16,4705
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,13.8,3720
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,18,4740
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,14.1,4160
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,20,4851
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,15.5,4706
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,18,5771
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,14.3,4940
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,18,6296
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,15.8,4543
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,18,6048
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,15.9,4594
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,16,8745
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,20.4,1894
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,20,4103
Wed Apr 21 2004 00:00:00 GMT+0800 (CST),台北二,其他,null,2,20
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),三重市,其他,null,2,36
Sun Aug 02 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,6.9,6580
Sun Aug 02 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,7,16828
Mon Aug 03 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,7.3,4181
Mon Aug 03 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,9,12303
Tue Aug 04 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,16.1,3494
Tue Aug 04 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,10,13061
Wed Aug 05 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,20,4412
Wed Aug 05 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,15,10590
Thu Aug 06 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,11.5,5520
Thu Aug 06 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,15,8195
Fri Aug 07 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,7.4,4667
Fri Aug 07 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,10,9300
Sun Aug 09 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,6.1,6316
Sun Aug 09 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,9,16284
Mon Aug 10 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,5.9,3780
Mon Aug 10 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,9,9769
Tue Aug 11 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,5.2,2894
Tue Aug 11 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,8,9030
Wed Aug 12 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,8.4,1459
Wed Aug 12 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,10,7450
Thu Aug 13 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,15.7,1180
