date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,10,10188
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,11.3,220
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,9,10260
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,11,400
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,15,176
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,圓形,null,10,115
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,9,4684
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,9,905
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,10.5,1050
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,圓形,null,15,90
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,10,6007
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,13.6,767
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,15,2562
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,12.9,1073
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,20,163
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,18,4262
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,13.8,702
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,圓形,null,15,182
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,15,4917
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,12.8,708
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,23,53
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,13,3897
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,13.1,680
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,20,265
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,12,2968
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,12.5,853
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,16,561
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,12.4,1601
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,12,2555
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,10.7,581
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,17,376
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,13,2028
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,12.1,540
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,15,649
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,15,1337
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,12.3,602
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,17,439
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,20,4082
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,12.2,660
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,15,637
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,圓形,null,20,80
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,18,2150
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,15.2,344
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,20,249
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,18,2148
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,15,385
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,23,362
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,14,3241
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,17.3,538
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,20,433
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,圓形,null,15,25
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,14,4915
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,15.4,892
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,22,744
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,12,4207
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,14.7,1184
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,23,617
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,圓形,null,10,324
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,15,3211
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,15,1261
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,27,584
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,圓形,null,6.8,180
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,16,1576
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,16.5,1071
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,25,467
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,18,2742
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,15.7,882
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,24,764
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,18,3427
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,17.1,1066
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,17,1283
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,15.3,658
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,13,3496
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,14.2,724
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,18,1825
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,12,2455
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,13.2,554
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,19,438
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,圓形,null,11,1959
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台中市,圓形,null,11.8,935
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),花蓮市,圓形,null,14,926
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,圓形,null,8.7,855
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,圓形,null,9,980
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台中市,圓形,null,6.9,1224
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,圓形,null,10,318
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,圓形,null,9,1120
