date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,12,1459
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,9,5415
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,12,2305
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,9,6169
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,10,2648
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,10,5000
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,15,1641
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,15,2665
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,25,1504
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,18,5659
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,20,2949
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,20,9995
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,18,2631
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,18,11037
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,15,2421
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,15,12335
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,14,10966
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,14,13582
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,18,7999
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,25,2371
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,22,5838
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,24,4918
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,20,1866
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,22,10608
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,20,1838
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,23,12046
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,20,2953
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,17,17849
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,20,3994
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,15,23268
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,20,3580
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,16,15201
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,花蒲,null,20,1955
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,17,7856
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,花蒲,null,20,9603
