date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,胭脂茄,null,12.2,1720
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,胭脂茄,null,15,6950
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,胭脂茄,null,5.5,360
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,胭脂茄,null,16,1660
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,胭脂茄,null,11.9,8912
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,胭脂茄,null,15,2092
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,胭脂茄,null,15,8492
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,胭脂茄,null,9.7,260
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,胭脂茄,null,19,1900
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,胭脂茄,null,9.5,8780
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台東市,胭脂茄,null,20,427
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,胭脂茄,null,15,812
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,胭脂茄,null,18,6750
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,胭脂茄,null,6.6,220
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,胭脂茄,null,16,1580
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,胭脂茄,null,9.5,8384
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台東市,胭脂茄,null,20,294
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,胭脂茄,null,10.5,260
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,胭脂茄,null,19,1840
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),屏東市,胭脂茄,null,10.7,7757
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台東市,胭脂茄,null,25,457
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,胭脂茄,null,25,9155
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,胭脂茄,null,20.3,60
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),屏東市,胭脂茄,null,8.8,14195
