date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 14 2003 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,12,81
Tue Apr 15 2003 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,10,19
Thu Apr 01 2004 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,6.2,330
Fri Apr 02 2004 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,9.5,301
Thu Apr 08 2004 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,13.4,668
Fri Apr 09 2004 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,10,733
Mon Apr 12 2004 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,14.2,685
Tue Apr 13 2004 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,13.4,876
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,19.1,603
Fri Apr 23 2004 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,16.1,308
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,牛蕃茄,null,9.6,17103
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),三重市,牛蕃茄,null,6,3402
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台中市,牛蕃茄,null,7.3,1489
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),高雄市,牛蕃茄,null,8.4,2382
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,7.9,625
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北二,牛蕃茄,null,8.9,6098
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台中市,牛蕃茄,null,7.1,1596
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),高雄市,牛蕃茄,null,7.8,2656
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,3.7,1478
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北二,牛蕃茄,null,7.5,5187
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北一,牛蕃茄,null,10,15404
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),三重市,牛蕃茄,null,4.6,2521
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,3.5,1532
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北二,牛蕃茄,null,10.2,4765
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北一,牛蕃茄,null,11.3,12742
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),三重市,牛蕃茄,null,6,2233
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台中市,牛蕃茄,null,4.2,1706
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),高雄市,牛蕃茄,null,7.4,2556
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北一,牛蕃茄,null,8.8,21422
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),三重市,牛蕃茄,null,5,3535
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台中市,牛蕃茄,null,4.4,2621
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),高雄市,牛蕃茄,null,2.9,822
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,5.3,798
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北二,牛蕃茄,null,7.9,7468
Wed Apr 05 2006 00:00:00 GMT+0800 (CST),高雄市,牛蕃茄,null,6.8,1400
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北二,牛蕃茄,null,9.1,7591
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,牛蕃茄,null,9.4,19662
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),三重市,牛蕃茄,null,4.5,4007
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台中市,牛蕃茄,null,5,2683
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,5.3,1201
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,牛蕃茄,null,9,21130
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),三重市,牛蕃茄,null,4.4,4072
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台中市,牛蕃茄,null,6.6,1850
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),高雄市,牛蕃茄,null,6.8,2499
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,7.3,742
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北二,牛蕃茄,null,6.2,7775
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北二,牛蕃茄,null,5.2,8879
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,牛蕃茄,null,9.2,22476
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),三重市,牛蕃茄,null,4.1,5141
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台中市,牛蕃茄,null,4.5,3116
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),高雄市,牛蕃茄,null,7.3,2923
Mon Apr 10 2006 00:00:00 GMT+0800 (CST),花蓮市,牛蕃茄,null,5.1,804
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),高雄市,牛蕃茄,null,4.5,4080
