date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,78
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,60
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,34
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,彩色種,null,10,36
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,39
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,彩色種,null,20,54
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,73
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,彩色種,null,15,54
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,160
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,彩色種,null,14.5,72
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,199
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,彩色種,null,10,90
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,141
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,彩色種,null,11,72
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,120
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,196
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,20,148
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,282
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,531
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,444
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,252
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,1004
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,875
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,彩色種,null,25,20
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,473
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,1138
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,577
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,745
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,521
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,240
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,25,214
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,彩色種,null,6.4,113
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,60
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,165
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,20
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,20
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北二,彩色種,null,10,50
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,155
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,195
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,322
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,75
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,60
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,40
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,60
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北二,彩色種,null,19.8,45
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,517
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北二,彩色種,null,4.8,90
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,150
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,254
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北二,彩色種,null,4.1,320
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,342
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北二,彩色種,null,2.1,228
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,424
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北二,彩色種,null,10,60
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,108
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北二,彩色種,null,2,83
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,117
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北二,彩色種,null,10,21
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,彩色種,null,35,205
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北二,彩色種,null,21.4,33
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,彩色種,null,80,200
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,彩色種,null,100,251
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,彩色種,null,100,257
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,彩色種,null,100,132
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,彩色種,null,147.4,213
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,彩色種,null,100,48
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,彩色種,null,100,156
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,彩色種,null,100,273
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,彩色種,null,100,143
