date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),高雄市,進口,null,120,30
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,66,50
Sat Apr 29 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,50,50
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,128.5,100
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,104,45
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,75,62
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,83,25
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),高雄市,進口,null,60,90
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),高雄市,進口,null,60,100
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),高雄市,進口,null,50,125
Thu Apr 29 2004 00:00:00 GMT+0800 (CST),高雄市,進口,null,60,25
Wed Apr 20 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,60,10
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,70
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,290
Sat Apr 29 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,5.7,35
Thu Apr 05 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,24
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,27,80
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,5,100
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,110,60
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,40
Sat Apr 14 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,10,30
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,15,170
Sat Apr 28 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,110
Sun Apr 29 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,60
Sat Apr 19 2008 00:00:00 GMT+0800 (CST),台北一,進口,null,85,10
Tue Apr 07 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,80,50
Sat Apr 18 2009 00:00:00 GMT+0800 (CST),鳳山區,進口,null,8.7,15
Wed Apr 22 2009 00:00:00 GMT+0800 (CST),鳳山區,進口,null,9.5,5
Fri Apr 02 2010 00:00:00 GMT+0800 (CST),台北一,進口,null,50,24
Thu Apr 08 2010 00:00:00 GMT+0800 (CST),鳳山區,進口,null,13.4,5
Fri Apr 09 2010 00:00:00 GMT+0800 (CST),台北一,進口,null,95,50
Sun Apr 18 2010 00:00:00 GMT+0800 (CST),高雄市,進口,null,70,75
Tue Apr 20 2010 00:00:00 GMT+0800 (CST),高雄市,進口,null,80,100
Thu Apr 22 2010 00:00:00 GMT+0800 (CST),高雄市,進口,null,70,195
Fri Apr 23 2010 00:00:00 GMT+0800 (CST),高雄市,進口,null,60,100
Sat Apr 24 2010 00:00:00 GMT+0800 (CST),高雄市,進口,null,60,75
Thu Apr 29 2010 00:00:00 GMT+0800 (CST),高雄市,進口,null,60,200
Thu Apr 14 2011 00:00:00 GMT+0800 (CST),高雄市,進口,null,20.4,189
Wed Apr 25 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,75,40
Tue Apr 23 2013 00:00:00 GMT+0800 (CST),高雄市,進口,null,2,80
Wed Aug 28 1996 00:00:00 GMT+0800 (CST),台北一,進口,null,110,50
Mon Aug 02 1999 00:00:00 GMT+0800 (CST),高雄市,進口,null,50,160
Sat Aug 07 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,70,5
Thu Aug 12 1999 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,300
Sat Aug 14 1999 00:00:00 GMT+0800 (CST),台北二,進口,null,80,7
Thu Aug 19 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,15,365
Fri Aug 20 1999 00:00:00 GMT+0800 (CST),高雄市,進口,null,120,204
Mon Aug 07 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,100,135
Tue Aug 08 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,100,145
Sun Aug 13 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,100,425
Mon Aug 14 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,110,150
Thu Aug 17 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,100,1235
Fri Aug 18 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,100,125
Sat Aug 19 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,100,180
Sat Aug 19 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,300
Sun Aug 20 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,90.5,110
Sun Aug 20 2000 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,120
Mon Aug 21 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,90,175
Fri Aug 25 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,90,1145
Wed Aug 30 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,110,150
Wed Aug 01 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Thu Aug 02 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Fri Aug 03 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,105.7,175
Sat Aug 04 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,425
Sun Aug 05 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Sun Aug 05 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,840
Tue Aug 07 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,100
Tue Aug 07 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,50,60
Wed Aug 08 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,166.7,30
Thu Aug 09 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,112
Thu Aug 09 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,83.3,330
Fri Aug 10 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,99.3,265
Sun Aug 12 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,111.4,175
Mon Aug 13 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,80,315
Wed Aug 15 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,100
Thu Aug 16 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,100
Fri Aug 17 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,75
Sat Aug 18 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Sat Aug 18 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,77.2,750
Mon Aug 20 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,119,110
Mon Aug 20 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,65
Wed Aug 22 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,110
Thu Aug 23 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Fri Aug 24 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,100
Fri Aug 24 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,80,210
Sat Aug 25 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,120
Sat Aug 25 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,135
Mon Aug 27 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Tue Aug 28 2001 00:00:00 GMT+0800 (CST),高雄市,進口,null,80,950
Wed Aug 29 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,90
Thu Aug 30 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,110
Fri Aug 31 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Thu Aug 01 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,108.8,151
Thu Aug 01 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,850
