date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,青椒,null,8,1282
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,青椒,null,11,14501
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,青椒,null,12.2,300
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),南投市,青椒,null,0,452
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,青椒,null,15.1,11877
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,青椒,null,15,1940
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,青椒,null,18.9,2250
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),花蓮市,青椒,null,15,1120
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,青椒,null,10,2060
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,青椒,null,9,18226
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,青椒,null,12,509
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,青椒,null,14.1,11182
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,青椒,null,14,1690
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),鳳山區,青椒,null,11.9,942
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,青椒,null,14.8,6922
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台東市,青椒,null,20,940
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,青椒,null,10,3123
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,青椒,null,8,1999
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,青椒,null,10,16200
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,青椒,null,11.5,354
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,青椒,null,14.6,11704
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,青椒,null,16,1794
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),鳳山區,青椒,null,11.4,2011
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,青椒,null,15.9,6273
