date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,40,560
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,45,1812
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,45,1310
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,18.9,2187
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,36,405
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,19.5,360
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,40,546
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,45,3205
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,55,1317
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,26.1,2274
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,39,247
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,24.4,360
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,50,535
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,45,2873
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,65,608
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,24,1543
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,45,184
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,20.2,550
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,46,283
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,35.1,280
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,80,272
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,20,540
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,100,180
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,80,731
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,90,912
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,29.5,115
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,27.2,330
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,80,307
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,90,1837
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,95,963
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,32,601
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,74,283
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,29.2,180
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,100,362
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,70,3438
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,90,1257
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,30,125
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,82,401
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,25,180
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,80,310
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,70,2062
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,75,1402
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,80.9,102
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,96,268
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,28,90
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,65,538
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,65,2850
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,70,1399
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,30,230
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,73,248
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,26.8,90
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,45,330
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,50,3938
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,65,2238
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,30,296
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,67,296
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,28,90
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,65,1435
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,44.4,158
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,34,502
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,24.6,126
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,50,3636
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,70,1698
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,51.2,455
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,53,193
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,43.9,150
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,55,3072
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,70,1270
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,33,225
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,60,225
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,65,360
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,65,1734
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,70,1805
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,65,243
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,65,242
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,85,1072
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,65,874
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,50,88
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,54,245
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,70,320
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,60,2703
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,60,1720
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,49.4,982
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,63,270
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,70,400
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,60,3194
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,60,2232
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,66.7,775
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,69,263
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,75,90
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,65,490
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,60,3634
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,61,190
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,57.8,120
Sat Apr 20 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,54.9,1361
Sat Apr 20 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,58.6,80
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,60,680
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,50,3485
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,70,275
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,49.3,670
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,65,2665
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,51.4,843
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,66,510
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,50,236
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,70,1099
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,68,265
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,62.1,168
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,65,1962
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,69,285
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,80,100
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,70,2158
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,50,834
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,68,250
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,70,280
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,75,2362
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,44.3,342
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,39,710
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,61.2,1080
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,68,240
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,57.9,310
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,60,2790
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,37.3,495
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,74,105
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,65,250
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,60,2377
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,50.6,464
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,69,220
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,55,200
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,60,2360
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),西螺鎮,甜豌豆,null,55.2,580
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),高雄市,甜豌豆,null,68,143
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),屏東市,甜豌豆,null,23.9,120
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,甜豌豆,null,42.2,370
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,甜豌豆,null,35,3618
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),溪湖鎮,甜豌豆,null,46.3,2144
