date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,70,24
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,60,46
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,70,9
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,27
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,65,45
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,43
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,104.7,23
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,90,10
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,0,11
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,90,13
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,120,50
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,85,50
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,90,12
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,70,40
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,90,10
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,67.9,49
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,70,12
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,120,40
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,90,50
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,90,40
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,90,20
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,30
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,41
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,34
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,62.5,26
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,13
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,55,9
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北二,豆仁,null,20,11
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,55,11
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,60,13
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,12
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,8
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北一,豆仁,null,89,10
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,30,40
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,15
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,11
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台中市,豆仁,null,30,4
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,35,62
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,25,58
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,25,82
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,23.7,57
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,25,48
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,25,52
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,18.2,85
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,15,43
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,16.2,53
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,20.4,24
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,42.5,22
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),屏東市,豆仁,null,38.6,70
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,豆仁,null,40,10
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,豆仁,null,32.7,53
Thu Apr 05 2001 00:00:00 GMT+0800 (CST),屏東市,豆仁,null,32.2,272
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,18
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),屏東市,豆仁,null,34.6,140
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),高雄市,豆仁,null,20,15
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北二,豆仁,null,5,30
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北二,豆仁,null,12,10
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),高雄市,豆仁,null,32,80
Mon Apr 22 2002 00:00:00 GMT+0800 (CST),高雄市,豆仁,null,65,50
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北一,豆仁,null,35,32
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,豆仁,null,30,17
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北一,豆仁,null,35,9
