date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,170
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,豆莢,null,15,20
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,334
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,434
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,60,84
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,60,152
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,60,246
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,60,167
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,60,128
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,60,144
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,141
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,96
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,26.5,76
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,60
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,123
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,161
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,35,132
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,80
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,107
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,45,44
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,45,200
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,45,109
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,45,61
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,豆莢,null,45,99
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,豆莢,null,30,20
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,豆莢,null,80,10
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,豆莢,null,80,10
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,豆莢,null,70,5
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,豆莢,null,72,9
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,豆莢,null,40,40
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,豆莢,null,20,41
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,豆莢,null,30,5
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北二,豆莢,null,8,30
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,豆莢,null,12.2,117
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,豆莢,null,65,200
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北一,豆莢,null,30,48
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北二,豆莢,null,20,10
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,豆莢,null,15,70
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,豆莢,null,35,65
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北二,豆莢,null,22,30
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,豆莢,null,35,118
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北二,豆莢,null,12,15
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,豆莢,null,15.7,395
