date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,20,956
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,32,765
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,50,36
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,20,1048
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,40,965
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,40,60
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,20,1120
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,31,943
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,46,724
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,50,60
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,20,912
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,40,72
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,20,1420
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,37,877
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,20,2140
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,39,1005
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,50,60
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,20,1584
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,34,712
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,50,48
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,20,914
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,39,750
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,50,72
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,20,847
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,44,660
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,43,788
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,20,1614
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,47,618
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,25,901
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,41,520
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,65,36
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,25,1215
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,48,1153
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,65,48
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,25,865
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,44,482
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,50,48
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,25,296
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,46,496
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,豌豆苗,null,25,1035
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),高雄市,豌豆苗,null,89,350
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,豌豆苗,null,31.5,96
