date,mktname,sbtype,transformation,middleprice,quantity
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,4.8,840
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,16,588
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,70,300
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,70,200
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,59.1,88
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,65.9,206
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,63.5,146
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,62.6,228
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,62.6,292
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,45.7,268
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,38.6,270
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,37.1,166
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,42.8,60
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,45,220
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,47.7,150
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,38.6,250
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,90,660
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北二,進口,null,51.8,80
Sun Apr 13 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,47.4,180
Tue Apr 15 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,80.6,32
Wed Apr 16 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,63.2,80
Thu Apr 17 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,45,80
Thu Apr 17 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,62,116
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,65,60
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,53.5,308
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,52,36
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,52.4,172
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,34.3,1026
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,30,40
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,40,80
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,45.8,280
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,49.1,654
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,55,618
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,25,56
Wed Apr 23 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,56.3,660
Wed Apr 23 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,51.6,72
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,54,48
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,56.2,796
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,40,72
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,40.8,188
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,49.7,1008
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,38.3,100
Sat Apr 26 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,30.7,140
Sat Apr 26 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,44.6,168
Sat Apr 26 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,50.2,876
Sun Apr 27 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,44.3,1304
Sun Apr 27 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,40,76
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,42.6,108
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,41.8,944
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,40,24
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,40,80
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,41.6,660
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),三重市,進口,null,40,36
Fri Apr 09 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,106,64
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,105,120
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,67.1,640
Tue Apr 13 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,25.9,828
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,65,24
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,20,200
Thu Apr 15 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,40,80
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,10,40
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,18.9,172
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),三重市,進口,null,30,40
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,29.1,240
Sun Apr 18 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,37.3,284
Sun Apr 25 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,28,400
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,29.3,620
Wed Apr 28 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,24.2,680
Thu Apr 29 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,800,5
Thu Apr 29 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,13.7,640
Fri Apr 30 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,19.4,620
Mon Apr 04 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,60,20
Thu Apr 07 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,50,40
Thu Apr 07 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,40.9,316
Fri Apr 08 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,34,40
Fri Apr 08 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,45,240
Fri Apr 08 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,50,60
Sat Apr 09 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,25,40
Sat Apr 09 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,45,420
Sat Apr 09 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,55,60
Sun Apr 10 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,25,60
Sun Apr 10 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,28,488
Tue Apr 12 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,35.4,320
Tue Apr 12 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,35,120
Wed Apr 13 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,28.8,400
Wed Apr 13 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,25,120
Thu Apr 14 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,31.9,344
Thu Apr 14 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,32,80
Fri Apr 15 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,36,80
Sat Apr 16 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,25.3,120
Sat Apr 16 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,30.9,984
Sat Apr 16 2005 00:00:00 GMT+0800 (CST),高雄市,進口,null,29,80
Sun Apr 17 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,25.2,80
Sun Apr 17 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,33,1040
Sun Apr 17 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,32.4,140
Sun Apr 17 2005 00:00:00 GMT+0800 (CST),高雄市,進口,null,32,80
Tue Apr 19 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,31,1260
Tue Apr 19 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,30,100
Tue Apr 19 2005 00:00:00 GMT+0800 (CST),高雄市,進口,null,30.4,136
Wed Apr 20 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,30.8,1120
Wed Apr 20 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,30,100
Thu Apr 21 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,27,884
Thu Apr 21 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,30,80
Fri Apr 22 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,24,12
Fri Apr 22 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,20,870
Fri Apr 22 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,30,80
Fri Apr 22 2005 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,80
Sat Apr 23 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,10,40
Sat Apr 23 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,28,900
Sat Apr 23 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,30,120
Sun Apr 24 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,23.2,996
Sun Apr 24 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,25,120
Tue Apr 26 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,26.8,700
Tue Apr 26 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,25,120
Wed Apr 27 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,20,628
Wed Apr 27 2005 00:00:00 GMT+0800 (CST),三重市,進口,null,25,120
Wed Apr 27 2005 00:00:00 GMT+0800 (CST),高雄市,進口,null,29.6,120
