date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,白豆,null,50,2275
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,白豆,null,50,8412
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,白豆,null,25.2,119
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,白豆,null,25,1296
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,白豆,null,35,406
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,白豆,null,23,3940
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),花蓮市,白豆,null,22,959
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,白豆,null,50,3016
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,白豆,null,50,11230
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,白豆,null,26.6,224
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,白豆,null,28,1248
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,白豆,null,30,606
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,白豆,null,20.4,3304
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,白豆,null,22,912
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,白豆,null,60,2461
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,白豆,null,45,11149
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,白豆,null,27.1,189
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),南投市,白豆,null,36,241
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,白豆,null,27.1,3291
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,白豆,null,36,453
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,白豆,null,24.6,3714
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),花蓮市,白豆,null,25,1271
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,白豆,null,22.7,212
