date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,20,285
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,30,1443
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,20,538
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,25,1387
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,20,622
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,30,1993
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,30,502
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,35,1693
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,35,463
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,45,784
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),花蓮市,粉豆,null,39,131
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,40,383
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,45,1192
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,40,407
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,40,1214
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,40,371
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,35,1728
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,20.6,248
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,35,1707
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,粉豆,null,48,100
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,粉豆,null,53,160
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,35,1903
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,粉豆,null,50,100
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,35,1087
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,40,294
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,40,957
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,36.3,586
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,40,1058
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,40,286
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,44.5,1662
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,40,726
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,40,1785
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,30,984
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,35,2262
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,30,870
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,38,3090
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),高雄市,粉豆,null,52,130
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,35,1177
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,35,2551
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,30,927
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,30,1089
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,25,445
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,40,1006
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,50,299
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,50,723
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),高雄市,粉豆,null,50,120
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,50,100
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,50,1520
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,40,560
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,40,2949
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),高雄市,粉豆,null,51,140
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,29.7,498
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,40,2027
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,粉豆,null,40,462
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,粉豆,null,35,1595
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,粉豆,null,15.6,879
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,粉豆,null,20,2181
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,粉豆,null,40,140
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,粉豆,null,14.9,437
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,粉豆,null,15,1930
