date,mktname,sbtype,transformation,middleprice,quantity
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,30,49
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,28,20
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,30,35
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,32,19
Wed Apr 09 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,26,40
Thu Apr 10 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,25.2,34
Sun Apr 13 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,31,19
Tue Apr 15 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,33.7,26
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,35,36
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,35,65
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,30,75
Sun Apr 27 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,35,25
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),台北一,翼豆,null,28.4,61
Fri Apr 02 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,40,16
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,35.2,27
Tue Apr 06 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,40,31
Wed Apr 07 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,30.4,45
Fri Apr 09 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,35,28
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,30,92
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),三重市,翼豆,null,33,11
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,36,29
Tue Apr 13 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,30,40
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,25,33
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,31,50
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),三重市,翼豆,null,33,12
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,30,22
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),三重市,翼豆,null,20,15
Sun Apr 18 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,30,30
Wed Apr 21 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,22.5,80
Thu Apr 22 2004 00:00:00 GMT+0800 (CST),三重市,翼豆,null,16,17
Fri Apr 23 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,17.4,28
Sun Apr 25 2004 00:00:00 GMT+0800 (CST),台北一,翼豆,null,20,86
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),三重市,翼豆,null,15,15
