date,mktname,sbtype,transformation,middleprice,quantity
Tue Aug 27 1996 00:00:00 GMT+0800 (CST),台北一,進口,null,83.1,2200
Wed Aug 28 1996 00:00:00 GMT+0800 (CST),台北一,進口,null,80,855
Sat Aug 31 1996 00:00:00 GMT+0800 (CST),台北一,進口,null,65,60
Tue Jul 08 2008 00:00:00 GMT+0800 (CST),三重市,進口,null,15,80
Mon Jun 12 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,3,30
Sun Jun 04 2006 00:00:00 GMT+0800 (CST),三重市,進口,null,10,15
Wed Jun 14 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,60,20
Sat May 08 2004 00:00:00 GMT+0800 (CST),台北一,進口,null,60,10
Wed May 17 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,50,20
Sat Nov 07 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,40,278
Fri Nov 09 2001 00:00:00 GMT+0800 (CST),台中市,進口,null,23.3,200
Mon Nov 12 2001 00:00:00 GMT+0800 (CST),台中市,進口,null,15,200
Sun Nov 18 2001 00:00:00 GMT+0800 (CST),台中市,進口,null,20,300
Mon Nov 19 2001 00:00:00 GMT+0800 (CST),台中市,進口,null,15,300
Tue Nov 20 2001 00:00:00 GMT+0800 (CST),台中市,進口,null,15,300
Tue Nov 14 2006 00:00:00 GMT+0800 (CST),屏東市,進口,null,38,19
Fri Oct 30 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,30,445
Wed Oct 10 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,66,300
Sun Oct 10 2004 00:00:00 GMT+0800 (CST),台北二,進口,null,40,36
Tue Oct 16 2012 00:00:00 GMT+0800 (CST),屏東市,進口,null,58.9,69
Sun Sep 01 1996 00:00:00 GMT+0800 (CST),台北一,進口,null,55.4,180
Mon Sep 02 1996 00:00:00 GMT+0800 (CST),台北一,進口,null,56.5,270
Tue Sep 03 1996 00:00:00 GMT+0800 (CST),台北一,進口,null,64.4,1020
Wed Sep 04 1996 00:00:00 GMT+0800 (CST),台北一,進口,null,70,2175
Thu Sep 05 1996 00:00:00 GMT+0800 (CST),台北一,進口,null,70,675
Fri Sep 06 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,85,132
Sat Sep 28 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,80,30
Thu Sep 03 2009 00:00:00 GMT+0800 (CST),台北一,進口,null,10,200
