date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),三重市,醜豆,null,24.7,45
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,28,968
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,26.8,287
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,40.2,1158
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,26,1106
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),高雄市,醜豆,null,60,60
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,33.9,145
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,40.8,1413
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),三重市,醜豆,null,25,14
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,30.4,42
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),高雄市,醜豆,null,63.3,120
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,27.9,75
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,37.4,1062
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,27,1109
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,25.2,207
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,28.2,2681
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,24.1,101
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,25,1130
Thu Apr 06 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,27,963
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,26,810
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,23.1,274
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,27.1,1720
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,20.3,188
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,25.5,160
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,29.2,1961
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,20,97
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),高雄市,醜豆,null,60,72
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,28,814
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),高雄市,醜豆,null,53.3,100
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,20,232
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,27.7,1345
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,18.9,118
Mon Apr 10 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,27,846
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,25.4,120
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,28.6,1194
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,20,83
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,26,667
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,20,100
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,28,1103
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,42,75
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,26.6,1069
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,24.6,80
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,28,1024
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),高雄市,醜豆,null,60,40
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,46,75
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,25.1,698
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),三重市,醜豆,null,21,45
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,29,1095
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,27.7,105
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,26.7,534
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,29,687
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,42,90
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,26.2,532
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),三重市,醜豆,null,12,15
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,22.9,220
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,36,128
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,28.2,388
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,20,181
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,29,905
Mon Apr 17 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,30,671
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,32,402
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,32,75
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,42.3,432
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,62.7,156
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,10,18
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,33,217
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,76.4,309
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,34,10
Thu Apr 20 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,36,483
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),高雄市,醜豆,null,50,56
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,46,32
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,56,490
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,19.4,45
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,40,575
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,55,94
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,54.2,847
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),三重市,醜豆,null,31.8,95
Sat Apr 22 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,40,580
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,6.8,90
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,50.6,777
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),三重市,醜豆,null,30,60
Mon Apr 24 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,40,1102
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,40,602
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,53,127
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,39.7,1675
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,25,20
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台中市,醜豆,null,28.7,86
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,40,552
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,47,64
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),台北一,醜豆,null,32.7,1770
Wed Apr 26 2006 00:00:00 GMT+0800 (CST),三重市,醜豆,null,15,12
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),溪湖鎮,醜豆,null,38,375
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),台北二,醜豆,null,44.9,126
