date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,30
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,30
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,50
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,50
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,80,48
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,50
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,170,780
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,170,35
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,150
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,豆仁,null,90,40
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,10
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,200,400
Thu Apr 01 2004 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,30
Thu Apr 07 2005 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,90
Fri Apr 08 2005 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,50
Wed Apr 13 2005 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,120
Fri Apr 22 2005 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,30
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,105,75
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,12.7,130
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,45
Wed Apr 19 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,201
Sun Apr 30 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,40
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北一,豆仁,null,80,60
Sun Apr 29 2007 00:00:00 GMT+0800 (CST),台北一,豆仁,null,80,30
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,100
Tue Apr 22 2008 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,100
Wed Apr 23 2008 00:00:00 GMT+0800 (CST),台北一,豆仁,null,120,150
Thu Apr 24 2008 00:00:00 GMT+0800 (CST),台北一,豆仁,null,120,60
Sun Apr 27 2008 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,45
Wed Apr 30 2008 00:00:00 GMT+0800 (CST),台北一,豆仁,null,120,75
Fri Apr 03 2009 00:00:00 GMT+0800 (CST),台北一,豆仁,null,90,75
Sun Apr 12 2009 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,75
Thu Apr 23 2009 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,75
Thu Apr 01 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,65,75
Sat Apr 03 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,75,72
Sun Apr 04 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,98.3,98
Thu Apr 08 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,45
Fri Apr 09 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,75,48
Sat Apr 10 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,75,24
Sun Apr 11 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,30
Tue Apr 13 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,107
Wed Apr 14 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,75,48
Thu Apr 15 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,12
Sat Apr 17 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,74.9,61
Tue Apr 20 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,18
Thu Apr 22 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,55,252
Fri Apr 23 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,11
Sat Apr 24 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,30
Sun Apr 25 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,10
Tue Apr 27 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,30
Thu Apr 29 2010 00:00:00 GMT+0800 (CST),台北一,豆仁,null,45,20
Thu Apr 07 2011 00:00:00 GMT+0800 (CST),台北一,豆仁,null,108.3,100
Sat Apr 23 2011 00:00:00 GMT+0800 (CST),台北一,豆仁,null,80,105
Tue Apr 26 2011 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,72
Sat Apr 07 2012 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,440
Sat Apr 21 2012 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,140
Tue Apr 09 2013 00:00:00 GMT+0800 (CST),台北一,豆仁,null,90,414
Fri Apr 12 2013 00:00:00 GMT+0800 (CST),台北一,豆仁,null,90,225
Sat Apr 20 2013 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,60
Tue Apr 23 2013 00:00:00 GMT+0800 (CST),台北一,豆仁,null,90,225
Tue Apr 30 2013 00:00:00 GMT+0800 (CST),台北一,豆仁,null,110,25
Fri Aug 22 1997 00:00:00 GMT+0800 (CST),台北二,豆仁,null,13,150
Sat Aug 26 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,200,150
Thu Aug 28 2003 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,60
Sat Aug 30 2003 00:00:00 GMT+0800 (CST),台北一,豆仁,null,110,60
Sun Aug 31 2003 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,30
Sun Aug 01 2004 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,40
Sun Aug 06 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,40
Fri Aug 11 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,200
Sun Aug 13 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,90
Wed Aug 16 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,90.7,350
Thu Aug 17 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,83.9,75
Fri Aug 18 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,90
Sun Aug 20 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,120,110
Wed Aug 23 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,120,70
Fri Aug 25 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,120,30
Sat Aug 26 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,120,75
Tue Aug 29 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,120,75
Wed Aug 30 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,85,75
Thu Aug 31 2006 00:00:00 GMT+0800 (CST),台北一,豆仁,null,120,30
Thu Aug 21 2008 00:00:00 GMT+0800 (CST),台北一,豆仁,null,120,150
Tue Aug 04 2009 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,120
Tue Aug 18 2009 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,50
Wed Aug 26 2009 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,15
Thu Aug 27 2009 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,30
Sat Dec 07 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,33,162
Thu Dec 04 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,500
Sat Dec 11 1999 00:00:00 GMT+0800 (CST),台北一,豆仁,null,50,60
Mon Dec 20 1999 00:00:00 GMT+0800 (CST),台北一,豆仁,null,80,20
Wed Dec 29 1999 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,520
Sat Dec 16 2000 00:00:00 GMT+0800 (CST),台北一,豆仁,null,150,100
Tue Dec 16 2003 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,45
Thu Dec 18 2003 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,300
Sun Dec 21 2003 00:00:00 GMT+0800 (CST),台中市,豆仁,null,36.7,30
