date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,70,36
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,175
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,70,81
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,216
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,65,36
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,146
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,70,15
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,112
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,194
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,70,224
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,豆仁,null,45,8
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,70,40
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,80,166
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,90,110
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,75,125
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,75,112
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),台中市,豆仁,null,31.1,34
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,75,205
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,75,208
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,80,20
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,75,207
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,75,30
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,75,53
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,85,95
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,85,147
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,85,145
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,85,51
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,45
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,130
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台中市,豆仁,null,33.3,72
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,125
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,136
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,109
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,152
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,豆仁,null,100,30
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,100,179
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,豆仁,null,80,153
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,豆仁,null,50,33
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,32.4,163
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台中市,豆仁,null,30,57
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,36.3,167
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北二,豆仁,null,22.5,8
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,21.5,283
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北二,豆仁,null,25,21
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,22.6,239
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台中市,豆仁,null,55,34
Sat Apr 05 1997 00:00:00 GMT+0800 (CST),台中市,豆仁,null,59.9,28.5
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北二,豆仁,null,20,14
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,豆仁,null,20,344
