date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,null,null,8,1859
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,8,8366
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,8,4095
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,445
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,null,null,6,1753
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,5909
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,null,null,8,45
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,5.9,3030
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,17,525
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,null,null,6,1414
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,14,7256
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,null,null,9,40
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,7,3870
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,19,280
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,10,1220
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,8.5,2750
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,null,null,10,1124
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,25,6539
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,null,null,12,75
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,11.6,2520
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,null,null,20,636
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,24,6750
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,null,null,11.6,45
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,11.3,2415
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,16,640
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,null,null,20,819
