date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,257
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,380
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,400
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,260
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,370
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,400
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,680
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,550
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,440
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,590
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,300
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,580
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,550
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,260
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,460
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,650
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,360
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,300
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,青色,null,8,100
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,25
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,454
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,417
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,75
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,320
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,400
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,30
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,400
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,50
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,275
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,300
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,460
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,24
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,740
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,995
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,521
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,1290
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,840
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,青色,null,8,275
