date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,220
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,126
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,912
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,1048
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,385
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,643
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,450
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,552
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,610
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,830
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,1817
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,210
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,100
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,488
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,345
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,599
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,570
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,345
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,345
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,374
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,419
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,547
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,652
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,15,365
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,675
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,660
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,1080
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,690
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北二,其他,null,12,200
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,240
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,450
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,144
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,192
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,390
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,168
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,168
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,270
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,1054
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,878
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,410
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,780
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,120
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,420
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,695
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,100
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,12,894
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北二,其他,null,12,25
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,12,100
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,25,290
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,21.3,240
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,12,200
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,12,180
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,20,60
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,45,120
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,45,120
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,30,200
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,30,120
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,5,45
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,12,50
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,13,74
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,7.2,136
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,11,100
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,12,120
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,5,20
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,15,80
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,12,80
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,27.5,80
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,20,100
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,6,30
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,3,60
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,302
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,8,120
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,5,100
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,5,260
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,4,80
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,125
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,30,50
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,100
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,30,23
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,37,60
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,135
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,404
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,717
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,400
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,405
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,395
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,768
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,8,8
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,744
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,876
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,75
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,20,175
