date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,9.9,820
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,982
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,17.6,64
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,15,578
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,10.8,465
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,1843
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,15.8,181
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,15,500
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,8.2,245
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,909
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,17,500
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),花蓮市,木瓜形,null,7.5,292
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,15,27
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,20,300
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,15.3,270
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,1184
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,15.7,471
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,2788
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,12,154
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,13,692
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,10.8,385
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,4881
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,15,25
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,17,700
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,12.3,742
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,7002
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,15,770
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,12,836
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,6810
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,16,850
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,10.5,685
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,2371
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,16.6,30
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,17,600
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,15.8,60
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,19,280
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,6238
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,13,48
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,17,698
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,3483
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,8.3,60
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,20,400
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),花蓮市,木瓜形,null,9,150
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,12.4,929
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,4443
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,6,248
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,23,498
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,10.6,752
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,3599
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,15,30
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,15,400
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,8.5,437
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,3177
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,15,350
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,11,450
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,3625
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,10.8,68
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,19,240
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,10.5,760
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,2985
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,12.5,60
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,18,710
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,10,448
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,2687
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,11.7,120
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,16,1760
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),花蓮市,木瓜形,null,6,320
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,8.2,392
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,4294
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,7.9,90
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,17,700
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),花蓮市,木瓜形,null,9,126
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,14.6,498
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,3981
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,6.6,60
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,18,610
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,13.7,807
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,3503
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,8.3,60
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,20,350
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,12,753
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,5476
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,12,50
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,17,675
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,11.5,519
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,5961
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,15,30
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,17,510
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),花蓮市,木瓜形,null,14,175
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,17,460
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,10,1045
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,5157
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,18.6,103
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,15,1094
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),花蓮市,木瓜形,null,13,160
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,8.7,1047
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,7164
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,16,600
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,9.9,1188
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,5334
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,15,28
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,18,680
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),花蓮市,木瓜形,null,15,333
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,7.9,362
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,4013
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,8.1,56
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,14.1,1390
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,7.6,446
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,3597
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,9.5,60
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,15,1308
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,6.5,659
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,5951
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,13.1,752
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,6,484
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,3894
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,15,1000
Sat Apr 05 1997 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,8,15
Sat Apr 05 1997 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,15,1270
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,6,1020
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,4894
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,5.7,290
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,6,1000
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,5380
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,8,30
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,14.8,1290
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),花蓮市,木瓜形,null,8,369
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,4.2,1665
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,5056
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,6.6,30
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,14,1500
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,3,1200
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,6195
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,9.4,60
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,14.2,1256
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,3,180
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,4157
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台中市,木瓜形,null,8,79
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,13,894
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,5.2,489
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,6321
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),高雄市,木瓜形,null,15,1020
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),花蓮市,木瓜形,null,6,200
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北二,木瓜形,null,4,138
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,木瓜形,null,10,5142
