date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 06 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,210,20
Tue Apr 16 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,220,20
Thu Apr 25 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,75,30
Fri Apr 26 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,220,20
Wed Aug 01 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,48,30
Fri Aug 03 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,20,40
Sat Aug 04 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,12,14
Fri Aug 10 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,25,32
Tue Aug 14 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,65,60
Tue Aug 14 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,35,30
Thu Aug 16 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,134
Fri Aug 17 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,26.3,325
Fri Aug 17 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,44.5,500
Sat Aug 18 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,30,625
Sun Aug 19 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,80
Tue Aug 21 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,32.8,875
Wed Aug 22 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,40,60
Wed Aug 22 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,29.2,1310
Thu Aug 23 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,20,150
Thu Aug 23 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,16,150
Thu Aug 23 2012 00:00:00 GMT+0800 (CST),鳳山區,進口,null,25,60
Fri Aug 24 2012 00:00:00 GMT+0800 (CST),三重市,進口,null,20,150
Fri Aug 24 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,16.5,210
Fri Aug 24 2012 00:00:00 GMT+0800 (CST),鳳山區,進口,null,26.7,150
Sat Aug 25 2012 00:00:00 GMT+0800 (CST),三重市,進口,null,16,120
Sat Aug 25 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,35,150
Sun Aug 26 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,27.3,250
Tue Aug 28 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,13,135
Wed Aug 29 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,17.5,400
Thu Aug 30 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,13,590
Sat Dec 01 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,20,510
Sat Dec 01 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,23.9,1105
Sun Dec 02 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,25,75
Sun Dec 02 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,20,625
Tue Dec 04 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,20.9,862
Wed Dec 05 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,22,225
Wed Dec 05 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,27.7,1700
Thu Dec 06 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,21.1,300
Thu Dec 06 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,25.2,500
Fri Dec 07 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,22.1,230
Fri Dec 07 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,25.5,675
Sat Dec 08 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,21.8,150
Sat Dec 08 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,25.5,575
Sun Dec 09 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,20,150
Tue Dec 11 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,21.9,96
Tue Dec 11 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,24.1,800
Wed Dec 12 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,27,150
Wed Dec 12 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,23,735
Thu Dec 13 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,26.2,225
Thu Dec 13 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,23.3,300
Fri Dec 14 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,27.2,225
Fri Dec 14 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,25.2,225
Sat Dec 15 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,25.9,345
Sat Dec 15 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,27.8,1030
Sun Dec 16 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,21.9,225
Sun Dec 16 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,18.9,225
Tue Dec 18 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,22,75
Wed Dec 19 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,23,75
Thu Dec 20 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,23,75
Thu Dec 20 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,20,60
Fri Dec 21 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,20.7,75
Fri Dec 21 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,23,75
Sat Dec 22 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,22,75
Sat Dec 22 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,18,75
Sun Dec 23 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,22,105
Wed Dec 26 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,23,150
Wed Dec 26 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,19.7,310
Sun Feb 12 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,15,40
Sun Feb 19 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,30,37
Sat Jan 14 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,8,75
Sun Jan 15 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,5,150
Wed Jan 18 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,4,215
Sat Jan 28 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,13,100
Sat Jan 05 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,212.5,56
Tue Jan 08 2013 00:00:00 GMT+0800 (CST),台北二,進口,null,16,80
Tue Jan 15 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,170,50
Sun Jan 20 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,20,95
Tue Jul 10 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,21,45
Wed Jul 11 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,12,450
Fri Jul 13 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,40,75
Sat Jul 14 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,30,400
Sun Jul 15 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,19,409
Sun Jul 15 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,36,75
Tue Jul 17 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,23.3,541
Tue Jul 17 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,42,75
Wed Jul 18 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,10,515
Thu Jul 19 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,35,135
Fri Jul 20 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,36,75
Sat Jul 21 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,28,255
Sun Jul 22 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,20,295
Tue Jul 24 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,45,60
Tue Jul 24 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,22.5,235
Wed Jul 25 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,18,200
Thu Jul 26 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,20,300
Fri Jul 27 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,18,260
Sat Jul 28 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,16,120
Sun Jul 29 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,18,130
Tue Jul 31 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,46,30
Tue Jul 09 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,15,400
Fri Jul 12 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,28,375
Sat Jul 13 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,15,300
Sun Jul 14 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,35,100
Tue Jul 16 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,35,60
Wed Jul 17 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,10.9,585
Thu Jul 18 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,16.2,675
Fri Jul 19 2013 00:00:00 GMT+0800 (CST),台北二,進口,null,30.1,450
Fri Jul 19 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,14,600
Sat Jul 20 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,12,340
Tue Jul 23 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,9.8,450
Thu Jul 25 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,11.1,285
Fri Jul 26 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,12.5,150
Sat Jul 27 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,10,150
Sun Jul 28 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,16,420
Tue Jul 30 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,18.7,625
Wed Jul 31 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,18,380
Fri Jun 01 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,120,27
Fri Jun 22 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,7,380
Sat Jun 15 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,20,390
Wed Jun 26 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,20,300
Thu Jun 27 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,16.4,510
Sun Jun 30 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,20,300
Sun Jun 30 2013 00:00:00 GMT+0800 (CST),高雄市,進口,null,25,150
Thu Mar 01 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,30,19
Wed Mar 21 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,35,80
Sun Mar 25 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,35,20
Wed Mar 28 2012 00:00:00 GMT+0800 (CST),高雄市,進口,null,33.5,200
Wed Mar 13 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,210,30
Wed Mar 20 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,210,30
Sat Mar 23 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,210,30
Sun Mar 24 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,220,20
Tue Mar 26 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,220,20
Thu Mar 28 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,210,20
Wed May 01 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,210,20
Sat May 04 2013 00:00:00 GMT+0800 (CST),台北一,進口,null,75,30
Sun May 05 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,220,20
Wed May 08 2013 00:00:00 GMT+0800 (CST),三重市,進口,null,210,20
Thu Nov 01 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,31.8,145
Fri Nov 02 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,40,100
Sat Nov 03 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,30,1700
Sat Nov 03 2012 00:00:00 GMT+0800 (CST),三重市,進口,null,17,167
Sat Nov 03 2012 00:00:00 GMT+0800 (CST),台中市,進口,null,7,100
Sun Nov 04 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,36.2,275
Tue Nov 06 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,30,200
Wed Nov 07 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,30,100
Thu Nov 08 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,26,180
Fri Nov 09 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,10,100
Sat Nov 10 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,10,100
Sun Nov 11 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,14.4,495
Tue Nov 13 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,39.6,1140
Wed Nov 14 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,33,2300
Wed Nov 14 2012 00:00:00 GMT+0800 (CST),三重市,進口,null,25,150
Thu Nov 15 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,10,80
Fri Nov 16 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,39.9,460
Sat Nov 17 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,39.2,1300
Sun Nov 18 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,30.8,1390
Tue Nov 20 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,32.3,1040
Wed Nov 21 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,28.6,1310
Thu Nov 22 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,21.7,415
Thu Nov 22 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,26.8,1675
Thu Nov 22 2012 00:00:00 GMT+0800 (CST),三重市,進口,null,25,75
Fri Nov 23 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,22.9,400
Fri Nov 23 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,21.6,1305
Fri Nov 23 2012 00:00:00 GMT+0800 (CST),三重市,進口,null,25,75
Sat Nov 24 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,23.2,225
Sat Nov 24 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,20.8,635
Sat Nov 24 2012 00:00:00 GMT+0800 (CST),三重市,進口,null,23,75
Sun Nov 25 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,21.4,300
Sun Nov 25 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,24.3,1250
Tue Nov 27 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,21.1,300
Tue Nov 27 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,22.3,1250
Tue Nov 27 2012 00:00:00 GMT+0800 (CST),三重市,進口,null,25,75
Wed Nov 28 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,20,240
Wed Nov 28 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,25,750
Thu Nov 29 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,20.4,225
Thu Nov 29 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,25.2,745
Thu Nov 29 2012 00:00:00 GMT+0800 (CST),三重市,進口,null,20,120
Fri Nov 30 2012 00:00:00 GMT+0800 (CST),台北二,進口,null,22,75
Fri Nov 30 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,24.2,890
Wed Oct 03 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,6.8,2700
Thu Oct 04 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,14,3040
Thu Oct 04 2012 00:00:00 GMT+0800 (CST),三重市,進口,null,23,75
Fri Oct 05 2012 00:00:00 GMT+0800 (CST),台北一,進口,null,14.9,1600
