date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北二,null,null,15,50
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台北一,null,null,8.5,1222
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),三重市,null,null,8.3,520
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),台中市,null,null,23.3,22
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),高雄市,null,null,24,12
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北二,null,null,14,40
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台北一,null,null,8.5,1354
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),三重市,null,null,7.1,460
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),台中市,null,null,26,12
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),高雄市,null,null,25,40
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台北一,null,null,9.9,880
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),三重市,null,null,6.7,370
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),台中市,null,null,22.4,82
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),高雄市,null,null,25.1,52
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北二,null,null,15,30
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台北一,null,null,7.2,1576
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),三重市,null,null,7,492
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),台中市,null,null,25,32
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),高雄市,null,null,25.9,52
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北二,null,null,13,138
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台北一,null,null,8,1450
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),三重市,null,null,6.6,400
Fri Apr 07 2006 00:00:00 GMT+0800 (CST),台中市,null,null,20,112
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北二,null,null,13.3,110
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台北一,null,null,8,1873
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),三重市,null,null,6.6,400
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),台中市,null,null,15.8,92
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),高雄市,null,null,20.3,52
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北二,null,null,9.2,104
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台北一,null,null,7.9,1897
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),三重市,null,null,6,390
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),台中市,null,null,15.5,77
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),高雄市,null,null,20,22
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北二,null,null,9.8,65
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北一,null,null,7.1,1674
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),三重市,null,null,7.3,616
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台中市,null,null,19.1,75
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),高雄市,null,null,20,12
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台北一,null,null,8.4,844
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),三重市,null,null,6,352
Wed Apr 12 2006 00:00:00 GMT+0800 (CST),台中市,null,null,20,42
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台北一,null,null,7.7,1734
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),三重市,null,null,6,616
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),台中市,null,null,20,62
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北二,null,null,15,10
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台北一,null,null,6.4,1474
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),三重市,null,null,6,442
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),台中市,null,null,20,40
Fri Apr 14 2006 00:00:00 GMT+0800 (CST),高雄市,null,null,20,12
