date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,150
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,120
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,600
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,350
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,690
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,1110
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,300
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,570
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,22,320
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,600
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,400
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,660
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,200
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,300
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,300
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,330
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,300
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,120
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,350
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,780
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,400
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,940
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,350
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,960
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,660
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,1080
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,1140
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,770
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,600
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,430
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,20,100
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,810
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,1140
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,430
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,570
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,210
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,720
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,3983
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,15,30
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,450
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,630
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,750
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,600
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,600
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,10,120
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,660
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,630
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,510
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,680
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,1260
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,15,180
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,930
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,490
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,100
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北二,null,null,5,12
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,310
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,180
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,null,null,7,840
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,null,null,13,390
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北二,null,null,5,32
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,null,null,10,1050
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,null,null,10,780
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),高雄市,null,null,15,120
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,null,null,10,1350
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),高雄市,null,null,15,150
Sun Apr 05 1998 00:00:00 GMT+0800 (CST),高雄市,null,null,20,94
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,null,null,8,930
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,null,null,8,1440
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北二,null,null,7,15
