date,mktname,sbtype,transformation,middleprice,quantity
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,90.1,9
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,95.9,87
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,78.2,52
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,98.5,116
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,70.6,225
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,50.8,188
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,58.8,200
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,80.8,124
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,65.8,134
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,105.2,87
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,81,191
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,88.4,296
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,88.5,181
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,76.1,172
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,70,263
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,50.6,210
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,71.7,120
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,81.6,214
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,83.2,244
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,91.8,110
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,82.3,199
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,75.3,183
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,71.4,199
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,70.8,145
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,87.3,147
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,72.4,184
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,66.2,190
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,60,883
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,60,883
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,60,772
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,47,856
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,70,714
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,70,780
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,70,539
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,91,452
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,117.8,251
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,321
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,475
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,130,377
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,130,222
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,130,276
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,130.3,395
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,120,520
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,346
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,488
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,371
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,417
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,375
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,151
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,304
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,567
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,100,559
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,34.8,329
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,30.2,1137
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,22.9,205
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,26.1,1293
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,21.9,392
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,26.2,1615
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,26.9,319
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,22,2390
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,20,450
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,22.9,2339
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,26.9,297
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,20.8,2266
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,22.8,335
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,20.6,1522
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,16.4,643
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,14.1,2226
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,11.2,612
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,22.5,1307
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,22.6,185
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,29.3,1615
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,18.5,152
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,26,1649
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,16.1,315
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,24.9,1789
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,10.3,864
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,28,2007
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,10.5,284
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,25,1874
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,14.1,295
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,19.8,1468
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,8.6,465
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,15.8,1765
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,23.5,147
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,17.8,1101
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,23,130
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,19.4,1027
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,30.1,101
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,23.5,786
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,22.5,111
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,22.4,1090
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,25.7,389
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,34.3,1270
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,27.5,344
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,38,1121
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,32.5,256
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,35.9,1358
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,34.3,263
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,40,1049
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北二,其他,null,29.2,380
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北一,其他,null,33.5,1676
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,84.8,70
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,80,907
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,81.3,40
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,75,801
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,68.1,66
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,75,804
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,70.2,82
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,70,1199
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,71.6,184
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,70,997
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,61.1,115
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,70,924
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,54.1,148
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,70,843
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,63.6,46
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,70,794
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,72.5,121
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,861
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,55.3,188
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,676
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,69.6,118
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1080
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,55.2,108
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,921
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,51.4,106
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,957
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,37.1,93
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,961
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,40,30
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1115
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,65.7,39
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1033
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,62.6,87
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1488
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,55.9,183
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1512
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,54.4,120
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1533
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,46.1,101
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1600
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,36,114
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,36.5,920
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,46.4,213
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,45,1208
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,39.6,202
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,44.3,1504
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北二,其他,null,52.8,149
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,45,2273
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,其他,null,45,2162
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,60.3,313
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,55,831
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,45.5,159.5
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,60,281
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,55,925
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,49.7,181
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,941
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,50.3,79
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,60.3,268
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,860
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,41.2,108
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,56.8,136
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,55,1316
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,63.7,269
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,70,954
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,73.6,79
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,80.6,266
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1332
Tue Apr 10 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,53.9,94
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,69.2,388
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1211
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,77.3,18
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,65,391
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1043
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,62.6,48
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,58.2,491
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1083
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,69.4,92
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,49.6,346
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,936
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,56.7,28
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,50.4,336
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,830
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,60.3,86
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,50.6,342
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,850
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,73.2,36.5
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,55.5,204
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,903
Wed Apr 18 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,73.2,80
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,74,177
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1244
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,75,10
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,57,251
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,65,929
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,72.8,39
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,62.2,200
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,65,976
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,81.5,37
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,72.4,199
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,65,873
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,70.2,42.5
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,58.3,168
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,63.8,1068
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,69.7,74
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,58.1,284
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1334
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,0,74
Wed Apr 25 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,51.9,55.5
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,55.6,241
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1554
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,57.5,63.5
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,67.6,326
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,60,1375
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,60.7,59
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,76.6,287
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,55,1185
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,69.7,56
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,73.3,270
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,55,901
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),花蓮市,其他,null,67.9,32
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北二,其他,null,72.2,241
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,50,1050
