date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,29.1,486
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,16.6,1745
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,25,14
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,50,54.5
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,29.4,646
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,13.8,1640
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,30,176
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,34.2,220
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,21.5,758
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,15,1653
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,25,267
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,50.5,67.5
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,30.8,212
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,15.9,862
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,13.1,2315
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,35,75
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,19.8,512
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,16.2,1789
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,28.9,215
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,46.7,158.5
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,25,340
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,45.7,154.5
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,16.9,722
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,17,1779
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,12.8,690
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,23.1,1401
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,16.6,636
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,36.3,202.5
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,39.1,194
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,10.5,508
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,24.8,1684
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,11.7,504
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,22.7,1623
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,12.4,325
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,36.1,216
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,17.7,197
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,17.6,254
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,17,1845
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,13.8,189
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,33,195
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,36.6,81
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,17.6,391
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,21.4,1787
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,16.6,61
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,17.7,548
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,20.6,1982
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,11.7,280
Mon Apr 15 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,37,295
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,14.4,187
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,41.3,90
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,17.1,704
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,19.7,2418
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,30,184.5
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,13.9,494
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,12.3,2009
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,29.1,173
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,14.1,511
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,13.6,1690
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,12.5,263
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,12.9,181
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,29.4,167
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,13.8,528
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,13.6,1166
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,10.7,334
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,31.5,118
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,11.5,557
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,17.8,1134
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,14,484
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,15.5,1181
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,11.1,283
Mon Apr 22 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,30.6,121.5
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,14.5,310
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,14.4,1436
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,8.4,133
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,32.3,250
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,33.3,144
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,11.3,435
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,20.8,1322
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,6,34
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,11.5,479
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,20.2,1259
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,12,108
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,29.5,148
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,13.1,393
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,23.5,1328
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,10,13
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,33,187
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,13.6,336
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,26.6,1109
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,10,118
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,32.2,256.5
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,17.1,452
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,25.3,1367
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,10,131
Mon Apr 29 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,28.5,421
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,14.6,344
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,20.6,2075
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,25.9,414
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,77.4,164
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,88.6,697
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,30,33
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,80,2.5
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,77.2,273
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,101,837
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,37.7,39
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,91.1,125
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,90.3,1016
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,54.7,63
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,100,6
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,90.8,105
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,86.2,958
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,60,12
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台中市,朝天椒,null,26,6
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,80,12
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北二,朝天椒,null,102.1,200
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北一,朝天椒,null,82.7,899
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),三重市,朝天椒,null,50,30
Mon Apr 07 2003 00:00:00 GMT+0800 (CST),花蓮市,朝天椒,null,83,10
