date,mktname,sbtype,transformation,middleprice,quantity
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,進口,null,75,150
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,80,208
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,100,167
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,70
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,70
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,46.3,380
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,110
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,50
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,50
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,37.2,300
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,24
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,40
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,50
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,40
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,30
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,20
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,40
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,150,20
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,120,70
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,100
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,140
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,190
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,50
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,55
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,65
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,65
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,50
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,20
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,30
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,40
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,102.5,100
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,50
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,80
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,50
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,50
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,40
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,1383
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,310
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,95,100
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,90,110
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,90,140
Tue Apr 08 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,110,40
Wed Apr 09 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,110,90
Thu Apr 10 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,40
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,90,230
Sat Apr 12 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,150
Sun Apr 13 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,180
Tue Apr 15 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,110,180
Wed Apr 16 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,40
Thu Apr 17 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,120,90
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,210
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,113.3,200
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,120,90
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,200
Wed Apr 23 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,230
Thu Apr 24 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,100
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,90,30
Sat Apr 26 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,28.5,110
Sun Apr 27 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,80,30
Tue Apr 29 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,100,50
Wed Apr 30 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,41.7,150
Tue Apr 19 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,20,7
Thu Apr 21 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,70,114
Fri Apr 22 2005 00:00:00 GMT+0800 (CST),台北二,進口,null,90,12
Sat Apr 15 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,70,54
Sun Apr 23 2006 00:00:00 GMT+0800 (CST),台北二,進口,null,80,84
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,65,60
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,70,20
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,70,100
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,72.7,1215
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,80,80
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,80,40
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,80,10
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,21.4,260
Wed Apr 18 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,80,50
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,52.1,1295
Fri Apr 20 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,43.4,1240
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,42.5,120
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,27.1,610
Sat Apr 21 2007 00:00:00 GMT+0800 (CST),三重市,進口,null,40,120
Sun Apr 22 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,32.5,120
Sun Apr 22 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,16.2,510
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,20,72
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,10,72
Tue Apr 24 2007 00:00:00 GMT+0800 (CST),三重市,進口,null,20,72
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,24,67
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,5,130
Wed Apr 25 2007 00:00:00 GMT+0800 (CST),三重市,進口,null,30,60
Thu Apr 26 2007 00:00:00 GMT+0800 (CST),台北二,進口,null,22,120
Thu Apr 26 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,5.9,480
Thu Apr 26 2007 00:00:00 GMT+0800 (CST),三重市,進口,null,18,132
Fri Apr 27 2007 00:00:00 GMT+0800 (CST),台北一,進口,null,5,480
Sun Apr 12 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,238.1,14
Sat Apr 18 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,100,45
Sun Apr 19 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,333.3,25
Thu Apr 23 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,238.1,7
Sun Apr 26 2009 00:00:00 GMT+0800 (CST),台北二,進口,null,238.1,14
Thu Apr 01 2010 00:00:00 GMT+0800 (CST),台北二,進口,null,238.1,7
Sat Apr 03 2010 00:00:00 GMT+0800 (CST),台北二,進口,null,238.1,28
Sun Apr 04 2010 00:00:00 GMT+0800 (CST),台北二,進口,null,238.1,7
Thu Apr 08 2010 00:00:00 GMT+0800 (CST),台北二,進口,null,238.1,14
Sun Apr 11 2010 00:00:00 GMT+0800 (CST),台北二,進口,null,333.3,10
Sun Apr 25 2010 00:00:00 GMT+0800 (CST),台北二,進口,null,238.1,56
Fri Apr 01 2011 00:00:00 GMT+0800 (CST),台北一,進口,null,80,180
Fri Apr 01 2011 00:00:00 GMT+0800 (CST),高雄市,進口,null,81.4,110
Sat Apr 02 2011 00:00:00 GMT+0800 (CST),台北二,進口,null,80,215
Sat Apr 02 2011 00:00:00 GMT+0800 (CST),台北一,進口,null,80,90
Sun Apr 03 2011 00:00:00 GMT+0800 (CST),台北二,進口,null,80,91
Sun Apr 03 2011 00:00:00 GMT+0800 (CST),台北一,進口,null,75.6,613
Sun Apr 03 2011 00:00:00 GMT+0800 (CST),高雄市,進口,null,80,60
