date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,null,null,12,90
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,null,null,10,45
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,null,null,20,15
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,20,121
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,null,null,15,30
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,null,null,26,19
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,30,240
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,null,null,13,96
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,33.3,60
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,26.2,100
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,25,80
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,25,100
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,20,50
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北二,null,null,10,60
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,30,50
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北二,null,null,30,73
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,null,null,15,109
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,40,50
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北二,null,null,30,40
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,37
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,40,50
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北二,null,null,28.6,117
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,58
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,40,100
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北二,null,null,21.9,117
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,null,null,25,56
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,30,50
Wed Apr 16 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,50,40
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北二,null,null,25,186
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,190
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,37.5,40
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北二,null,null,28,28
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,218
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,37.5,40
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,105
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,120
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,40,100
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,40,50
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,37.5,40
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北二,null,null,20,5
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,24
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,40,50
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,null,null,18,104
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,40,30
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),高雄市,null,null,37.5,40
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,27
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,190
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,null,null,20,33
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北二,null,null,25,15
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,null,null,65,68
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),高雄市,null,null,33.3,30
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,null,null,46.9,122
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北二,null,null,20,16
Sun Apr 05 1998 00:00:00 GMT+0800 (CST),高雄市,null,null,37.5,40
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北二,null,null,15,6
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北二,null,null,15.6,52
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,null,null,10,10
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北二,null,null,24,24
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,null,null,18,52
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北二,null,null,15,30
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,null,null,20,56
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),高雄市,null,null,30,40
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),高雄市,null,null,33.3,60
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北二,null,null,20.3,65
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,null,null,25,129
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),高雄市,null,null,37.5,40
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北二,null,null,15,105
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,null,null,14.7,88
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北二,null,null,15,62
