date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,5,15
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,5,10
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,5,5
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,25,68
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,7,7
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,27.9,101
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,7.5,72
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,5,6
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,其他,null,3,14
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北二,其他,null,8,14
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,4,174
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,8,75
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,8,160
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,12,1125
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,10,250
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,10,40
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,14,304
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,25,420
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,20,400
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,14,80
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,10,11
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,10,10
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,5,13
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),三重市,其他,null,5,9
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),高雄市,其他,null,18,30
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),高雄市,其他,null,24,30
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),高雄市,其他,null,24,30
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),高雄市,其他,null,24,30
Sat Apr 26 2003 00:00:00 GMT+0800 (CST),高雄市,其他,null,22,30
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),高雄市,其他,null,18,30
Tue Apr 06 2004 00:00:00 GMT+0800 (CST),三重市,其他,null,4,6
Wed Apr 07 2004 00:00:00 GMT+0800 (CST),三重市,其他,null,5,3
Wed Apr 07 2004 00:00:00 GMT+0800 (CST),高雄市,其他,null,20,30
Thu Apr 15 2004 00:00:00 GMT+0800 (CST),高雄市,其他,null,18,30
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,17.5,820
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,11,300
Sun Apr 06 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,14,260
Tue Apr 08 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,12.5,200
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,15,200
Thu Apr 10 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,13,123
Fri Apr 11 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,15,23
Sat Apr 12 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,19.1,772
Sun Apr 13 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,11,213
Tue Apr 15 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,5.6,52
Thu Apr 17 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,7.1,600
Sat Apr 19 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,12.9,70
Sun Apr 20 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,13,21
Tue Apr 29 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,23,80
Wed Apr 30 2008 00:00:00 GMT+0800 (CST),台北一,其他,null,22.8,160
Wed Apr 01 2009 00:00:00 GMT+0800 (CST),三重市,其他,null,12,112
Fri Apr 03 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,17.7,1000
Tue Apr 07 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,20,300
Wed Apr 08 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,19.7,258
Thu Apr 09 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,12,280
Fri Apr 10 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,12.5,80
Sat Apr 11 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,12.5,120
Sat Apr 11 2009 00:00:00 GMT+0800 (CST),三重市,其他,null,15,9
Sun Apr 12 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,13.2,1144
Tue Apr 14 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,10,122
Wed Apr 15 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,9,1030
Thu Apr 16 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,15,80
Fri Apr 17 2009 00:00:00 GMT+0800 (CST),台北一,其他,null,15,534
Fri Apr 17 2009 00:00:00 GMT+0800 (CST),三重市,其他,null,10,21
