date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,30,111
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,40,1053
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,玉米筍,null,30,6
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,30,143
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,40,763
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,玉米筍,null,25,10
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,玉米筍,null,49,204
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,40,202
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,70,436
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,70,20
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,90,42
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,120,292
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,100,26
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,140,352
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,60,60
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,100,496
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,130,5
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,105,354
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,110,545
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,90,382
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,100,91
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,110,435
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,0,12
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,120,361
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,100,42
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,70,109
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,70,83
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,55,841
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,60,145
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,75,568
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,60,112
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,80,413
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,60,34
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,120,208
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,50,35
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,120,273
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,70,83
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,95,462
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,100,24
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,玉米筍,null,115,448
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,玉米筍,null,50,279
