date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,13,822
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,15,964
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,13,541
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,13,1720
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,15,410
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,18,363
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,15,458
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,20,1650
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,20,893
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,15,3440
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,15,465
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,15,1090
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,15,1123
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,11,4120
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,15,1410
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,13,4275
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,8.7,1530
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,15,4172
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,12,5639
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,15,6760
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,15,1305
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,15,2700
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,19.1,1288
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,17,2850
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,20,850
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,15,4131
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,20,613
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,18,2515
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,20,1011
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,15,5290
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,25,1330
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,16,5048
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,20,1029
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,18,5940
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,15,1020
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,15,3755
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,10,475
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,16,2828
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,20,204
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,20,1102
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,22,390
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,16,5736
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,25,338
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,15,5483
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,0,180
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,18,1584
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,20,176
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,18,2560
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,10,150
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,10,2631
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,4,1090
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,11,3790
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,9,300
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,10,7034
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,18,150
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,12,1720
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,22,90
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,12,5140
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,8,870
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,11,4401
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,6,120
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,12,2310
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,4,1000
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,10,6305
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,5,600
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,9,6970
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,10,240
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,12,1447
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,7.7,590
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,13,6524
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,0,120
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,13,5850
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),高雄市,糯米黑,null,10,180
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,10,286
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,10,11910
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,12,160
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,10,7167
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,7,220
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,10,4061
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),高雄市,糯米黑,null,15,90
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,10,300
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,12,2552
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,10,440
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,12,2940
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,12,345
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,12,3095
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,16.9,101
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,12,1685
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北二,糯米黑,null,15,690
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,糯米黑,null,14,4608
