date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,超甜白,null,7,500
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,超甜白,null,5,2030
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,超甜白,null,8,612
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,超甜白,null,12,350
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,超甜白,null,15,1130
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,超甜白,null,7,149
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,超甜白,null,3,180
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,510
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,超甜白,null,5,630
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,超甜白,null,7.3,220
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,超甜白,null,6,250
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,超甜白,null,12,120
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,超甜白,null,5.4,489
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,超甜白,null,8,158
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,超甜白,null,13,75
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,544
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,1450
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,720
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,2899
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,9,850
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,220
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,9,340
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,8,620
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,8,955
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,285
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,2010
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,1830
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,555
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,12,1166
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,12,660
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,12,276
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,1195
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,1849
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,486
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,12,228
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,10,79
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,超甜白,null,12,120
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,超甜白,null,20,102
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,17.4,855
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,超甜白,null,14.3,238
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,20,300
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北二,超甜白,null,15,99
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,18,386
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,超甜白,null,20,65
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,20,300
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,超甜白,null,8,310
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,18,200
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北二,超甜白,null,5,225
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,18,40
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,23,986
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,23,1368
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,15,554
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,14,644
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,超甜白,null,15,25
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,14,140
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北二,超甜白,null,13.6,140
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,超甜白,null,15,650
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北二,超甜白,null,5,40
