date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,100,30
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,100,24
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,80,40
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,80,60
Tue Apr 25 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,80,30
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,80,50
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,80,50
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,80,30
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,85,10
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,85,125
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,95,130
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,95,130
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,90,120
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,95,130
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,90,10
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,70,140
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,45,10
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,45,90
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,50,110
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,77.4,310
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,65,90
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,80,90
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,80,150
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,62,90
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,64,90
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,75,120
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,76,100
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,90,150
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,96,120
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,83,70
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,70,230
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,72.6,320
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,68,75
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,75,230
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,69,280
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,77.5,340
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,81.3,230
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,75,75
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,70,230
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,75,190
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,65,165
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,75,195
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,65,100
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,68.5,340
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,62.1,110
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,67.4,220
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,72,75
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,65.7,185
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,63.3,335
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,68,75
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,75,50
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,72,130
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,55,150
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,80,160
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,68,70
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,48.5,160
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,45,240
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,45,180
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,62.4,140
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,50,140
Tue Apr 08 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,42.6,170
Wed Apr 09 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,50.8,200
Thu Apr 10 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,55.4,240
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,72.7,250
Sat Apr 12 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,55,60
Sun Apr 13 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,94.9,170
Tue Apr 15 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,106.7,200
Wed Apr 16 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,90,60
Thu Apr 17 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,80,120
Fri Apr 18 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,66.7,100
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,65,60
Sun Apr 20 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,65,120
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,50,120
Wed Apr 23 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,50,120
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,42.5,160
