date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,4,2110
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,4,1480
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,2020
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,4,2020
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,6,2000
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,7,1850
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,6,1900
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,6,600
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,1600
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,1100
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,6,850
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,2300
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,4,1690
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,1520
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,6,1600
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,670
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,360
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,510
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,960
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,8,1360
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,9,1050
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,7,1560
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,6.5,2400
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,6,2170
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,6,1465
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,1420
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,1420
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,1280
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,2410
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,2320
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,1740
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,1440
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,1410
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,770
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,1480
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,1780
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,1690
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,2060
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3,1968
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3.5,1620
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3.5,1020
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3.5,1590
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3.5,880
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北二,改良種,null,12,60
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,1600
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),高雄市,改良種,null,6.2,9240
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,3.5,2395
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,4,2065
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,4,2440
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,2350
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,340
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,1190
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,改良種,null,5,2110
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,改良種,null,15,22048
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),高雄市,改良種,null,25,25
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,改良種,null,15,12769
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,改良種,null,14,21149
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,改良種,null,15,11905
